name,cation,anion,silicate,silicate_html,cation_html,anion_html,elements,strunz,formula,ima,year
Raite,Mn^2+^;Na;Ti^4+^,OH,,,Mn<sup>2+</sup> x 3;Na x 3;Ti<sup>4+</sup> x 0.25,OHx2,Na;Mn;Ti;Si;O;H,9.EE.55,Na<sub>3</sub>Mn<sup>2+</sup><sub>3</sub>Ti<sup>4+</sup><sub>0.25</sub>Si<sub>8</sub>O<sub>20</sub>(OH)<sub>2</sub>·10H<sub>2</sub>O,Approved,1973
Intersilite,Ti^4+^;Nb^5+^;Mn^2+^;Na,O;OH,,,(Ti<sup>4+</sup> + Nb<sup>5+</sup>)=1;Mn<sup>2+</sup>;Na x 6,(O + OH)=28,Na;Mn;Ti;Nb;Si;O;H,9.EE.60,"Na<sub>6</sub>Mn<sup>2+</sup>(Ti<sup>4+</sup>,Nb<sup>5+</sup>)Si<sub>10</sub>(O,OH)<sub>28</sub>·4H<sub>2</sub>O",Approved,1994
Shafranovskite,Mn^2+^;Fe^3+^;Na;K,OH,,,(Mn<sup>2+</sup> + Fe<sup>3+</sup> + Na)=4;K x 2;Na x 3,OHx2,Na;K;Mn;Fe;Si;O;H,9.EE.65,"Na<sub>3</sub>K<sub>2</sub>(Mn<sup>2+</sup>,Fe<sup>3+</sup>,Na)<sub>4</sub>[Si<sub>9</sub>(O,OH)<sub>27</sub>](OH)<sub>2</sub>·nH<sub>2</sub>O",Approved,1982
Zakharovite,Mn^2+^;Na,OH,,,Mn<sup>2+</sup> x 5;Na x 4,OHx5,Na;Mn;Si;O;H,9.EE.65,Na<sub>4</sub>Mn<sup>2+</sup><sub>5</sub>Si<sub>10</sub>O<sub>24</sub>(OH)<sub>6</sub>·6H<sub>2</sub>O,Approved,1981
Zeophyllite,Ca,OH;F,,,Ca x 13,F x 8;OHx2,Ca;Si;O;H;F,9.EE.70,Ca<sub>13</sub>Si<sub>10</sub>O<sub>28</sub>(OH)<sub>2</sub>F<sub>8</sub>·6H<sub>2</sub>O,"Grandfathered, Approved",1902
Minehillite,K;Na;Ca;Zn,OH,,,(K + Na)=2;Ca x 28;Zn x 4,OHx16,K;Na;Ca;Zn;Al;Si;O;H,9.EE.75,"(K,Na)<sub>2-3</sub>Ca<sub>28</sub>Zn<sub>4</sub>Al<sub>4</sub>Si<sub>40</sub>O<sub>112</sub>(OH)<sub>16</sub>",Approved,1984
Ellingsenite,Na;Ca,OH,,,Na x 5;Ca x 6,OHx12,Na;Ca;Si;O;H,9.EE.80,Na<sub>5</sub>Ca<sub>6</sub>Si<sub>18</sub>O<sub>38</sub>(OH)<sub>13</sub>·6H<sub>2</sub>O,Approved,2009
Fedorite,K;Na;Ca,OH;F,,,(K + Na)=2.5;(Ca + Na)=7,(OH + F)=2,K;Na;Ca;Si;O;H;F,9.EE.80,"(K,Na)<sub>2.5</sub>(Ca,Na)<sub>7</sub>Si<sub>16</sub>O<sub>38</sub>(OH,F)<sub>2</sub>·3.5H<sub>2</sub>O",Approved,1968
Martinite,Na;Ca,OH;Cl;F,,,(Na + [box] + Ca)=12;Ca x 4,F x 2;;(OH + Cl)=2,Na;Ca;Si;S;B;O;H;Cl;F,9.EE.80,"(Na,[box],Ca)<sub>12</sub>Ca<sub>4</sub>(Si,S,B)<sub>14</sub>B<sub>2</sub>O<sub>38</sub>(OH,Cl)<sub>2</sub>F<sub>2</sub>·4H<sub>2</sub>O",Approved,2001
Lalondeite,Ca;Na,F;OH,,,(Ca + Na)=3;(Na + Ca)=6,(F + OH)=2,Na;Ca;Si;O;F;H,9.EE.85,"(Na,Ca)<sub>6</sub>(Ca,Na)<sub>3</sub>Si<sub>16</sub>O<sub>38</sub>(F,OH)<sub>2</sub>·3H<sub>2</sub>O",Approved,2002
Petalite,Li;Al,,,,Li;Al,,Li;Al;Si;O,9.EF.05,LiAlSi<sub>4</sub>O<sub>10</sub>,"Grandfathered, Approved",1800
Sanbornite,Ba,,,,Ba,,Ba;Si;O,9.EF.10,BaSi<sub>2</sub>O<sub>5</sub>,"Grandfathered, Approved",1932
Searlesite,Na;B,OH,,,Na;B,OHx2,Na;B;Si;O;H,9.EF.15,NaBSi<sub>2</sub>O<sub>5</sub>(OH)<sub>2</sub>,"Grandfathered, Approved",1914
Silinaite,Li;Na,,,,Li;Na,,Na;Li;Si;O;H,9.EF.20,NaLiSi<sub>2</sub>O<sub>5</sub>·2H<sub>2</sub>O,Approved,1990
Kanemite,H;Na,,,,H;Na,,H;Na;Si;O,9.EF.25,HNaSi<sub>2</sub>O<sub>5</sub>·3H<sub>2</sub>O,Approved,1972
Yakovenchukite-(Y),Ca;K;Na;Y,,,,Ca;K x 3;Na;Y x 2,,K;Na;Ca;Y;Si;O;H,9.EF.30,K<sub>3</sub>NaCaY<sub>2</sub>Si<sub>12</sub>O<sub>30</sub>·4H<sub>2</sub>O,Approved,2006
Cymrite,Ba,,,,Ba,,Ba;Si;Al;O;H,9.EG.05,"Ba(Si,Al)<sub>4</sub>(O,OH)<sub>8</sub>·H<sub>2</sub>O","Grandfathered, Approved",1949
Manganonaujakasite,Na;Mn^2+^,,,,Na x 6;Mn<sup>2+</sup>,,Na;Mn;Al;Si;O,9.EG.10,Na<sub>6</sub>Mn<sup>2+</sup>Al<sub>4</sub>Si<sub>8</sub>O<sub>26</sub>,Approved,1999
Naujakasite,Na;Fe^2+^,,,,Na x 6;Fe<sup>2+</sup>,,Na;Fe;Al;Si;O,9.EG.10,Na<sub>6</sub>Fe<sup>2+</sup>Al<sub>4</sub>Si<sub>8</sub>O<sub>26</sub>,"Grandfathered, Approved",1933
Kampfite,Ba,Cl;CO_3_,,,Ba x 12,Cl x 5;CO<sub>3</sub> x 8,Ba;Si;Al;O;C;Cl,9.EG.20,Ba<sub>12</sub>(Si<sub>11</sub>Al<sub>5</sub>)O<sub>31</sub>(CO<sub>3</sub>)<sub>8</sub>Cl<sub>5</sub>,Approved,2001
Strätlingite,Ca,,,,Ca x 2,,Ca;Al;Si;O;H,9.EG.25,Ca<sub>2</sub>Al<sub>2</sub>SiO<sub>7</sub>·8H<sub>2</sub>O,Approved,1976
Vertumnite,Ca,,,,Ca x 4,,Ca;Al;Si;O;H,9.EG.25,Ca<sub>4</sub>Al<sub>4</sub>Si<sub>4</sub>O<sub>6</sub>(OH)<sub>24</sub>·3H<sub>2</sub>O,Approved,1975
Eggletonite,Na;K;Ca;Mn^2+^,,,,(Na + K + Ca)=1;Mn<sup>2+</sup> x 6,,Na;K;Ca;Mn;Si;Al;O;H,9.EG.30,"(Na,K,Ca)<sub>1-2</sub>Mn<sup>2+</sup><sub>6</sub>(Si,Al)<sub>10</sub>O<sub>24</sub>(OH)<sub>4</sub>·7-11H<sub>2</sub>O",Approved,1984
Ganophyllite,K;Na;Ca;Mn^2+^,,,,(K + Na + Ca)=2;Mn<sup>2+</sup> x 8,,K;Na;Ca;Mn;Si;Al;O;H,9.EG.30,"(K,Na,Ca)<sub>2</sub>Mn<sup>2+</sup><sub>8</sub>(Si,Al)<sub>12</sub>(O,OH)<sub>32</sub>·8H<sub>2</sub>O","Grandfathered, Approved",1890
Tamaite,Ca;K;Ba;Na;Mn^2+^,,,,(Ca + K + Ba + Na)=x;Mn<sup>2+</sup> x 6,,Ca;K;Ba;Na;Mn;Si;Al;O;H,9.EG.30,"(Ca,K,Ba,Na)<sub>x</sub>Mn<sup>2+</sup><sub>6</sub>(Si,Al)<sub>10</sub>O<sub>24</sub>(OH)<sub>4</sub>·nH<sub>2</sub>O (x = 1-2; n = 7-11)",Approved,1999
Coombsite,Mn^2+^;Fe^2+^;Mg;K,OH,,,(Mn<sup>2+</sup> + Fe<sup>2+</sup> + Mg)=13;K,OHx14,K;Mn;Fe;Mg;Si;Al;O;H,9.EG.35,"K(Mn<sup>2+</sup>,Fe<sup>2+</sup>,Mg)<sub>13</sub>(Si,Al)<sub>18</sub>O<sub>42</sub>(OH)<sub>14</sub>",Approved,1991
Zussmanite,Fe^2+^;Mg;Mn^2+^;Fe^3+^;K,OH,,,(Fe<sup>2+</sup> + Mg + Mn<sup>2+</sup> + Fe<sup>3+</sup>)=13;K,OHx14,K;Fe;Mg;Mn;Si;Al;O;H,9.EG.35,"K(Fe<sup>2+</sup>,Mg,Mn<sup>2+</sup>,Fe<sup>3+</sup>)<sub>13</sub>(Si,Al)<sub>18</sub>O<sub>42</sub>(OH)<sub>14</sub>",Approved,1964
Franklinphilite,K;Na;Mn^2+^;Mg;Zn,O;OH,,,(K + Na)=4;(Mn<sup>2+</sup> + Mg + Zn)=48,(O + OH)=216,K;Na;Mn;Mg;Zn;Si;Al;O;H,9.EG.40,"(K,Na)<sub>4</sub>(Mn<sup>2+</sup>,Mg,Zn)<sub>48</sub>(Si,Al)<sub>72</sub>(O,OH)<sub>216</sub>·6H<sub>2</sub>O",Approved,1992
Lennilenapeite,Mg;Mn^2+^;Fe^2+^;Zn;K,O;OH,,,(Mg + Mn<sup>2+</sup> + Fe<sup>2+</sup> + Zn)=48;K x 7,(O + OH)=216,K;Mg;Mn;Fe;Zn;Si;Al;O;H,9.EG.40,"K<sub>7</sub>(Mg,Mn<sup>2+</sup>,Fe<sup>2+</sup>,Zn)<sub>48</sub>(Si,Al)<sub>72</sub>(O,OH)<sub>216</sub>·16H<sub>2</sub>O",Approved,1984
Parsettensite,K;Na;Ca;Mn^2+^;Mg,OH,,,(K + Na + Ca)=7.5;(Mn<sup>2+</sup> + Mg)=49,OHx50,K;Na;Ca;Mn;Mg;Si;O;H,9.EG.40,"(K,Na,Ca)<sub>7.5</sub>(Mn<sup>2+</sup>,Mg)<sub>49</sub>Si<sub>72</sub>O<sub>168</sub>(OH)<sub>50</sub>·nH<sub>2</sub>O","Grandfathered, Approved",1923
Stilpnomelane,Fe^2+^;Mg;Al;Fe^3+^;K;Ca;Na,O;OH,,,(Fe<sup>2+</sup> + Mg + Al + Fe<sup>3+</sup>)=8;(K + Ca + Na)=1,(O + OH)=8,K;Ca;Na;Fe;Mg;Al;Si;O;H,9.EG.40,"(K,Ca,Na)(Fe<sup>2+</sup>,Mg,Al,Fe<sup>3+</sup>)<sub>8</sub>(Si,Al)<sub>12</sub>(O,OH)<sub>36</sub>·nH<sub>2</sub>O",Approved,1827
Latiumite,Ca;K,SO_4_;CO_3_,,,(Ca + K)=4,"O x 11;(S<sup>6+</sup>O<sub>4</sub>,CO<sub>3</sub>)",Ca;K;Si;Al;O;S;C,9.EG.45,"(Ca,K)<sub>4</sub>(Si,Al)<sub>5</sub>O<sub>11</sub>(S<sup>6+</sup>O<sub>4</sub>,CO<sub>3</sub>)","Grandfathered, Approved",1953
Levantite,K;Ca;Al,PO_4_,,,K;Ca x 3;Al x 2,PO<sub>4</sub>,K;Ca;Al;Si;O;P,9.EG.45,KCa<sub>3</sub>Al<sub>2</sub>(SiO<sub>4</sub>)(Si<sub>2</sub>O<sub>7</sub>)(PO<sub>4</sub>),"Approved, Pending publication",2017
Tuscanite,Ca;Na;K,OH;SO_4_;CO_3_,,,(Ca + Na)=6;K,"(SO<sub>4</sub>,CO<sub>3</sub>) x 2;OH",K;Ca;Na;Si;Al;O;S;C;H,9.EG.45,"K(Ca,Na)<sub>6</sub>(Si,Al)<sub>10</sub>O<sub>22</sub>(SO<sub>4</sub>,CO<sub>3</sub>)<sub>2</sub>(OH)·H<sub>2</sub>O",Approved,1977
Jagoite,Fe^3+^;Pb^2+^,Cl,,,Fe<sup>3+</sup> x 2;Pb<sup>2+</sup> x 11,Cl x 3,Pb;Fe;Si;O;Cl,9.EG.50,"Pb<sup>2+</sup><sub>9</sub>Fe<sup>3+</sup><sub>2</sub>[Si<sub>2</sub>(Si,Fe<sup>3+</sup>)<sub>3</sub>][Pb<sup>2+</sup><sub>2</sub>Si<sub>8</sub>(Si,Fe<sup>3+</sup>)<sub>2</sub>]O<sub>41</sub>Cl<sub>3</sub>","Grandfathered, Approved",1957
Wickenburgite,Ca;Pb^2+^,,,,Ca;Pb<sup>2+</sup> x 3,,Pb;Ca;Al;Si;O;H,9.EG.55,Pb<sup>2+</sup><sub>3</sub>CaAl<sub>2</sub>Si<sub>10</sub>O<sub>27</sub>·4H<sub>2</sub>O,Approved,1968
Hyttsjöite,Ba;Ca;Fe^3+^;Mn^2+^;Pb^2+^,Cl,,,Ba x 2;Ca x 5;Fe<sup>3+</sup> x 2;Mn<sup>2+</sup> x 2;Pb<sup>2+</sup> x 18,Cl,Pb;Ba;Ca;Mn;Fe;Si;O;Cl;H,9.EG.60,Pb<sup>2+</sup><sub>18</sub>Ba<sub>2</sub>Ca<sub>5</sub>Mn<sup>2+</sup><sub>2</sub>Fe<sup>3+</sup><sub>2</sub>Si<sub>30</sub>O<sub>90</sub>Cl·6H<sub>2</sub>O,Approved,1993
Armbrusterite,K;Mn^2+^;Mn^3+^;Na,OH,,,K x 5;Mn<sup>2+</sup> x 14;Mn<sup>3+</sup>;Na x 6,OHx10,Na;K;Mn;Si;O;H,9.EG.65,Na<sub>6</sub>K<sub>5</sub>Mn<sup>3+</sup>Mn<sup>2+</sup><sub>14</sub>[Si<sub>9</sub>O<sub>22</sub>]<sub>4</sub>(OH)<sub>10</sub>·4H<sub>2</sub>O,Approved,2005
Britvinite,Mg;Pb^2+^,OH;BO_3_;F;CO_3_,,,Mg x 9;Pb<sup>2+</sup> x 14,BO<sub>3</sub> x 4;F x 2;CO<sub>3</sub> x 2;OHx12,Pb;Mg;Si;O;B;C;F;H,9.EG.70,Pb<sup>2+</sup><sub>14</sub>Mg<sub>9</sub>Si<sub>10</sub>O<sub>28</sub>(BO<sub>3</sub>)<sub>4</sub>(CO<sub>3</sub>)<sub>2</sub>F<sub>2</sub>(OH)<sub>12</sub>,Approved,2006
Molybdophyllite,Mg;Pb^2+^,OH;CO_3_;O,,,Mg x 9;Pb<sup>2+</sup> x 8,CO<sub>3</sub> x 3;O x 2;OHx8,Pb;Mg;Si;O;H;C,9.EG.70,Pb<sup>2+</sup><sub>8</sub>Mg<sub>9</sub>[Si<sub>10</sub>O<sub>30</sub>(OH)<sub>8</sub>(CO<sub>3</sub>)<sub>3</sub>]·H<sub>2</sub>O,"Grandfathered, Approved",1901
