name,cation,anion,silicate,silicate_html,cation_html,anion_html,elements,strunz,formula,ima,year
Aluminium,Al,,,,Al,,Al,1.AA.05,Al,Approved,1812
Copper,Cu,,,,Cu,,Cu,1.AA.05,Cu,"Grandfathered, Approved",1530
Gold,Au,,,,Au,,Au,1.AA.05,Au,"Grandfathered, Approved",700
Lead,Pb,,,,Pb,,Pb,1.AA.05,Pb,"Grandfathered, Approved",60
Nickel,Ni,,,,Ni,,Ni,1.AA.05,Ni,Approved,1967
Silver,Ag,,,,Ag,,Ag,1.AA.05,Ag,"Grandfathered, Approved",1478
Steinhardtite,Al;Ni;Fe,,,,Al x 0.38;Ni x 0.32;Fe x 0.30,,Al;Ni;Fe,1.AA.05,Al<sub>0.38</sub>Ni<sub>0.32</sub>Fe<sub>0.30</sub>,Approved,2014
Auricupride,Au;Cu,,,,Au;Cu x 3,,Cu;Au,1.AA.10a,Cu<sub>3</sub>Au,"Grandfathered, Approved",1950
Cuproauride,Cu;Au,,,,Cu x 3;Au,,Cu;Au,1.AA.10a,Cu<sub>3</sub>Au,"Questionable mineral species, Approved",1939
Tomamaeite,Au;Pt,,,,Au;Pt x 3,,Cu;Pt,1.AA.10a,Cu<sub>3</sub>Pt,"Approved, Pending publication",2019
Tetra-auricupride,Au;Cu,,,,Au;Cu,,Cu;Au,1.AA.10b,CuAu,Approved,1982
Anyuiite,Au;Pb,,,,Au;Pb x 2,,Au;Pb,1.AA.15,AuPb<sub>2</sub>,Approved,1987
Khatyrkite,Cu;Zn;Al,,,,(Cu + Zn)=1;Al x 2,,Cu;Zn;Al,1.AA.15,"(Cu,Zn)Al<sub>2</sub>",Approved,1985
Novodneprite,Au;Pb,,,,Au;Pb x 3,,Au;Pb,1.AA.15,AuPb<sub>3</sub>,Approved,2005
Cupalite,Cu;Zn;Al,,,,(Cu + Zn)=1;Al,,Cu;Zn;Al,1.AA.20,"(Cu,Zn)Al",Approved,1985
Hunchunite,Pb;Au,,,,Pb;Au x 2,,Au;Pb,1.AA.25,Au<sub>2</sub>Pb,Approved,1996
Stolperite,Al;Cu,,,,Al;Cu,,Al;Cu,1.AA.30,AlCu,Approved,2016
Hollisterite,Al;Fe,,,,Al x 3;Fe,,Al;Fe,1.AA.35,Al<sub>3</sub>Fe,Approved,2016
Icosahedrite,Al;Cu;Fe,,,,Al x 63;Cu x 24;Fe x 13,,Al;Cu;Fe,1.AA.40,Al<sub>63</sub>Cu<sub>24</sub>Fe<sub>13</sub>,Approved,2010
Kryachkoite,Al;Cu;Fe,,,,(Al + Cu)=6;(Fe + Cu)=1,,Al;Cu;Fe,1.AA.45,"(Al,Cu)<sub>6</sub>(Fe,Cu)",Approved,2017
Proxidecagonite,Al;Ni;Fe,,,,Al x 34;Ni x 9;Fe x 2,,Al;Ni;Fe,1.AA.50,Al<sub>34</sub>Ni<sub>9</sub>Fe<sub>2</sub>,Approved,2018
Cadmium,Cd,,,,Cd,,Cd,1.AB.05,Cd,Approved,1979
Titanium,Ti,,,,Ti,,Ti,1.AB.05,Ti,Approved,1992
Zinc,Zn,,,,Zn,,Zn,1.AB.05,Zn,"Grandfathered, Approved",1526
Zhanghengite,Cu;Zn,,,,Cu;Zn,,Cu;Zn,1.AB.10a,CuZn,Approved,1986
Danbaite,Zn;Cu,,,,Zn x 2;Cu,,Cu;Zn,1.AB.10b,CuZn<sub>2</sub>,Approved,1983
Indium,In,,,,In,,In,1.AC.05,In,Approved,1964
Tin,Sn,,,,Sn,,Sn,1.AC.10,Sn,"Grandfathered, Approved",
Sorosite,Cu;Sn;Sb,,,,Cu x 1.1-1.2;(Sn + Sb)=1,,Cu;Sn;Sb,1.AC.15,"Cu<sub>1.1-1.2</sub>(Sn,Sb)",Approved,1998
Yuanjiangite,Au;Sn,,,,Au;Sn,,Au;Sn,1.AC.15,AuSn,Approved,1993
Rumoiite,Au;Sn,,,,Au;Sn x 2,,Au;Sn,1.AC.20,AuSn<sub>2</sub>,"Approved, Pending publication",2019
Mercury,Hg,,,,Hg,,Hg,1.AD.05,Hg,"Grandfathered, Approved",-325
Belendorffite,Cu;Hg,,,,Cu x 7;Hg x 6,,Cu;Hg,1.AD.10,Cu<sub>7</sub>Hg<sub>6</sub>,Approved,1990
Kolymite,Cu;Hg,,,,Cu x 7;Hg x 6,,Cu;Hg,1.AD.10,Cu<sub>7</sub>Hg<sub>6</sub>,Approved,1980
Paraschachnerite,Ag;Hg,,,,Ag x 1.2;Hg x 0.8,,Ag;Hg,1.AD.15a,Ag<sub>1.2</sub>Hg<sub>0.8</sub>,Approved,1972
Schachnerite,Ag;Hg,,,,Ag x 1.1;Hg x 0.9,,Ag;Hg,1.AD.15a,Ag<sub>1.1</sub>Hg<sub>0.9</sub>,Approved,1972
Luanheite,Ag;Hg,,,,Ag x 3;Hg,,Ag;Hg,1.AD.15b,Ag<sub>3</sub>Hg,Approved,1984
Eugenite,Hg;Ag,,,,Hg x 2;Ag x 11,,Ag;Hg,1.AD.15c,Ag<sub>11</sub>Hg<sub>2</sub>,Approved,1986
Moschellandsbergite,Ag;Hg,,,,Ag x 2;Hg x 3,,Ag;Hg,1.AD.15d,Ag<sub>2</sub>Hg<sub>3</sub>,"Grandfathered, Approved",1938
Weishanite,Au;Ag;Hg,,,,(Au + Ag)=1.2;Hg x 0.8,,Au;Ag;Hg,1.AD.20a,"(Au,Ag)<sub>1.2</sub>Hg<sub>0.8</sub>",Approved,1982
Potarite,Hg;Pd,,,,Hg;Pd,,Pd;Hg,1.AD.25,PdHg,"Grandfathered, Approved",1928
Leadamalgam,Hg;Pb,,,,Hg x 0.3;Pb x 0.7,,Pb;Hg,1.AD.30,Pb<sub>0.7</sub>Hg<sub>0.3</sub>,Approved,1985
Shosanbetsuite,Ag;Sn,,,,Ag x 3;Sn,,Ag;Sn,1.AD.35,Ag<sub>3</sub>Sn,"Approved, Pending publication",2019
Aurihydrargyrumite,Au;Hg,,,,Au x 6;Hg x 5,,Au;Hg,1.AD.45,Au<sub>6</sub>Hg<sub>5</sub>,Approved,2017
Chromium,Cr,,,,Cr,,Cr,1.AE.05,Cr,Approved,1981
Hexamolybdenum,Mo;Ru;Fe;Ir;Os,,,,(Mo + Ru + Fe + Ir + Os),,Mo;Ru;Fe;Ir;Os,1.AE.05,"(Mo,Ru,Fe,Ir,Os)",Approved,2007
Iron,Fe,,,,Fe,,Fe,1.AE.05,Fe,"Grandfathered, Approved",700
Tungsten,W,,,,W,,W,1.AE.05,W,"Pending publication, Approved",2011
Vanadium,V,,,,V,,V,1.AE.05,V,Approved,2012
Taenite,Fe;Ni,,,,(Fe + Ni)=1,,Fe;Ni,1.AE.10,"(Fe,Ni)","Grandfathered, Approved",1861
Tetrataenite,Fe;Ni,,,,Fe;Ni,,Fe;Ni,1.AE.10,FeNi,Approved,1979
Chromferide,Fe;Cr,,,,Fe x 1.5;Cr x 0.2,,Fe;Cr,1.AE.15,Fe<sub>1.5</sub>Cr<sub>0.2</sub>,Approved,1986
Ferchromide,Fe;Cr,,,,Fe x 0.2;Cr x 1.5,,Cr;Fe,1.AE.15,Cr<sub>1.5</sub>Fe<sub>0.2</sub>,Approved,1986
Wairauite,Co;Fe,,,,Co;Fe,,Co;Fe,1.AE.15,CoFe,Approved,1964
Awaruite,Fe;Ni,,,,Fe;Ni x 3,,Ni;Fe,1.AE.20,Ni<sub>3</sub>Fe,"Grandfathered, Approved",1885
Jedwabite,Ta;Nb;Fe,,,,(Ta + Nb)=3;Fe x 7,,Fe;Ta;Nb,1.AE.25,"Fe<sub>7</sub>(Ta,Nb)<sub>3</sub>",Approved,1995
Nisnite,Ni;Sn,,,,Ni x 3;Sn,,Ni;Sn,1.AE.35,Ni<sub>3</sub>Sn,Approved,2010
Osmium,Os;Ir;Ru,,,,(Os + Ir + Ru)=1,,Os;Ir;Ru,1.AF.05,"(Os,Ir,Ru)","Approved, Redefined",1804
Rutheniridosmine,Ir;Os;Ru,,,,Ir;Os;Ru,,Ir;Os;Ru,1.AF.05,"(Ir,Os,Ru)","Approved, Redefined",1973
Ruthenium,Ru;Ir,,,,(Ru + Ir)=1,,Ru;Ir,1.AF.05,"(Ru,Ir)",Approved,1844
Iridium,Ir;Os;Ru,,,,(Ir + Os + Ru)=1,,Ir;Os;Ru,1.AF.10,"(Ir,Os,Ru)","Approved, Redefined",1804
Palladium,Pd;Pt,,,,(Pd + Pt)=1,,Pd;Pt,1.AF.10,"(Pd,Pt)","Grandfathered, Approved",1803
Platinum,Pt,,,,Pt,,Pt,1.AF.10,Pt,"Grandfathered, Approved",1750
Rhodium,Rh;Pt,,,,(Rh + Pt)=1,,Rh;Pt,1.AF.10,"(Rh,Pt)",Approved,1803
Kitagohaite,Pt;Cu,,,,Pt x 7;Cu,,Pt;Cu,1.AF.15,Pt<sub>7</sub>Cu,Approved,2013
Garutiite,Ni;Fe;Ir,,,,(Ni + Fe + Ir)=1,,Ni;Fe;Ir,1.AG.05,"(Ni,Fe,Ir)",Approved,2008
Hexaferrum,Fe;Os;Ru;Ir,,,,(Fe + Os + Ru + Ir)=1,,Fe;Os;Ru;Ir,1.AG.05,"(Fe,Os,Ru,Ir)",Approved,1995
Atokite,Pd;Pt;Sn,,,,(Pd + Pt)=3;Sn,,Pd;Pt;Sn,1.AG.10,"(Pd,Pt)<sub>3</sub>Sn",Approved,1975
Rustenburgite,Pt;Pd;Sn,,,,(Pt + Pd)=3;Sn,,Pt;Pd;Sn,1.AG.10,"(Pt,Pd)<sub>3</sub>Sn",Approved,1975
Zvyagintsevite,Pb;Sn;Pd;Pt;Au,,,,(Pb + Sn)=1;(Pd + Pt + Au)=3,,Pd;Pt;Au;Pb;Sn,1.AG.10,"(Pd,Pt,Au)<sub>3</sub>(Pb,Sn)",Approved,1966
Taimyrite,Pd;Cu;Pt;Sn,,,,(Pd + Cu + Pt)=3;Sn,,Pd;Cu;Pt;Sn,1.AG.15,"(Pd,Cu,Pt)<sub>3</sub>Sn",Approved,1976
Tatyanaite,Pt;Pd;Cu;Sn,,,,(Pt + Pd + Cu)=9;Cu x 3;Sn x 4,,Pt;Pd;Cu;Sn,1.AG.15,"(Pt,Pd,Cu)<sub>9</sub>Cu<sub>3</sub>Sn<sub>4</sub>",Approved,1995
Paolovite,Pd;Sn,,,,Pd x 2;Sn,,Pd;Sn,1.AG.20,Pd<sub>2</sub>Sn,Approved,1972
Plumbopalladinite,Pb;Pd,,,,Pb x 2;Pd x 3,,Pb;Pd,1.AG.25,Pb<sub>2</sub>Pd<sub>3</sub>,Approved,1970
Stannopalladinite,Pd;Sn,,,,Pd x 3;Sn x 2,,Pd;Sn,1.AG.25,Pd<sub>3</sub>Sn<sub>2</sub>,"Grandfathered, Approved",1947
Cabriite,Cu;Pd;Sn,,,,Cu;Pd x 2;Sn,,Pd;Cu;Sn,1.AG.30,Pd<sub>2</sub>CuSn,Approved,1981
Chengdeite,Fe;Ir,,,,Fe;Ir x 3,,Ir;Fe,1.AG.35,Ir<sub>3</sub>Fe,Approved,1995
Isoferroplatinum,Fe;Pt,,,,Fe;Pt x 3,,Pt;Fe,1.AG.35,Pt<sub>3</sub>Fe,Approved,1974
Ferronickelplatinum,Pt;Ni;Fe,,,,Pt x 2;Ni;Fe,,Pt;Fe;Ni,1.AG.40,Pt<sub>2</sub>FeNi,Approved,1983
Tetraferroplatinum,Fe;Pt,,,,Fe;Pt,,Pt;Fe,1.AG.40,PtFe,Approved,1975
Tulameenite,Cu;Fe;Pt,,,,Cu;Fe;Pt x 2,,Cu;Fe;Pt,1.AG.40,CuFePt<sub>2</sub>,Approved,1972
Hongshiite,Pt;Cu,,,,Pt;Cu,,Pt;Cu,1.AG.45,PtCu,Approved,1974
Skaergaardite,Cu;Pd,,,,Cu;Pd,,Cu;Pd,1.AG.45,CuPd,Approved,2004
Yixunite,In;Pt,,,,In;Pt x 3,,Pt;In,1.AG.50,Pt<sub>3</sub>In,Approved,1998
Damiaoite,Pt;In,,,,Pt;In x 2,,Pt;In,1.AG.55,PtIn<sub>2</sub>,Approved,1997
Niggliite,Pt;Sn,,,,Pt;Sn,,Pt;Sn,1.AG.60,PtSn,"Grandfathered, Approved",1937
Bortnikovite,Cu;Pd;Zn,,,,Cu x 3;Pd x 4;Zn,,Pd;Cu;Zn,1.AG.65,Pd<sub>4</sub>Cu<sub>3</sub>Zn,Approved,2006
Nielsenite,Cu;Pd,,,,Cu x 3;Pd,,Pd;Cu,1.AG.70,PdCu<sub>3</sub>,Approved,2004
Norilskite,Pd;Ag;Pb,,,,(Pd + Ag)=7;Pb x 4,,Pd;Ag;Pb,1.AG.75,"(Pd,Ag)<sub>7</sub>Pb<sub>4</sub>",Approved,2015
Orthocuproplatinum,Pt;Cu,,,,Pt x 3;Cu,,Pt;Cu,1.AG.80,Pt<sub>3</sub>Cu,"Approved, Pending publication",2019
Michitoshiite-(Cu),Rh;Cu;Ge,,,,Rh;Cu x 1−x;Ge x x,,Rh;Cu;Ge,1.AG.85,Rh(Cu<sub>1−x</sub>Ge<sub>x</sub>) 0 < x ≤ 0.5,"Approved, Pending publication",2019
Decagonite,Ni;Fe;Al,,,,Ni x 24;Fe x 5;Al x 71,,Al;Ni;Fe,1.AH.05,Al<sub>71</sub>Ni<sub>24</sub>Fe<sub>5</sub>,Approved,2015
Cerium,Ce,,,,Ce,,Ce,1.AH.10,Ce,"Questionable mineral species, Approved",2000
Cohenite,Fe,C,,,Fe x 3,C,Fe;C,1.BA.05,Fe<sub>3</sub>C,"Grandfathered, Approved",1889
Haxonite,Fe;Ni,C,,,(Fe + Ni)=23,C x 6,Fe;Ni;C,1.BA.10,"(Fe,Ni)<sub>23</sub>C<sub>6</sub>",Approved,1972
Isovite,Cr;Fe,C,,,(Cr + Fe)=23,C x 6,Cr;Fe;C,1.BA.10,"(Cr,Fe)<sub>23</sub>C<sub>6</sub>",Approved,1996
Tongbaite,Cr,C,,,Cr x 3,C x 2,Cr;C,1.BA.15,Cr<sub>3</sub>C<sub>2</sub>,Approved,1982
Khamrabaevite,Ti;V;Fe,C,,,(Ti + V + Fe)=1,C,Ti;V;Fe;C,1.BA.20,"(Ti<sup>4+</sup>,V,Fe)C<sup>4-</sup>",Approved,1984
Niobocarbide,Nb;Ta,C,,,(Nb + Ta)=1,C,Nb;Ta;C,1.BA.20,"(Nb,Ta)C",Approved,1995
Tantalcarbide,Ta,C,,,Ta,C,Ta;C,1.BA.20,TaC,"Grandfathered, Approved",1966
Qusongite,W,C,,,W,C,W;C,1.BA.25,WC,Approved,2007
Yarlongite,Cr;Fe;Ni,C,,,Cr x 4;Fe x 4;Ni,C x 4,Cr;Fe;Ni;C,1.BA.30,Cr<sub>4</sub>Fe<sub>4</sub>NiC<sub>4</sub>,Approved,2007
Edscottite,Fe,C,,,Fe x 5,C x 5,Fe;C,1.BA.35,Fe<sub>5</sub>C<sub>2</sub>,"Approved, Pending publication",2019
Mavlyanovite,Mn,Si,,,Mn,Si x 3,Mn;Si,1.BB.05,Mn<sup>2+</sup><sub>3</sub>Mn<sup>3+</sup><sub>2</sub>Si<sup>4-</sup><sub>3</sub>,Approved,2008
Suessite,Fe;Ni,Si,,,(Fe + Ni)=3,Si,Fe;Ni;Si,1.BB.05,"(Fe,Ni)<sub>3</sub>Si",Approved,1979
Perryite,Ni;Fe,Si;P,,,(Ni + Fe)=8,"(Si,P) x 3",Ni;Fe;Si;P,1.BB.10,"(Ni,Fe)<sub>8</sub>(Si,P)<sub>3</sub>",Approved,1965
Naquite,Fe,Si,,,Fe,Si,Fe;Si,1.BB.15,FeSi,Approved,2010
Linzhiite,Fe,Si,,,Fe,Si x 2,Fe;Si,1.BB.20,FeSi<sub>2</sub>,Approved,2010
Luobusaite,Fe,Si,,,Fe x 0.84,Si x 2,Fe;Si,1.BB.25,Fe<sub>0.84</sub>Si<sub>2</sub>,Approved,2006
Gupeiite,Fe,Si,,,Fe x 3,Si,Fe;Si,1.BB.30,Fe<sub>3</sub>Si,Approved,1984
Hapkeite,Fe,Si,,,Fe x 2,Si,Fe;Si,1.BB.35,Fe<sub>2</sub>Si,Approved,2003
Xifengite,Fe,Si,,,Fe x 5,Si x 3,Fe;Si,1.BB.40,Fe<sub>5</sub>Si<sub>3</sub>,Approved,1983
Carletonmooreite,Ni,Si,,,Ni x 3,Si,Ni;Si,1.BB.45,Ni<sub>3</sub>Si,"Approved, Pending publication",2018
Brownleeite,Mn,Si,,,Mn,Si,Mn;Si,1.BB.50,MnSi,Approved,2008
Palladosilicide,Pd,Si,,,Pd x 2,Si,Pd;Si,1.BB.55,Pd<sub>2</sub>Si,Approved,2013
Zangboite,Fe;Ti,Si,,,Fe;Ti,Si x 2,Ti;Fe;Si,1.BB.60,TiFeSi<sub>2</sub>,Approved,2007
Zhiqinite,Ti,Si,,,Ti,Si x 2,Ti;Si,1.BB.65,TiSi<sub>2</sub>,"Approved, Pending publication",2019
Roaldite,Fe;Ni,N,,,(Fe + Ni)=4,N,Fe;Ni;N,1.BC.05,"(Fe,Ni)<sub>4</sub>N",Approved,1981
Siderazot,Fe,N,,,Fe x 5,N x 2,Fe;N,1.BC.10,Fe<sub>5</sub>N<sub>2</sub>,"Questionable mineral species, Approved",1876
Carlsbergite,Cr,N,,,Cr,N,Cr;N,1.BC.15,Cr<sup>3+</sup>N<sup>3-</sup>,Approved,1971
Osbornite,Ti,N,,,Ti,N,Ti;N,1.BC.15,Ti<sup>3+</sup>N<sup>3-</sup>,"Grandfathered, Approved",1870
Uakitite,V,N,,,V,N,V;N,1.BC.15,VN,"Approved, Pending publication",2018
Qingsongite,B,N,,,B,N,B;N,1.BC.25,BN<sup>3-</sup>,Approved,2013
Nickelphosphide,Ni;Fe,P,,,(Ni + Fe)=3,P,Ni;Fe;P,1.BD.05,"(Ni,Fe)<sub>3</sub>P",Approved,1998
Schreibersite,Fe;Ni;Cr,P,,,(Fe + Ni + Cr)=3,P,Fe;Ni;Cr;P,1.BD.05,"(Fe,Ni,Cr)<sub>3</sub>P","Grandfathered, Approved",1848
Barringerite,Fe;Ni,P,,,(Fe + Ni)=2,P,Fe;Ni;P,1.BD.10,"(Fe,Ni)<sub>2</sub>P",Approved,1969
Monipite,Mo;Ni,P,,,Mo;Ni,P,Mo;Ni;P,1.BD.10,MoNiP,Approved,2007
Transjordanite,Ni,P,,,Ni x 2,P,Ni;P,1.BD.10,Ni<sub>2</sub>P,"Pending publication, Approved",2013
Allabogdanite,Fe;Ni,P,,,(Fe + Ni)=2,P,Fe;Ni;P,1.BD.15,"(Fe,Ni)<sub>2</sub>P",Approved,2000
Andreyivanovite,Cr;Fe,P,,,Cr;Fe,P,Fe;Cr;P,1.BD.15,FeCrP,Approved,2006
Florenskyite,Ti;Fe,P,,,Ti;Fe,P,Fe;Ti;P,1.BD.15,FeTiP,Approved,1999
Melliniite,Ni;Fe,P,,,(Ni + Fe)=4,P,Ni;Fe;P,1.BD.20,"(Ni,Fe)<sub>4</sub>P",Approved,2005
Halamishite,Ni,P,,,Ni x 5,P x 4,Ni;P,1.BD.25,Ni<sub>5</sub>P<sub>4</sub>,"Pending publication, Approved",2014
Murashkoite,Fe,P,,,Fe,P,Fe;P,1.BD.30,FeP,Approved,2012
Nazarovite,Ni,P,,,Ni x 5,P x 5,Ni;P,1.BD.35,Ni<sub>12</sub>P<sub>5</sub>,"Approved, Pending publication",2019
Negevite,Ni,P,,,Ni,P x 2,Ni;P,1.BD.35,NiP<sub>2</sub>,"Pending publication, Approved",2014
Nickolayite,Fe;Mo,P,,,Fe;Mo,P,Fe;Mo;P,1.BD.40,FeMoP,"Approved, Pending publication",2019
Polekhovskyite,Ni;Mo,P,,,Ni;Mo,P x 2,Mo;Ni;P,1.BD.45,MoNiP<sub>2</sub>,"Approved, Pending publication",2019
Tsikourasite,Ni;Mo,P,,,Ni x 2;Mo x 3,P x 1+x,Mo;Ni;P,1.BD.50,Mo<sub>3</sub>Ni<sub>2</sub>P<sub>1+x</sub> (x<0.25),Approved,2019
IMA No. 2019-039,Ni,P,,,Ni x 2,P,Ni;P,1.BD.55,Ni<sub>2</sub>P,"Approved, Pending publication",2019
Zuktamrurite,Fe,P,,,Fe,P x  2,Fe;P,1.BD.55,FeP<sub>2</sub>,"Pending publication, Approved",2014
Badengzhuite,Ti,P,,,Ti,P,Ti;P,1.BD.60,TiP,"Approved, Pending publication",2019
Grammatikopoulosite,Ni;V,P,,,Ni;V,P,Ni;V;P,1.BD.65,NiVP,Approved,2019
Marathonite,Pd,Ge,,,Pd x 25,Ge x 9,Pd;Ge,1.BE.05,Pd<sub>25</sub>Ge<sub>9</sub>,"Approved, Pending publication",2016
Palladogermanide,Pd,Ge,,,Pd x 2,Ge,Pd;Ge,1.BE.10,Pd<sub>2</sub>Ge,"Approved, Pending publication",2016
Jingsuiite,Pd,B,,,Pd x 2,B x 2,Ti;B,1.BF.05,TiB<sub>2</sub>,"Approved, Pending publication",2019
Kishonite,V,H,,,V,H x 2,V;H,1.BG.05,VH<sub>2</sub>,"Approved, Pending publication",2020
Antimony,Sb,,,,Sb,,Sb,1.CA.05,Sb,"Grandfathered, Approved",1748
Arsenic,As,,,,As,,As,1.CA.05,As,"Grandfathered, Approved",1310
Bismuth,Bi,,,,Bi,,Bi,1.CA.05,Bi,"Grandfathered, Approved",1500
Stibarsen,As;Sb,,,,As;Sb,,Sb;As,1.CA.05,SbAs,Approved,1941
Arsenolamprite,As,,,,As,,As,1.CA.10,As,"Grandfathered, Approved",1886
Pararsenolamprite,As;Sb,,,,(As + Sb)=1,,As;Sb,1.CA.10,"(As,Sb)",Approved,1999
Paradocrasite,As;Sb,,,,As;Sb x 3,,Sb;As,1.CA.15,Sb<sub>3</sub>As,Approved,1969
Graphite,C,,,,C,,C,1.CB.05a,C,"Grandfathered, Approved",1789
Chaoite,C,,,,C,,C,1.CB.05b,C,Approved,1968
Diamond,C,,,,C,,C,1.CB.10a,C,"Grandfathered, Approved",16
Lonsdaleite,C,,,,C,,C,1.CB.10b,C,Approved,1967
Silicon,Si,,,,Si,,Si,1.CB.15,Si,Approved,1983
Rosickýite,S,,,,S,,S,1.CC.05,S,"Grandfathered, Approved",1931
Sulphur,S,,,,S x 8,,S,1.CC.05,S<sub>8</sub>,"Grandfathered, Approved",1390
Sulphur-β,S,,,,S x 8,,S,1.CC.05,S<sub>8</sub>,"Approved, Grandfathered",1912
Selenium,Se,,,,Se,,Se,1.CC.10,Se,"Grandfathered, Approved",1828
Tellurium,Te,,,,Te,,Te,1.CC.10,Te,"Grandfathered, Approved",1802
Moissanite,Si,C,,,Si,C,Si;C,1.DA.05,SiC,"Grandfathered, Approved",1905
Nierite,Si,N,,,Si x 3,N<sub>4</sub>,Si;N,1.DB.05,Si<sub>3</sub>N<sub>4</sub>,Approved,1995
Sinoite,Si,,,,Si x 2,,Si;N;O,1.DB.10,Si<sub>2</sub>N<sub>2</sub>O,Approved,1964
Formicaite,Ca,HCOO,,,Ca,,Ca;C;H;O,10.AA.05,Ca(CHOO)<sub>2</sub>,Approved,1998
Dashkovaite,Mg,HCOO,,,Mg,,Mg;H;C;O,10.AA.10,Mg(HCOO)<sub>2</sub>·2H<sub>2</sub>O,Approved,2000
Acetamide,,,,,,,C;H;O;N,10.AA.20,CH<sub>3</sub>CONH<sub>2</sub>,Approved,1974
Calclacite,Ca,CH_3_COO;Cl,,,Ca,,Ca;C;H;O;Cl,10.AA.25,Ca(CH<sub>3</sub>COO)Cl·5H<sub>2</sub>O,"Grandfathered, Approved",1945
Paceite,Ca;Cu^2+^,CH_3_COO,,,Ca;Cu<sup>2+</sup>,,Ca;Cu;C;H;O,10.AA.30,CaCu(CH<sub>3</sub>COO)<sub>2</sub>·6H<sub>2</sub>O,Approved,2002
Hoganite,Cu^2+^,CH_3_COO,,,Cu<sup>2+</sup>,,Cu;C;H;O,10.AA.35,Cu<sup>2+</sup>(CH<sub>3</sub>COO)<sub>2</sub>·H<sub>2</sub>O,Approved,2002
Lazaraskeite,Cu^2+^,C_2_H_3_O_3_,,,Cu<sup>2+</sup>,,Cu;C;H;O,10.AA.40,Cu<sup>2+</sup>(C<sub>2</sub>H<sub>3</sub>O<sub>3</sub>)<sub>2</sub>,"Approved, Pending publication",2019
Marchettiite,,,,,,,C;H;N;O,10.AA.45,C<sub>5</sub>H<sub>7</sub>N<sub>5</sub>O<sub>3</sub>,"Approved, Pending publication",2017
Humboldtine,Fe^2+^,C_2_O_4_,,,Fe<sup>2+</sup>,,Fe;C;O;H,10.AB.05,Fe<sup>2+</sup>C<sub>2</sub>O<sub>4</sub>·2H<sub>2</sub>O,"Grandfathered, Approved",1821
Lindbergite,Mn^2+^,C_2_O_4_,,,Mn<sup>2+</sup>,,Mn;C;O;H,10.AB.05,Mn<sup>2+</sup>C<sub>2</sub>O<sub>4</sub>·2H<sub>2</sub>O,Approved,2004
Glushinskite,Mg,C_2_O_4_,,,Mg,,Mg;C;O;H,10.AB.07,MgC<sub>2</sub>O<sub>4</sub>·2H<sub>2</sub>O,"Redefined, Approved",1987
Moolooite,Cu^2+^,C_2_O_4_,,,Cu<sup>2+</sup>,,Cu;C;O;H,10.AB.10,Cu<sup>2+</sup>C<sub>2</sub>O<sub>4</sub>·nH<sub>2</sub>O,Approved,1986
Stepanovite,Fe^3+^;Mg;Na,C_2_O_4_,,,Fe<sup>3+</sup>;Mg;Na,,Na;Mg;Fe;C;O;H,10.AB.12,NaMgFe<sup>3+</sup>(C<sub>2</sub>O<sub>4</sub>)<sub>3</sub>·8-9H<sub>2</sub>O,Approved,1953
Minguzzite,Fe^3+^;K,C_2_O_4_,,,Fe<sup>3+</sup>;K x 3,,K;Fe;C;O;H,10.AB.15,K<sub>3</sub>Fe<sup>3+</sup>(C<sub>2</sub>O<sub>4</sub>)<sub>3</sub>·3H<sub>2</sub>O,"Grandfathered, Approved",1955
Wheatleyite,Cu^2+^;Na,C_2_O_4_,,,Cu<sup>2+</sup>;Na x 2,,Na;Cu;C;O;H,10.AB.17,Na<sub>2</sub>Cu<sup>2+</sup>(C<sub>2</sub>O<sub>4</sub>)<sub>2</sub>·2H<sub>2</sub>O,Approved,1984
Zhemchuzhnikovite,Al;Mg;Na,C_2_O_4_,,,Al;Mg;Na,,Na;Mg;Al;C;O;H,10.AB.20,NaMgAl(C<sub>2</sub>O<sub>4</sub>)<sub>3</sub>·8H<sub>2</sub>O,Approved,1963
Weddellite,Ca,C_2_O_4_,,,Ca,,Ca;C;O;H,10.AB.22,CaC<sub>2</sub>O<sub>4</sub>·2H<sub>2</sub>O,"Grandfathered, Approved",1942
Whewellite,Ca,C_2_O_4_,,,Ca,,Ca;C;O;H,10.AB.25,CaC<sub>2</sub>O<sub>4</sub>·H<sub>2</sub>O,Approved,1852
Caoxite,Ca,C_2_O_4_,,,Ca,,Ca;C;O;H,10.AB.27,CaC<sub>2</sub>O<sub>4</sub>·3H<sub>2</sub>O,Approved,1996
Oxammite,NH_4_,C_2_O_4_,,,(NH<sub>4</sub>) x 2,,N;H;C;O,10.AB.30,(NH<sub>4</sub>)<sub>2</sub>C<sub>2</sub>O<sub>4</sub>·H<sub>2</sub>O,"Grandfathered, Approved",1870
Natroxalate,Na,C_2_O_4_,,,Na x 2,,Na;C;O,10.AB.32,Na<sub>2</sub>C<sub>2</sub>O<sub>4</sub>,Approved,1996
Coskrenite-(Ce),Ce^3+^;Nd;La,C_2_O_4_;SO_4_,,,(Ce<sup>3+</sup> + Nd + La)=2,,Ce;Nd;La;C;O;S;H,10.AB.35,"(Ce<sup>3+</sup>,Nd,La)<sub>2</sub>(C<sub>2</sub>O<sub>4</sub>)(SO<sub>4</sub>)<sub>2</sub>·12H<sub>2</sub>O",Approved,1996
