Published.status,Created,Updated,Title,Strunz,Formula,Mindat.ID,Class,Colour,Crystal.System,Dimorph.Of,Group.Members,Group.Parent,Habit.Of,Hardness.Max,Hardness.Min,Isostructural.with,Mindat.Status,Mindat.URL,Mixture.Of,Polymorph.of,Polytype.Of,Renamed.To,Streak,Synonym.Of,Synonyms,Type.Locality,Unnamed,Variety.Of,Approval.status,Nid,Nid.1,Source
Yes,2015-03-23 14:08:06,2015-08-14 08:11:35,Muscovite-2M1,"","",32555,Mineral,"","","","","","","","","","","","","",Muscovite,"","","","","","","",Approved,9636,9636,
Yes,2015-03-23 14:08:06,2015-08-14 08:11:35,Pholerite,"","",ER0100,Mineral,"","","","","","","","","","","","","","",Kaolinite,"","","","","","",Approved,9638,9638,
Yes,2015-03-23 14:08:06,2015-08-14 08:11:35,Schraufite,"","",3580,Mineral,"","","","","","","","","","","","","","","","","","","","","",Approved,9640,9640,
Yes,2015-03-23 14:08:06,2015-08-14 08:11:35,Hiortdahlite Il,"","",5629,Mineral,"","","","","","","","","","","","","","","","","","","","","",Approved,9642,9642,
Yes,2015-03-23 14:08:06,2015-08-14 08:11:35,Cave Pearls,"","",22081,Mineral,"","","","","","","","","","","","","","","","","Aragonite, Calcite","Calcite Var Cave Pearl, Calcite Var Cave Pearls","","","",Approved,9643,9643,
Yes,2015-03-23 14:08:06,2015-08-14 08:11:37,Dar Aluminium Gani 400 Lunar Meteorite,"","",ER0101,Mineral,"","","","","","","","","","","","","","","","","","","","",Meteorite,Approved,9644,9644,
Yes,2015-03-23 14:08:06,2015-08-14 08:11:37,Guitermanite,"","",1773,Mineral,"","","","","","","","","","","","","","","","","","","","","",Approved,9646,9646,
Yes,2015-03-23 14:08:06,2015-08-14 08:11:37,Crinoid,"","",ER0102,Mineral,"","","","","","","","","","","","","","","","","","","","",Fossil,Approved,9647,9647,
Yes,2015-03-23 14:08:06,2019-07-12 09:22:34,Fossil,"","",ER0103,Fossil,"","","","","","","","","","","","","","","","","","","","","",Approved,9648,9648,
Yes,2015-03-23 14:08:06,2015-08-14 08:11:37,Painted Lady Opal,"","",ER0105,Mineral,"","","","","","","","","","","","","","","","","","","","",Opal,Approved,9650,9650,
Yes,2015-03-23 14:08:06,2015-08-14 08:11:37,Erbsenstein,"","",ER0106,Mineral,"","","","","","","","","","","","","","","","","","","","",Pisolite,Approved,9652,9652,
Yes,2015-03-23 14:08:06,2015-08-14 08:11:37,Pisolite,"","",26778,Mineral,"","","","","","","","","","","","","","","","","","","","",Aragonite,Approved,9653,9653,
Yes,2015-03-23 14:08:06,2015-08-14 08:11:39,Migmatite,"","",ER0107,Mineral,"","","","","","","","","","","","","","","","","","","","",Gneiss,Approved,9654,9654,
Yes,2015-03-23 14:08:06,2015-08-14 08:11:39,Gneiss,"","",ER0108,Mineral,"","","","","","","","","","","","","","","","","","","","",Metamorphic Rock,Approved,9655,9655,
Yes,2015-03-23 14:08:06,2015-08-14 08:11:39,Metamorphic Rock,"","",ER0109,Mineral,"","","","","","","","","","","","","","","","","","","","","",Approved,9656,9656,
Yes,2015-03-23 14:08:06,2015-08-14 08:11:39,Cadmian Smithsonite,"","",843,Mineral,"","","","","","","","","","","","","","","","","",Cadmium Smithsonite,"","",Smithsonite,Approved,9658,9658,
Yes,2015-03-23 14:08:06,2015-09-09 00:52:20,Ferrocalcite,"","",30426,Mineral,"","","","","","","","","","","","","","","","","Ferroan Calcite, Siderite","Ferro Calcite, Ferro-calcite","","","",Approved,9659,9659,
Yes,2015-03-23 14:08:02,2015-08-14 08:11:39,Camsellite,"","",ER0068,Mineral,"","","","","","","","","","","","","","",Szaibélyite,"","","","","","",Approved,9570,9570,
Yes,2015-03-23 14:08:02,2015-08-14 08:11:40,Cobaltoan Brandtite,"","",ER0072,Mineral,"","","","","","","","","","","","","","","","","","Cobaltobrandite, Cobaltobrandtite","","",Brandtite,Approved,9573,9573,
Yes,2015-03-23 14:08:02,2015-08-14 08:11:40,Tsepinite,"","",ER0073,Mineral,"","","","",Labuntsovite Supergroup,"","","","","","","","","","","","","","","","",Approved,9574,9574,
Yes,2015-03-23 14:08:02,2015-08-14 08:11:40,Potato Stone,"","",ER0074,Mineral,"","","","","","","","","","","","","","",Agate,"","",Agate Var Potato Stone,"","","",Approved,9576,9576,
Yes,2015-03-23 14:08:02,2015-08-14 08:11:40,Tengerite,"","",ER0075,Mineral,"","","","",Tengerite Group,"","","","","","","","","","","","","","","","",Approved,9577,9577,
Yes,2015-03-23 14:08:02,2015-08-14 08:11:42,Steinmannite,"","",ER0078,Mineral,"","","","","","","","","","","","","","","","","","","","",Galena,Approved,9591,9591,
Yes,2015-03-23 14:08:02,2015-08-14 08:11:44,Condurrite,"","",10070,Mineral,"","","","","","","","","","","","","","","","","","","","","",Approved,9594,9594,
Yes,2015-03-23 14:08:02,2015-08-14 08:11:44,Greenkop,"","",ER0082,Mineral,"","","","","","","","","","","","","","","","","","","","",Beryl,Approved,9596,9596,
Yes,2015-03-23 14:08:02,2015-08-14 08:11:44,Valchovite,"","",29153,Mineral,"","","","","","","","","","","","","","","","","","","","","",Approved,9599,9599,
Yes,2015-03-23 14:08:02,2015-08-14 08:11:44,Star Mica,"","",ER0084,Mineral,"","","","","","","","","","","","","","","","","","Muscovite Var Star Mica, Star Muscovite, Muscovite Var Star","","",Muscovite,Approved,9602,9602,
Yes,2015-03-23 14:08:02,2015-08-14 08:11:45,Antimony Ochre,"","",209,Mineral,"","","","","","","","","","","","","","","","","","","","","",Approved,9603,9603,
Yes,2015-03-23 14:08:02,2015-08-14 08:11:45,Natural Pitch,"","",ER0085,Mineral,"","","","","","","","","","","","","","","","","","","","",Pyrobitumen,Approved,9608,9608,
Yes,2015-03-23 14:08:02,2015-08-14 08:11:45,Needle-tin ore,"","",29907,Mineral,"","","","","","","","","","","","","","","","","","","","",Cassiterite,Approved,9610,9610,
Yes,2015-03-23 14:07:58,2015-08-14 08:11:47,Mckelveyite,"","",2618,Mineral,"","","","","","","","","","",http://www.mindat.org/min-2618.html,"","","","","","","Mckelvyite, Mackelveyite","","","",Approved,9522,9522,
Yes,2015-03-23 14:07:58,2015-08-14 08:11:47,Thalenite,"","",ER0051,Mineral,"",Monoclinic,"","","","","","","","","","","","","","","","","","","",Approved,9524,9524,
Yes,2015-03-23 14:07:58,2015-08-14 08:11:47,Samtblende,"","",ER0052,Mineral,"","","","","","","","","","","","","","","","","","","","",Goethite,Approved,9525,9525,
Yes,2015-03-23 14:07:58,2015-08-14 08:11:47,Jacinto De Compostela,"","",ER0053,Mineral,"","","","","","","","","","","","","","","","","","","","",Eisenkiesel,Approved,9526,9526,
Yes,2015-03-23 14:07:58,2015-08-14 08:11:47,Cobaltoan Aragonite,"","",ER0054,Mineral,"","","","","","","","","","","","","","","","","","","","",Aragonite,Approved,9527,9527,
Yes,2015-03-23 14:07:58,2015-08-14 08:11:47,Maramares Diamond,"","",ER0055,Mineral,"","","","","","","","","","","","","","","","","",Maramares Diamonds,"","",Quartz,Approved,9528,9528,
Yes,2015-03-23 14:07:58,2015-08-14 08:11:49,Rockenberger Rose,"","",ER0057,Mineral,"","","","","","","","","","","","","","","","","","Rockenberger Rösch, Rockenberger Röschen, Baryte Var Rockenberger Röschen, Baryte Var Rockenberger Rose, , Baryte Var Rockenberger Rösch","","",Baryte,Approved,9536,9536,
Yes,2015-03-23 14:07:58,2015-08-14 08:11:51,Xonotlite Group,"","",35110,Mineral,"","","","","","","","","","","","","","","","","","","","","",Approved,9544,9544,
Yes,2015-03-23 14:07:58,2015-08-14 08:11:51,Hagemannite,"","",1794,Mineral,"","","","","","","","","","","","","","","","","","","","","",Approved,9550,9550,
Yes,2015-03-23 14:07:58,2015-08-14 08:11:52,Gypsum Var Desert Rose,"","",ER0060,Mineral,"","","","","","","","","","","","","","","","",Desert Rose,"Gypsum Rose, Sand Rose, Gypsum Var Sand Rose","","",Gypsum,Approved,9555,9555,
Yes,2015-03-23 14:07:58,2015-08-14 08:11:52,Clinoptilolite,"","",1082,Mineral,"","","","","","","","","","","","","","","","","Clinoptilolite-Ca, Clinoptilolite-K, Clinoptilolite-Na","","","","",Approved,9558,9558,
Yes,2015-03-23 14:07:58,2015-08-14 08:11:55,Schrötterite,"","",3585,Mineral,"","","","","","","","","","","","Diaspore, Halloysite, Variscite","","","","","","Schroetterite, Schrotterite","","","",Approved,9563,9563,
Yes,2015-03-23 14:07:58,2015-08-14 08:11:55,Daisy Bed Gypsum,"","",ER0061,Mineral,"","","","","","","","","","","","","","","","","","","","",Gypsum,Approved,9564,9564,
Yes,2015-03-23 14:07:55,2015-08-14 08:11:55,Mirabeau Diamond,"","",ER0030,Mineral,"","","","","","","","","","","","","","","","","",Quartz Var Mirabeau Diamond,"","",Quartz,Approved,9476,9476,
Yes,2015-03-23 14:07:55,2015-08-14 08:11:55,Plumbian Microcline,"","",ER0032,Mineral,"","","","","","","","","","","","","","","","","",Microcline Var Plumbian,"","",Microcline,Approved,9479,9479,
Yes,2015-03-23 14:07:55,2016-06-29 12:23:21,Glaskopf,"","",29758,Mineral,"","","","","","","","","","",http://www.mindat.org/min-29758.html,"","","","","","","","","",Goethite,Approved,9481,9481,
Yes,2015-03-23 14:07:55,2015-08-14 08:11:55,Mariposa Calcite,"","",ER0034,Mineral,"","","","","","","","","","","","","","","","","","","","",Calcite,Approved,9482,9482,
Yes,2015-03-23 14:07:55,2015-08-14 08:11:55,Ramshorn Gypsum,"","",ER0035,Mineral,"","","","","","","","","","","","","","","","","","Selenite Var Rams Horn, Selenite Var Ramshorn","","",Gypsum,Approved,9483,9483,
Yes,2015-03-23 14:07:55,2015-08-14 08:11:55,Artichoke Quartz,"","",ER0037,Mineral,"","","","","","","","","","","","","","","","","",Quartz Var Artichoke,"","",Quartz,Approved,9487,9487,
Yes,2015-03-23 14:07:55,2015-08-14 08:11:58,Plumbian Calcite,"","",ER0038,Mineral,"","","","","","","","","","","","","","","","","",Calcite Var Plumbian,"","",Calcite,Approved,9488,9488,
Yes,2015-03-23 14:07:55,2015-08-14 08:11:58,Erzbergite,"","",26648,Mineral,"","","","","","","","","","",http://www.mindat.org/min-26648.html,"","","","","","","Aragonite Var Erzbergite, Calcite Var Erzbergite","","",Aragonite,Approved,9489,9489,
Yes,2015-03-23 14:07:55,2015-08-14 08:11:58,Milk Quartz,"","",ER0039,Mineral,"","","","","","","","","","","","","","","","","","Quartz Var Milky, Quartz Var Milk","","",Quartz,Approved,9491,9491,
Yes,2015-03-23 14:07:55,2015-08-14 08:12:00,Dulcote Agate,"","",ER0042,Mineral,"","","","","","","","","","","","","","","","","",Chalcedony Var Dulcote Agate,"","",Chalcedony,Approved,9505,9505,
Yes,2015-03-23 14:07:55,2015-08-14 08:12:00,Dauphine Quartz,"","",ER0043,Mineral,"","","","","","","","","","","","","","","","","",Quartz Var Dauphine,"","",Quartz,Approved,9506,9506,
Yes,2015-03-23 14:07:55,2015-08-14 08:12:01,Agatised Flint,"","",ER0045,Mineral,"","","","","","","","","","","","","","","","","","","","",Flint,Approved,9510,9510,
Yes,2015-03-23 14:07:55,2015-10-16 22:32:42,Meteorite,"","",ER0046,Meteorite,"","","","","","","","","","","","","","","","","","","","","",Approved,9514,9514,
Yes,2015-03-23 14:07:55,2015-08-14 08:12:01,Gibeon Meteorite,"","",ER0047,Mineral,"","","","","","","","","","","","","","","","","","","","",Meteorite,Approved,9515,9515,
Yes,2015-03-23 14:07:55,2015-08-14 08:12:03,Shell,"","",ER0048,Mineral,"","","","","","Calcite, Dolomite, Smithsonite","","","","","","","","","","","","","","","",Approved,9518,9518,
Yes,2015-03-23 14:07:55,2015-08-14 08:12:03,Cuprian Calcite,"","",ER0049,Mineral,"","","","","","","","","","","","","","","","","","","","",Calcite,Approved,9519,9519,
Yes,2015-03-23 14:07:51,2015-08-14 08:12:03,"","","","",Mineral,"","","","",Zeolite Group,"","","","","",http://www.mindat.org/min-2388.html,"","","","","","","","","",Quartz,Approved,9427,9427,
Yes,2015-03-23 14:07:51,2015-08-14 08:12:03,Wegeler Agate,"","",ER0091,Mineral,"","","","","","","","","","","","","","","","","",Agate Var Wegeler,"","",Agate,Approved,9428,9428,
Yes,2015-03-23 14:07:51,2015-08-14 08:12:05,Zincian Paratacamite,"","",ER0062,Mineral,"","","","","","","","","","","","","","","","","","Zincoparatacamite, Zincoparatacamite","","",Paratacamite,Approved,9433,9433,
Yes,2015-03-23 14:07:51,2015-08-14 08:12:05,Polychrom Tourmaline,"","",ER0012,Mineral,"","","","","","","","","","","","","","","","","","","","",Tourmaline,Approved,9434,9434,
Yes,2015-03-23 14:07:51,2015-08-14 08:12:05,Opalized Clam,"","",ER0013,Mineral,"","","","","","","","","","","","","","","","","",Opal Psm Shell,"","",Chalcedony,Approved,9435,9435,
Yes,2015-03-23 14:07:51,2015-08-14 08:12:05,Serpentine Group,"","",11135,Mineral,"","","","","","","","","","",http://www.mindat.org/min-11135.html,"","","","","","","","","","",Approved,9438,9438,
Yes,2015-03-23 14:07:51,2015-08-14 08:12:05,Cobaltobrandtite,"","",ER0018,Mineral,"","","","","","","","","","","","","","","","","","","","",Brandtite,Approved,9441,9441,
Yes,2015-03-23 14:07:51,2015-08-14 08:12:06,Cuprian Aragonite,"","",ER0021,Mineral,"","","","","","","","","","","","","","","","","","Aragonite Var Cuprian, Aragonite Var Blue","","",Aragonite,Approved,9449,9449,
Yes,2015-03-23 14:07:51,2015-08-14 08:12:06,Tectonic Quartz,"","",ER0022,Mineral,"","","","","","","","","","","","","","","","","",Quartz Var Tectonic,"","",Quartz,Approved,9450,9450,
Yes,2015-03-23 14:07:51,2015-08-14 08:12:08,Honigspat,"","",ER0024,Mineral,"","","","","","","","","","","","","","","","","","","","",Fluorite,Approved,9459,9459,
Yes,2015-03-23 14:07:51,2015-08-14 08:12:10,Cathedral Quartz,"","",28971,Mineral,"","","","","","","","","","",http://www.mindat.org/min-28971.html,"","","","","","",Quartz Var Cathedral Quartz,"","",Quartz,Approved,9467,9467,
Yes,2015-03-23 14:07:51,2015-08-14 08:12:10,Xanthosiderite,"","",ER0028,Mineral,"","","","","","","","","","","","","","","","","","","","",Limonite,Approved,9471,9471,
Yes,2015-03-23 14:07:51,2015-08-14 08:12:11,Alligator Quartz,"","",ER0029,Mineral,"","","","","","","","","","","","","","","","","","Quartz Var Alligator, Jacaré Quartz, Jacare Quartz, Quartz Var Jacarè, Crocodile Quartz","","",Quartz,Approved,9473,9473,
Yes,2015-03-23 14:07:46,2017-04-28 10:16:31,Carbonatocyanotrichite,7.DE.10,"Cu4Al2(CO3,SO4)(OH)12·2H2O",894,Mineral,Pale Blue,Orthorhombic,"","",Cyanotrichite,"",2,2,"","",http://www.mindat.org/min-894.html,"","","","","","","","Balasauskandyk, Karatau Range, Southern Kazakhstan Province, Kazakhstan","","",Approved,9386,9386,
Yes,2015-03-23 14:07:46,2015-08-14 08:12:14,Pyrochlore,"","",40411,Mineral,"","","","",Pyrochlore Group,"","","","","",http://www.mindat.org/min-40411.html,"","","","","",Pyrochlore Group,"","","","",Approved,9387,9387,
Yes,2015-03-23 14:07:46,2015-09-12 21:30:18,Fluorapophyllite,"","",35595,Mineral,"","","","","","","","","","",http://www.mindat.org/min-35595.html,"","","","","","Fluorapophyllite-(K), Fluorapophyllite-(Na)","Fluor-apophyllite, Fluorapophyllite -","","","",Approved,9390,9390,
Yes,2015-03-23 14:07:46,2015-08-14 08:12:14,Mica Group,"","",6728,Mineral,"","","","","","","","","","",http://www.mindat.org/min-6728.html,"","","","","","","","","","",Approved,9394,9394,
Yes,2015-03-23 14:07:46,2015-08-14 08:12:17,Wood Olivenite,"","",ER0002,Mineral,"","","","","","","","","","","","","","","","","","","","",Olivenite,Approved,9407,9407,
Yes,2015-03-23 14:07:46,2015-08-14 08:12:17,Faden,"","",ER0006,Mineral,"","","","","","Quartz, Epidote, Clinozoisite","","","","","","","","","","","","","","","",Approved,9414,9414,
Yes,2015-03-23 14:07:46,2015-08-20 21:30:12,Manganoan Smithsonite,"","(Mn,Co)CO3",ER0008,Mineral,"","","","","","","","","","","","","","","","","",Manganosmithsonite,"","",Smithsonite,Approved,9421,9421,
Yes,2015-03-23 14:07:46,2015-08-14 08:12:19,Cuprian Powellite,"","",ER0009,Mineral,"","","","","","","","","","","","","","","","","","","","",Powellite,Approved,9424,9424,
Yes,2015-03-23 14:07:46,2015-08-14 08:12:20,Vicanite,"","",ER0010,Mineral,"","","","",Vicanite Group,"","","","","","","","","","","","","","","","",Approved,9426,9426,
Yes,2015-03-23 13:22:00,2015-08-14 08:12:20,Cu-rich lyonsite,"","",46476,Mineral,"","","","","","",0.0,0.0,"","",http://www.mindat.org/min-46476.html,"","","","","","","","","",Lyonsite,Approved,9376,9376,
Yes,2015-03-23 13:16:48,2015-08-14 08:12:20,Samtblende,"","",26893,Mineral,"","","","","","",0.0,0.0,"","",http://www.mindat.org/min-26893.html,"","","","","","","","","",Goethite,Approved,9374,9374,
Yes,2015-03-23 12:47:46,2015-08-14 08:12:20,Befanamite,"",Sc2Si2O7,601,Mineral,"","","","","","",0.0,0.0,"","",http://www.mindat.org/min-601.html,"","","","","","","","","",Thortveitite,Approved,9373,9373,
Yes,2015-03-07 12:56:36,2015-08-14 08:12:20,Faden,"","","","","","","","","","Quartz, Epidote, Clinozoisite","","","","","","","","","","","","","","","",Approved,9370,9370,
Yes,2015-01-22 10:42:11,2015-08-14 08:12:53,IMA2013-045,"","(Be,☐)(V3+,Ti)3O6",43917,"",Black,"","","","","",0.0,0.0,"","",http://www.mindat.org/min-43917.html,"","","","","","","","Byrud Emerald Mine, Minnesund, Eidsvoll (Eidsvold), Akershus, Norway","","",Approved,9149,9149,
Yes,2015-01-22 10:42:03,2015-08-14 08:13:08,Barroisite Root Name,"","☐{CaNa}{Z2+3Z3+2}(AlSi7O22)(OH,F,Cl)2",43476,"","","","","","","",0.0,0.0,"","",http://www.mindat.org/min-43476.html,"","","","","","","","","","",Approved,9010,9010,
Yes,2015-01-22 10:42:03,2015-08-14 08:13:08,Nybøite Root Name,"","ANa2(Z2+3Z3+2)(AlSi7O22)(OH,F,Cl)2",43501,"","","","","","","",0.0,0.0,"","",http://www.mindat.org/min-43501.html,"","","","","","",Nyboeite Root Name,"","","",Approved,9014,9014,
Yes,2015-01-22 10:42:03,2015-08-14 08:13:08,Leakeite Root Name,"","ANa2(Z2+2Z3+2Li)(Si8O22)(OH,F,Cl)2",43507,"","","","","","","",0.0,0.0,"","",http://www.mindat.org/min-43507.html,"","","","","","","","","","",Approved,9015,9015,
Yes,2015-01-22 10:42:03,2015-08-14 08:13:08,Pedrizite Root Name,"","ALi2(LiZ2+2Z3+2)(Si8O22)(OH,F,Cl)2",43514,"","","","","","","",0.0,0.0,"","",http://www.mindat.org/min-43514.html,"","","","","","","","","","",Approved,9017,9017,
Yes,2015-01-22 10:42:03,2015-08-14 08:13:08,Anthophyllite Root Name,"",☐{X2}{Z5}(Si8O22)(OH)2,43520,"","","","","","","",0.0,0.0,"","",http://www.mindat.org/min-43520.html,"","","","","","","","","","",Approved,9018,9018,
Yes,2015-01-22 10:42:03,2015-08-14 08:13:11,Magnesium-iron-manganese Amphibole Subgroup,"",An(X2)(Z2+5-mZ3+m)(Si8-(n+m)Al(n+m)O22(OH)2,43524,"","","","","","","",0.0,0.0,"","",http://www.mindat.org/min-43524.html,"","","","","","","","","","",Approved,9020,9020,
Yes,2015-01-22 10:42:03,2015-08-14 08:13:11,Ghoseite Root Name,"",☐[Mn2+Na][C2+4C3+]Si8O22W2,43530,"","","","","","","",0.0,0.0,"","",http://www.mindat.org/min-43530.html,"","","","","","","","","","",Approved,9021,9021,
Yes,2015-01-22 10:41:59,2015-08-14 08:13:26,Tschermakite Root Name,"","☐(Ca2)(Z2+3Z3+2}(Al2Si6O22)(OH,F,Cl)2",43418,"","","","","","","",0.0,0.0,"","",http://www.mindat.org/min-43418.html,"","","","","","","","","","",Approved,8999,8999,
Yes,2015-01-22 10:41:59,2015-08-14 08:13:28,Pargasite Root Name,"","(A)(Ca2){Z2+4 Al)(Al2Si6O22)(OH,F,Cl)2",43429,"","","","","","","",0.0,0.0,"","",http://www.mindat.org/min-43429.html,"","","","","","","","","","",Approved,9003,9003,
Yes,2015-01-22 10:41:59,2015-08-14 08:13:28,Hastingsite Root Name,"","(A)(Ca2){Z2+4 Fe3+)(Al2Si6O22)(OH,F,Cl)2",43433,"","","","","","","",0.0,0.0,"","",http://www.mindat.org/min-43433.html,"","","","","","","","","","",Approved,9004,9004,
Yes,2015-01-22 10:41:55,2015-08-14 08:13:38,D'Ansite-(Fe),"",Na21Fe2+(SO4)10Cl3,42848,"","","","","","","",0.0,0.0,"","",http://www.mindat.org/min-42848.html,"","","","","","","D'Ansite-Fe, D'Ansite Fe, D'Ansite - Fe","La Fossa crater, Vulcano Island, Lipari, Eolie Islands (Aeolian Islands), Messina Province, Sicily, Italy","","",Approved,8945,8945,
Yes,2015-01-22 10:41:51,2015-08-14 08:13:44,Leukogranat,"","",42415,"","","","","","","",0.0,0.0,"","",http://www.mindat.org/min-42415.html,"","","","","","","","","",Grossular,Approved,8870,8870,
Yes,2015-01-22 10:41:40,2015-08-14 08:14:12,Fluornatroroméite,"","(Na,Ca)2Sb2(O,OH)6F",40365,"","","","","","","",0.0,0.0,"","",http://www.mindat.org/min-40365.html,"","","","","","","","","","",Approved,8715,8715,
Yes,2015-01-22 10:41:40,2015-08-14 08:14:12,Oxycalcioroméite,"",Ca2Sb2O7,40368,"","","","","","","",0.0,0.0,"","",http://www.mindat.org/min-40368.html,"","","","","","","","Buca della Vena Mine, Ponte Stazzemese, Stazzema, Apuan Alps, Lucca Province, Tuscany, Italy","","",Approved,8717,8717,
Yes,2015-01-22 10:41:36,2015-08-14 08:14:28,Zero valent dominant member of Pyrochlore Group,"","",40348,"","","","","","","",0.0,0.0,"","",http://www.mindat.org/min-40348.html,"","","","","","","","","",Pyrochlore Group,Approved,8705,8705,
Yes,2015-01-22 10:41:32,2015-08-14 08:14:35,D'Ansite-(Mn),"",Na21Mn2+(SO4)10Cl3,42846,"","","","","","","",0.0,0.0,"","",http://www.mindat.org/min-42846.html,"","","","","","","D'Ansite-Mn, D'Ansite Mn, D'Ansite - Mn","Somma-Vesuvius Complex, Naples Province, Campania, Italy","","",Approved,8649,8649,
Yes,2015-01-22 10:41:24,2015-08-14 08:14:50,Katophorite Root Name,"","A(CaNa)(Z2+4Z3+)(AlSi7O22)(OH,F,Cl)2",39388,"","","","","","","",0.0,0.0,"","",http://www.mindat.org/min-39388.html,"","","","","","","","","","",Approved,8533,8533,
Yes,2015-01-22 10:40:56,2015-08-14 08:16:16,Magnesian menaccanite,"","",29791,"","","","","","","",0.0,0.0,"","",http://www.mindat.org/min-29791.html,"","","","","","","","","",Ilmenite,Approved,8188,8188,
Yes,2015-01-22 10:40:49,2015-08-14 08:16:47,Tremolite-actinolite series,"","☐{Ca2}{Z5}(Si8O22)(OH,F,Cl)2",29085,"","","","","","","",0.0,0.0,"","",http://www.mindat.org/min-29085.html,"","","","","","","","","","",Approved,8104,8104,
