"Mineral_Name","Approval history","Groups","Synonyms","Varieties","Strunz 8th edition","Dana 8th edition","Strunz 10th edition","Hey's 3rd edition","Formula","Crystal System","Class Name","H-M symbol","Space group","Non-standart settings","Optical Properties","Colour","Streak","Lustre","Cleavage","Fracture","Tenacity","Hardness","Density measured","Density calculated","Habit","Geological occurrence","Localities","References","Named for","Type Locality","Distribution","Distribution Range","URL to e-Rocks","Context","Groups Short"
"Orbiculite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/604006",,
"Shelkovite","Approved",,,,,,,,"Mg_7_(CO_3_)_5_(OH)_4_·24H_2_O","Monoclinic",,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/599436",,
"Manganepidote","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/591383",,
"Libyan Desert Glass","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/589925",,
"Zhonghuacerite-(Ce)","Approved",,"Zhonghuacerite - Ce",,"5/C.07-160",,,,"Ba_2_Ce(CO_3_)_3_F","Trigonal",,,,,,"Yellow",,,,,,"4½",,,,,,,,,,,"https://e-rocks.com/node/582011",,
"Unnamed (MSH UK-86)","Approved",,,,,,,,"Fe, S, Si, O, Na, K, Cl",,,,,,,"orange-brown",,,,,,,,,,,,,,,,,"https://e-rocks.com/node/580633",,
"Animikite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/580532",,
"Lévyne","Approved",,"Levyine",,"77.1.2.8",,,,,,,,,,,"White","White",,,,,"4-4½",,,,,,,,,,,"https://e-rocks.com/node/579641",,
"Margarodite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/579597",,
"Lussatite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,"Lussat, Puy-de-Dôme, Auvergne, France",,,,,,"https://e-rocks.com/node/577291",,
"Mineral F (of Dunn)","Approved",,"UM1986-10-CO:ClHMgMnZn",,,,,,"Mg_5_(Zn,Mn)_3_(CO_3_)_2_(OH,Cl)_12_ · H_2_O",,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/574143",,
"Unnamed (MSH UK-52)","Approved",,,,,,,,"(K,Na)_4-x_(Mn,Fe)_4-y_Si_8_O_20_ · nH_2_O",,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/574142",,
"Nordite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/499609",,
"Bismuth Ochre","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/498133",,
"Argyropyrite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/490623",,
"Pyroaurite-3R","Approved",,,,,,,,"Mg_6_Fe_2_^3+^(OH)_16_(CO_3_) · 4H_2_O","Trigonal",,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/490607",,
"Coal Blend","Approved",,"Coal Blend",,,,,,,"Amorphous",,,,,,"Jet-black",,,,,,"2-3",,,,,,,,,,,"https://e-rocks.com/node/489754",,
"Triphane","Approved",,"Spodumene Var Triphane",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/488607",,
"Bentonite","Approved",,"Amargosite, Otaylite, Taylorite (of Knight)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/479575",,
"UM1986-10-CO:ClHMgMnZn","Approved",,"Mineral F (of Dunn), UM1986-10",,"5.DA.05",,,,"Mg_5_(Zn,Mn)_3_(CO_3_)_2_(OH,Cl)_12_ · H_2_O",,,,,,,,,,,,,,,,,,"Sterling Mine, Sterling Hill, Ogdensburg, Franklin, Sussex County, New Jersey, USA",,,,,,"https://e-rocks.com/node/254944",,
"Copper Pitch Ore","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/247713",,
"Rötel","New",,"Rotel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/243528",,
"Merumite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,"Director Creek, Merume river, Kamakusa, Mazaruni District, Guyana",,,,,,"https://e-rocks.com/node/243529",,
"Resbanyite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/229706",,
"Kafehydrocyanite","Approved",,,,"9/A.02-40",,,,"K_4_[Fe(CN)_6_] · H_2_O","Tetragonal",,,,,,"Yellow",,,,,,"2-2½",,,,,,,,,,,"https://e-rocks.com/node/223038",,
"Cadmian Wulfenite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/221081",,
"Almandine-Pyrope Series","Approved",,"Almandine - Pyrope",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/220336",,
"Chabazite","Approved",,"Chabazite -, Cabasite, Chabazite-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/208792",,
"Pyrrhotite-5C","Approved",,"Pyrrhotite-5h",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/208794",,
"Pectolite-M2abc","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/208795",,
"Berthierine-1H","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/208796",,
"Barium-Uranophane","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/208798",,
"Pseudo-autunite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/208799",,
"Ilmenite-Pyrophanite Series","Approved",,"Ilmenite - Pyrophanite Series",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/208801",,
"Graphite-3R","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/208802",,
"Andradite-Grossular Series","Approved",,"Andradite - Grossular Series, Andradite - Grossular, Grossular - Andradite, Grossular-Andradite, Andradite-Grossular-Series",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/208804",,
"Ferro-Actinolite-Tremolite Series","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/208805",,
"Ferro-akermanite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/208807",,
"Antillite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/208808",,
"Brostenite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/208816",,
"Quintinite-2H","Approved",,"Quintinite-2h, Quintinite 2H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/207554",,
"Urphoite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/202518",,
"Plumbogummite Group","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/202519",,
"Oxycalciobetafite","Approved","Pyrochlore Supergroup",,,,,,,"Ca_2_(Ti,Nb)_2_O_6_O",,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/202520",,
"Ferriallanite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/202521",,
"Grossular-Uvarovite Series","Approved",,"Grossular Uvarovite Series",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/59513",,
"Bastnäsite","Approved",,"Bastnaesite, Bastnasite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10132",,
"Polychrom","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10133",,
"Columbite-Tantalite","Approved",,"Columbite Tantalite, Columbite - Tantalite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10135",,
"Roméite","Approved",,"Romeite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10136",,
"Csiklovaite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10137",,
"Nickel-iron","Approved",,"Nickel Iron",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10138",,
"Heliophyllite","Approved",,,,"3/D.10-110",,,,"Pb_6_As_2_O_7_Cl_4_","Orthorhombic",,,,,,,,,,,,2,,,,,"Långban, Filipstad, Värmland, Sweden",,,,,,"https://e-rocks.com/node/10141",,
"Turgite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10143",,
"Anorthoclase","Approved","Feldspar Group",,,"9.FA.30*",,,,"(Na,K)AlSi_3_O_8_","Triclinic",,,,,,"white, colourless, greyish pink","white",,,,,"6-6.5",,,,,"Pantelleria Island, Trapani Province, Sicily, Italy",,,,,,"https://e-rocks.com/node/10144",,
"Kutyukhinite","New",,,,,,,,"2Ca_2_(SiO_4_)·CaF_2_",,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10145",,
"Clinochrysotile","Approved",,,,"9.ED.15",,,,"Mg_3_(Si_2_O_5_)(OH)_4_",,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10146",,
"Manganese","New",,"Mangan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10147",,
"Rubinblende","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10148",,
"Arisite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10150",,
"Anauxite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10151",,
"Pyropissite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10152",,
"Podnoginite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10153",,
"α-Brass","Approved",,"Brass",,"1.AB.10a",,,,"Cu_3_Zn","Isometric",,,,,,"Yellow",,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10154",,
"Grandiferrite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10156",,
"Clino-holmquistite","New",,"Clinoholmquistite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10158",,
"Barrandite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10161",,
"Platynite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10162",,
"Tetraferrinontronite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10164",,
"Lorettoite","Approved",,,,,,,,"Pb_7_O_6_Cl_2_","Orthorhombic",,,,,,"Honey-yellow, yellow, reddish yellow",,,,,,"2½-3",,,,,,,,,,,"https://e-rocks.com/node/10165",,
"Ganomatite","Approved",,"Goose-dung ore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10166",,
"Dzhezkazganite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10167",,
"Manganomelane","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10169",,
"Plumosite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10170",,
"Anyolite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10171",,
"Krugite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10172",,
"Torbakovite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10173",,
"Belosharite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10174",,
"Asbeferrite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10175",,
"Zirfesite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10176",,
"Arsenobismite","Approved",,,,"41.6.9.1",,,,,,,,,,,"Yellowish-brown, yellowish-green",,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10178",,
"Altmarkite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10179",,
"Spodiophyllite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10181",,
"Atlasite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10182",,
"Bonchevite","Approved",,,,,,,,,,,,,,,"steel gray, lead gray",,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10183",,
"Mavinite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10185",,
"Orthochamosite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10186",,
"Ancylite","Approved",,"Ankylite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10188",,
"K Feldspar","Approved",,"K-feldspar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10190",,
"Cualstibite-1M","Approved",,"Cyanophyllite, Cualstibite 1M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10192",,
"Kivuite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10193",,
"Terriconite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10194",,
"Polybasite-Tac","Approved",,"Antimonpearceite, Polybasite Tac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10195",,
"Arandisite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10196",,
"Azovskite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10197",,
"Ugrandite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10199",,
"Magnesiotaaffeite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10201",,
"Halfbreed","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10202",,
"Hellandite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10203",,
"Igumnovite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10204",,
"Niobium","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10205",,
"Tantalum","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10206",,
"Ytterbium","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10207",,
"Fluocerite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10208",,
"Rhenium","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10209",,
"Calcioancylite","Approved",,"Calcio-ancylite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10213",,
"Viséite","Approved",,"Viseite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10214",,
"Pinite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10215",,
"Natropyrochlore","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10216",,
"Bauxite","Approved",,"Cliachite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10218",,
"Guarinite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10220",,
"Enhydro Quartz","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10221",,
"Mazzite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10222",,
"Wakefieldite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10225",,
"Lithomarge","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10228",,
"Perthite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10229",,
"Crestmoreite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10230",,
"Juddite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10231",,
"Obertiite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10232",,
"Natrokomarovite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10233",,
"Tundrite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10234",,
"Enysite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10236",,
"Emery","Approved",,"Smirgel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10237",,
"Korkinoite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10238",,
"Geode","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10239",,
"Kerstenite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10242",,
"Romanite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10243",,
"Kertschenite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10244",,
"Stromnite","Approved",,"Bariostrontianite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10245",,
"Kerolite","Approved",,,,,,,,"(Mg,Ni)_3_Si_4_O_10_(OH)_2_ · nH_2_O (n ~ 1)

(Ni non essential)","Monoclinic",,,,,,"white, brown, green, colourless",,,,,,"2-2.5",,,,,,,,,,,"https://e-rocks.com/node/10247",,
"Wollastonite-2M","Approved",,"Wollastonite 2M, Wollastonite 2 M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10248",,
"Tiger Iron","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10249",,
"Jeromite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10250",,
"Cordylite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10251",,
"Chlorophyllite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10252",,
"Iddingsite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10253",,
"Chrysanthemum Stone","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10254",,
"Ophicalcite","Approved",,"Connemara Marble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10255",,
"Grossular-Hibschite Series","Approved",,"Hydrogrossular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10256",,
"Orbicular Jasper","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10257",,
"Ashanite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10261",,
"Pyrochlore Supergroup","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10262",,
"Mésotype","Approved",,"Mesotype",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10264",,
"Hjelmite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10265",,
"Ferro-barroisite","Approved",,"Ferrobarroisite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10266",,
"Thorogummite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10267",,
"Magnesium","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10268",,
"Brabantite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10269",,
"Tirodite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10270",,
"Saussurite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10272",,
"Cualstibite-1T","Approved",,"Cualstibite 1t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10273",,
"Petitjeanite-Preisingerite Series","Approved",,"Petitjeanite Preisingerite Series",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10275",,
"Gem Silica","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10276",,
"Alipite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10277",,
"Ferganite","Approved",,"Ferghanite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10278",,
"Siderogel","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10280",,
"Arsenosulvanite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10281",,
"Thrombolite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10282",,
"Bursaite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10283",,
"Fuggerite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10284",,
"Opalite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10285",,
"Melnikovite","Approved",,,,,,,,,"Amorphous",,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10286",,
"Karpinskyite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10287",,
"Coal","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10291",,
"Pumpellyite-(Fe)","Approved",,"Pumpellyite Fe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10292",,
"Deweylite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10293",,
"Pinolite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10294",,
"Molybdenite-2H","Approved",,"Molybdenite 2H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10295",,
"U184 (of Schnorrer)","Approved",,"As Claraite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10297",,
"Tapiolite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10299",,
"Palygorskite Group","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10301",,
"Leifite Group","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10302",,
"Pearceite-Tac","Approved",,"Pearceite Tac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10303",,
"Hiortdahlite I","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10304",,
"Pumice","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10305",,
"Quercyite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10306",,
"Roméite Group","Approved",,"Romeite Group",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10307",,
"Molybdenite-3R","Approved",,"Molybdenite 3r, Molybdenite 3 R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10308",,
"Wurtzite-2H","Approved",,"Wurtzite 2h",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10309",,
"Rinkite Group","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10310",,
"Cobalt","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10311",,
"Mossite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10312",,
"Hydroastrophyllite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10313",,
"Allagite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10314",,
"Hydrogoethite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10317",,
"Xanthochroite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10318",,
"Medmontite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10319",,
"Calcozincite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10320",,
"Coolgardite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10321",,
"Iodine","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10322",,
"Hornstein","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10323",,
"Boron","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10325",,
"Fullerite","Approved",,"Fullerene",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10326",,
"Ferro-ferri-winchite","Approved",,"Ferro Ferri Winchite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10328",,
"Meteoritic Iron","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10330",,
"Potassic-ferro-chloro-sadanagaite","Approved",,"Potassic Ferro Chloro Sadanagaite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10331",,
"Veatchite-A","Approved",,"Veatchite A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10332",,
"Aspasiolite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/10333",,
