"Mineral_Name","Approval history","Groups","Synonyms","Varieties","Strunz 8th edition","Dana 8th edition","Strunz 10th edition","Hey's 3rd edition","Formula","Crystal System","Class Name","H-M symbol","Space group","Non-standart settings","Optical Properties","Colour","Streak","Lustre","Cleavage","Fracture","Tenacity","Hardness","Density measured","Density calculated","Habit","Geological occurrence","Localities","References","Named for","Type Locality","Distribution","Distribution Range","URL to e-Rocks","Context","Groups Short"
"Sodicanthophyllite","Approved",,"Na Anthophyllite, Sodium-anthophyllite",,"8/F.12-40",,,,"{Na}{Mg_2_}{Mg_5_}(AlSi_7_O_22_)(OH)_2_","Orthorhombic",,,,,,"Clove-brown to dark brown, grey to white, green.","White to greyish-white.",,,,,"5½-6",,,,,,,,,,,"https://e-rocks.com/node/1208555",,
"Beetle","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1189410",,
"Unnamed (Ce-analogue of Kozoite-(La) and -(Nd))","Approved","Ancylite",,,,,,,"(Ce,La)(CO_3_)(OH)","Orthorhombic",,,,,,,,,,,,,,,,,"Aris Quarry, Windhoek, Khomas Region, Namibia",,,,,,"https://e-rocks.com/node/1186667",,
"Crab","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1185030",,
"Gismondine-(Ba)","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1184935",,
"Paulingite-(Na)","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1184936",,
"Agardite-(Dy)","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1184905",,
"Brammalite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1184907",,
"Cesiumkenopyrochlore","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1184909",,
"Churchite-(Dy)","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1184910",,
"Eta-bronze","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1184912",,
"Garminite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1184913",,
"Goldamalgam","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1184914",,
"Hexatestibiopanickelite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1184915",,
"Natroglauconite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1184919",,
"Oxy-rossmanite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1184921",,
"Plumbopolarite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1184927",,
"Toernroosite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1184928",,
"Ungavite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1184930",,
"Vymazalovaite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1184931",,
"Yberisilite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1184932",,
"Yttroceberite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1184933",,
"Yttroceberysite-(Y)","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1184934",,
"Arzakite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1184903",,
"Unnamed (Ca-Na-ordered analogue of Korobitsynite)","Approved","Labuntsovite Supergroup",,,,,,,"(Ca,Na)_2_(Ti,Nb)_2_(Si_4_O_12_)(OH,O)_2_ · 3-4H_2_O",,,,,,,,,,,,,,,,,,"Aris Quarry, Windhoek, Khomas Region, Namibia",,,,,,"https://e-rocks.com/node/1183636",,
"Round Cut","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1176106",,
"Stellite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1169944",,
"Jacobsite-Q","Approved",,,,,,,,"T(Mn^2+^)M(Fe^3+^_2_)O_4_","Tetragonal",,,,,,,,,,,,"6-6.5",,,,,"Gozaisho mine, Iwaki City, Fukushima, Japan",,,,,,"https://e-rocks.com/node/1169232",,
"Pemberthycroftite","Approved",,,,,,,,"[Al_6_(AsO_4_)_3_(OH)_9_(H_2_O)_5_]·8H_2_O","Monoclinic",,,,,,,,,,,,,,,,,"Penberthy Croft Mine, St Hilary, Cornwall, England, UK",,,,,,"https://e-rocks.com/node/1161830",,
"Vondechenite","Approved",,"IMA 2016-065",,,,,,"Cu_4_CaCl_2_(OH)_8_ · 4H_2_O","Orthorhombic",,,,,,"Sky blue","Pale blue",,,,,,,,,,"Caspar Quarry, Bellerberg, Ettringen, Eifel, Rhineland-Palatinate, Germany",,,,,,"https://e-rocks.com/node/1155787",,
