"Term ID","Name","Vocab machine name","Count","Approval status","Mindat ID","Term Flattened","Geolocation"
"79324","(Urals)","locality_data","76","Approved","1","(Urals), Russian Federation","
  
  
  60.2784931, 59.161906499999986

"
"75296","1 Mine, Orogrande, Otero County","locality_data","1","Approved","48755","1 Mine, Orogrande, Otero County, New Mexico, United States of America","
  
  
  32.39903, -106.10635

"
"47879","10,000 Ritter Mine, Schreckenberg, Frohnau, Annaberg-Buchholz, Erzgebirge","locality_data","79","Approved","33855","10,000 Ritter Mine, Schreckenberg, Frohnau, Annaberg-Buchholz, Erzgebirge, Saxony, Germany","
  
  
  50.587708, 12.995651

"
"47880","132 North Mine, Widgiemooltha, Coolgardie Shire","locality_data","166","Approved","234","132 North Mine, Widgiemooltha, Coolgardie Shire, Western Australia, Australia","
  
  
  -31.46, 121.54

"
"47881","16 Miles Mine, Olary Province","locality_data","1","Approved","1","16 Miles Mine, Olary Province, South Australia, Australia","
  
  
  -32.2793495, 140.30361819999996

"
"69370","16 to 1 Mine, Alleghany, Sierra County","locality_data","6","Approved","6449","16 to 1 Mine, Alleghany, Sierra County, California, United States of America","
  
  
  39.46563, -120.84385

"
"47882","180 Mine, Bendigo","locality_data","1","Approved","26786","180 Mine, Bendigo, Victoria, Australia","
  
  
  -36.7666664124, 144.266662598

"
"66979","1st Sovetskii Mine, Dalnegorsk","locality_data","54","Approved","2636","1st Sovetskii Mine, Dalnegorsk, Primorskiy Kray, Russian Federation","
  
  
  44.5, 135.7083333335

"
"47883","2 De Mayo Mine, Nava De Ricomalillo, Toledo","locality_data","7","Approved","1","2 De Mayo Mine, Nava De Ricomalillo, Toledo, Castilla La Mancha, Spain","
  
  
  39.6519539, -4.988348599999995

"
"47884","200/237 Road Quarry, Wolf Point, Cowlitz County","locality_data","7","Approved","14705","200/237 Road Quarry, Wolf Point, Cowlitz County, Washington, United States of America","
  
  
  46.2116666667, -122.579444444

"
"47885","21St Street, Colorado Springs, El Paso County","locality_data","7","Approved","5852","21St Street, Colorado Springs, El Paso County, Colorado, United States of America","
  
  
  38.832858113466344, -104.8591582740728

"
"47886","222 Mine, Mount Selwyn, Cloncurry Shire","locality_data","9","Approved","1","222 Mine, Mount Selwyn, Cloncurry Shire, Queensland, Australia","
  
  
  -21.8262511, 140.57243749999998

"
"47887","25 De Mayo, San Rafael Department","locality_data","3","Approved","64781","25 De Mayo, San Rafael Department, Mendoza, Argentina","
  
  
  -34.5856527, -68.5457268

"
"78114","29th June Mine, América, Coneto de Comonfort Municipality","locality_data","2","Approved","25533","29th June Mine, América, Coneto de Comonfort Municipality, Durango, Mexico","
  
  
  25.10000038147, -104.96666717529

"
"61194","2nd Sovetskii Mine, Dalnegorsk","locality_data","305","Approved","4640","2nd Sovetskii Mine, Dalnegorsk, Primorskiy Kray, Russian Federation","
  
  
  44.5, 135.70833333350004

"
"66756","4-S Ranch, Imperial County","locality_data","1","Approved","222008","4-S Ranch, Imperial County, California, United States of America","
  
  
  33.0167364, -117.1115111

"
"47896","4th of July Mine, Picacho Peak, San Benito County","locality_data","6","Approved","3533","4th of July Mine, Picacho Peak, San Benito County, California, United States of America","
  
  
  36.35656, -120.6929

"
"47895","4th of July Mine, Yankee Fork District, Custer County","locality_data","2","Approved","41033","4th of July Mine, Yankee Fork District, Custer County, Idaho, United States of America","
  
  
  44.2840393, -114.7261593

"
"72507","5-Minuttern, Drammensmarka, Drammen","locality_data","6","Approved","147065","5-Minuttern, Drammensmarka, Drammen, Viken, Norway","
  
  
  59.775833333333, 10.166111111111

"
"47897","6 Kangaroos Prospect, Cloncurry Shire","locality_data","2","Approved","143289","6 Kangaroos Prospect, Cloncurry Shire, Queensland, Australia","
  
  
  -20.5647222222, 140.105277778

"
"70294","66 Line Mine, Gaoliangchun, Lingqiu County","locality_data","4","Approved","188444","66 Line Mine, Gaoliangchun, Lingqiu County, Shanxi Province, China (Peoples Republic)","
  
  
  39.4756944444, 114.231458334

"
"76907","69°24' E 22°39' S , depth 3200 m","locality_data","1","Approved","1","69°24' E 22°39' S , depth 3200 m, indian Ocean, Indonesia","
  
  
  -22.65, 69.39999999999998

"
"47898","79 Mine, Chilito, Banner District, Gila County","locality_data","320","Approved","3322","79 Mine, Chilito, Banner District, Gila County, Arizona, United States of America","
  
  
  33.0644444444, -110.813333333

"
"71632","7U7 Ranch, Bagdad Mine, Hillside, Yavapai County","locality_data","1","Approved","3396","7U7 Ranch, Bagdad Mine, Hillside, Yavapai County, Arizona, United States of America","
  
  
  34.5874999661, -113.132361111

"
"47900","813 Pit, Alta Gold Mine, Olinghouse, Washoe County","locality_data","13","Approved","6910","813 Pit, Alta Gold Mine, Olinghouse, Washoe County, Nevada, United States of America","
  
  
  39.664067189227, -119.42609265447

"
"54317","A Coruña","locality_data","5","Approved","133531","A Coruña, Galicia, Spain","
  
  
  43.3623436, -8.4115401

"
"47902","A Franqueira, A Cañiza, Pontevedra","locality_data","20","Approved","3128","A Franqueira, A Cañiza, Pontevedra, Galicia, Spain","
  
  
  42.1821765, -8.3598464

"
"48133","A Lone Hand Mine, Malbon, Cloncurry Shire","locality_data","15","Approved","106620","A Lone Hand Mine, Malbon, Cloncurry Shire, Queensland, Australia","
  
  
  -20.9891666667, 140.273333333

"
