type,note
Ancient,
Chemistry,
Colour,
Composition,
Density,
Ethnic,
Fracture,
Lustre,
Misleading,
Morphology,
Mythology,
Optical properties,
Origin,
Other,
Religeous,
Resemblance,
Resemblance/Origin,
Structural,
Unnamed,
