mineral_id,relation_id,relation_note,relation_type_id
9fd1fdcd-5ee4-4ea4-ad71-438883ea4024,790f05e5-97a9-45b1-9211-6b1b5af4e4cd,,1
9fd1fdcd-5ee4-4ea4-ad71-438883ea4024,def4b476-1dd2-4e46-8b65-40c49124a695,,1
9fd1fdcd-5ee4-4ea4-ad71-438883ea4024,67d937ce-9201-4f91-9f9f-63d076b1d3dc,,1
9fd1fdcd-5ee4-4ea4-ad71-438883ea4024,d0e20211-4406-4708-9db8-8f0f4a533628,,1
9fd1fdcd-5ee4-4ea4-ad71-438883ea4024,e52a3405-55f0-4f8d-9356-de17b090b7f3,,1
9fd1fdcd-5ee4-4ea4-ad71-438883ea4024,0fb53b14-2208-439f-b706-7ca955885d15,,1
9fd1fdcd-5ee4-4ea4-ad71-438883ea4024,5b73c2f7-caa3-44be-8ab9-e63246b85d8f,,1
9fd1fdcd-5ee4-4ea4-ad71-438883ea4024,05d3230d-dae1-4b8e-8fa3-3b5c8e03314a,,1
289ea452-4551-462d-828b-28c4f118a473,3e57f640-32c1-4560-a686-4b90c0df287b,,1
289ea452-4551-462d-828b-28c4f118a473,c1696d1c-637b-4ccd-b3a2-936783742b7c,,1
14a362ba-16e9-4ad8-853a-7e750b8133e5,487fee94-9de0-405b-807a-7bbca82883d1,,1
3ec5cab6-c73f-4181-af9f-14ba97acb69b,0ed6405f-1c81-4829-a871-01f013f33e3f,,1
58200f36-fa99-4c4d-b7cc-892225d3304d,2c83a4e8-c5b5-4bb8-a868-8845881a0c18,,1
af53e423-5577-49e6-bab2-595374d6afc6,d5602623-b44a-4010-883d-72c7ea5161b2,,1
c92e9af2-ed0c-4c2a-b513-7a03eaa70190,8e27618d-2856-46d6-b063-e015454f4060,,1
c92e9af2-ed0c-4c2a-b513-7a03eaa70190,9ed06933-722d-42ee-ac52-ae0b0352dc14,,1
c92e9af2-ed0c-4c2a-b513-7a03eaa70190,a452a794-1819-40be-9175-e120a56109cb,,1
