mineral_name,formula,ions,note,ns_class,ns_subclass,ns_family,ns_mineral
Alluaudite Supergroup,,,,,,,
Alunite Supergroup,A_0.5-1_B_3_(X1O_4_)(X2Y2_4_)(OH)_6_,"{""A"":[""Bi^3+^ x 0.5-1"",""Th^4+^ x 0.5-1"",""Ce^3+^ x 0.5-1"",""La^3+^ x 0.5-1"",""Nd^3+^ x 0.5-1"",""Sm^3+^ x 0.5-1"",""K^1+^ x 0.5-1"",""Na^1+^ x 0.5-1"",""Tl^1+^ x 0.5-1"",""(H_3_O)^1+^ x 0.5-1"",""(NH_4_)^1+^ x 0.5-1"",""Ag^1+^ x 0.5-1"",""Pb^2+^ x 0.5-1"",""Ca^2+^ x 0.5-1"",""Ba^2+^ x 0.5-1"",""Zn^2+^ x 0.5-1"",""[box]""],""B"":[""Al^3+^ x 3"",""Fe^3+^ x 3"",""Cu^2+^ x 3"",""Zn^2+^ x 3"",""Ga^3+^ x 3"",""Ge^4+^ x 3"",""V^3+^ x 3""],""X1"":[""As^5+^"",""P^5+^"",""S^6+^""],""X2"":[""As^5+^"",""P^5+^"",""S^6+^""],""Y1"":[""O^2-^ x 4""],""Y2"":[""O^2-^ x 4"",""(OH)^1-^ x 4""],""Z"":[""OH^1-^ x 6""]}","Kolosorukite has the higher content of Fe at B, with the charge compensated by addional OH",,,,
Amphibole Supergroup,AB_2_C_5_(X_8_O_22_)Z_2_,"{""A"":[""[box]"",""Na^1+^"",""K^1+^"",""Ca^2+^"",""Pb^2+^""],""B"":[""Na^1+^ x 2"",""Ca^2+^ x 2"",""Li^1+^ x 2"",""Mg^2+^ x 2"",""Fe^2+^ x 2"",""Mn^2+^ x 2""],""C"":[""Mg^2+^ x 5"",""Fe^2+^ x 5"",""Fe^3+^ x 5"",""Mn^3+^ x 5"",""Na^1+^ x 5"",""Ti^4+^ x 5"",""Al^3+^ x 5"",""Mn^2+^ x 5"",""Li^1+^ x 5"",""V^3+^ x 5"",""Cr^3+^ x 5"",""Ca^2+^ x 5""],""X1"":[""Si^4+^ x 8"",""Al^3+^ x 8"",""Be^2+^ x 8""],""Y1"":[""O^2-^ x 22""],""Z"":[""F^1-^ x 2"",""(OH)^1-^ x 2"",""O^2-^ x 2"",""Cl^1-^ x 2""]}",Astochite and Marmairolite can refer to the same material,,,,
Apatite Supergroup,A_5_(XO_4_)_3_Z,"{""A"":[""Na^1+^ x 5"",""Ce^3+^ x 5"",""Sr^2+^ x 5"",""La^3+^ x 5"",""Ca^2+^ x 5"",""Nd^3+^ x 5"",""REE^3+^ x 5"",""Ba^2+^ x 5"",""Bi^3+^ x 5"",""Pb^2+^ x 5"",""Cd^2+^ x 5"",""Mn^2+^ x 5"",""Y^3+^ x 5""],""X1"":[""Si^4+^ x 1(3)"",""P^5+^ x 1(3)"",""B^3+^ x 1(3)"",""As^5+^ x 1(3)"",""C^4+^ x 1(3)"",""Mn^5+^ x 1(3)"",""S^6+^ x 1(3)"",""Al^3+^ x 1(3)"",""Cr^6+^ x 1(3)"",""V^5+^ x 1(3)""],""Y1"":[""O^2-^ x 4(3)""],""Z"":[""O^2-^"",""(OH)^1-^"",""F^1-^"",""Cl^1-^""]}",Germanate-pyromorphite contains no ions at Z position; Caryocerite and Freyalite can refer to the same material; Bellite and Chromian Mimetite can refer to the same material,,,,
Arctite Supergroup,ACa_6-12_(X1O_4_)_2-4_(X2O_4_)_2_Z_1-3_,"{""A"":[""Ba^2+^"",""K^1+^"",""Na^1+^""],""B"":[""Ca^2+^ x 6-12""],""X1"":[""V^5+^ x 1(2)-1(4)"",""Si^4+^ x 1(2)-1(4)"",""P^5+^ x 1(2)-1(4)""],""X2"":[""V^5+^ x 1(2)"",""S^6+^ x 1(2)"",""P^5+^ x 1(2)"",""C^4+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)-4(4)""],""Y2"":[""O^2-^ x 4(2)""],""Z"":[""F^1-^ x 1-3"",""O^2-^ x 1-3""]}",Arctite reveals different stoichiometry,,,,
Astrophyllite Supergroup,A_1-6_B_5-7_C_1-2_(Si_4_O_12_)_2_O_2_W_4-5_V_0-4_,"{""A"":[""K^1+^ x 3"",""Na^1+^ x 3"",""Li^1+^ x 3"",""Ca^2+^ x 3"",""(H_3_O)^1+^ x 3"",""[box]"",""Ba^2+^ x 3"",""Cs^1+^ x 3""],""B"":[""Fe^3+^ x 5-7"",""Mg^2+^ x 5-7"",""Na^1+^ x 5-7"",""Fe^2+^ x 5-7"",""Mn^2+^ x 5-7""],""C"":[""Ti^4+^ x 2"",""Nb^5+^ x 2"",""Zr^4+^ x 2"",""Fe^3+^ x 2""],""X1"":[""Si^4+^ x 4(2)""],""Y1"":[""O^2-^ x 12(2)""],""V"":[""(PO_4_)^3-^ x 0-4"",""(CO_3_)^2-^ x 0-4"",""H_2_O x 0-4""],""W"":[""(OH)^1-^ x 4-5"",""F^1-^ x 4-5"",""O^2-^ x 4-5""],""Z"":[""O^2-^ x 2""]}",,,,,
Betpakdalite Supergroup,[A_2_(H_2_O)_15-17_B(H_2_O)_6_][Mo_8_D_2_Fe^3+^_3_Y_37_],"{""A"":[""K^1+^ x 2"",""Na^1+^ x 2"",""Ca^2+^ x 2"",""Fe^3+^ x 2""],""B"":[""Ca^2+^"",""Mg^2+^"",""Na^1+^"",""Fe^3+^"",""Cu^2+^""],""C"":[""Mo^6+^ x 8""],""E"":[""Fe^3+^ x 3""],""Y1"":[""O^2-^ x 37"",""(OH)^1-^ x 37""],""V"":[""H_2_O x 6""],""W"":[""H_2_O x 15-17""]}",,,,,
Epidote Supergroup,ABC_3_(Si_2_O_7_)(SiO_4_)Z_2_,"{""A"":[""Ca^2+^"",""Mn^2+^"",""[box]""],""B"":[""Ce^3+^"",""La^3+^"",""Nd^3+^"",""Y^3+^"",""REE^3+^"",""Ca^2+^"",""Pb^2+^"",""Sr^2+^""],""C"":[""Mn^3+^ x 3"",""Al^3+^ x 3"",""Fe^3+^ x 3"",""Mn^2+^ x 3"",""V^3+^ x 3"",""Mg^2+^ x 3"",""Fe^2+^ x 3"",""Ga^3+^ x 3""],""X1"":[""Si^4+^ x 2""],""X2"":[""Si^4+^""],""Y1"":[""O^2-^ x 7""],""Y2"":[""O^2-^ x 4""],""Z"":[""F^1-^ x 2"",""O^2-^ x 2"",""(OH)^1-^ x 2""]}",,,,,
Feldspathoid Supergroup,A_1-9_(X_12_O_24_)Z_0-4_·nH_2_O,"{""A"":[""(N(CH_3_)_4_)^1+^ x 1-9"",""Na^1+^ x 1-9"",""K^1+^ x 1-9"",""Ca^2+^ x 1-9"",""[box]""],""X1"":[""Al^3+^"",""Si^4+^"",""Ge^4+^""],""Y1"":[""O^2-^ x 24""],""W"":[""H_2_O x n""],""Z"":[""(CO_3_)^2-^ x 0-4"",""(S_5_)^2-^ x 0-4"",""(C_2_O_4_)^2-^ x 0-4"",""(SH)^1-^ x 0-4"",""(PO_4_)^3-^ x 0-4"",""(OH)^1-^ x 0-4"",""(SO_4_)^2-^ x 0-4"",""(S_3_)^1-^ x 0-4"",""(S_2_)^2-^ x 0-4"",""S^2-^ x 0-4"",""Cl^1-^ x 0-4"",""(SO_3_)^2-^ x 0-4""]}","In tsaregorodtsevite 2/3 Al is replaced by Si. Acarbodavyne is CO_2_-free variety of Davyne, but CO_2_ is not listed in the chemical formula of Davyne",,,,
Gadolinite Supergroup,A_2_B_0-2_C_0-1_(XO_4_)_2_Z_2_,"{""A"":[""Ce^3+^ x 2"",""Nd^3+^ x 2"",""Y^3+^ x 2"",""Sm^3+^ x 2"",""Yb^3+^ x 2"",""La^3+^ x 2"",""Ca^2+^ x 2"",""REE^3+^ x 2"",""Pb^2+^ x 2""],""B"":[""B^3+^ x 0-2"",""Be^2+^ x 0-2""],""C"":[""Fe^2+^ x 0-1"",""[box]"",""Ca^2+^ x 0-1"",""Mg^2+^ x 0-1"",""Fe^3+^ x 0-1"",""Al^3+^ x 0-1""],""X1"":[""As^5+^ x 1(2)"",""P^5+^ x 1(2)"",""Si^4+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""],""Z"":[""O^2-^ x 2"",""(OH)^1-^ x 2"",""F^1-^ x 2""]}",Bakerite reveals a slightly different stoiciometry due to its high B content,,,,
Garnet Supergroup,A_3_B_2_(XO_4_)_3_,"{""A"":[""Mg^2+^ x 3"",""Mn^2+^ x 3"",""Ca^2+^ x 3"",""Y^3+^ x 3"",""Na^1+^ x 3"",""Fe^2+^ x 3"",""Sn^2+^ x 3""],""B"":[""Al^3+^ x 2"",""Fe^3+^ x 2"",""Sc^3+^ x 2"",""V^3+^ x 2"",""Cr^3+^ x 2"",""Si^4+^ x 2"",""Mg^2+^ x 2"",""Fe^2+^ x 2"",""Ti^4+^.Sb^5+^ x 2"",""Sn^4+^ x 2"",""Zr^4+^ x 2"",""U^6+^ x 2"",""Mn^3+^ x 2"",""Mn^2+^ x 2"",""Li^1+^ x 2"",""Ti^3+^ x 2"",""Zn^2+^ x 2"",""Te^6+^ x 2""],""X1"":[""Si^4+^ x 1(3)"",""Al^3+^ x 1(3)"",""Fe^3+^ x 1(3)"",""As^5+^ x 1(3)"",""V^5+^ x 1(3)"",""Fe^2+^ x 1(3)"",""Zn^2+^ x 1(3)""],""Y1"":[""O^2-^ x 4(3)""]}",Nikmelnikovite also contains OH; Cryolithionite consists of AlF_6_ instead of XO_4_ units,,,,
Högbomite Supergroup,A_2.7-4_B_7-8_O_14-16_(OH)_0-1.36_,"{""A"":[""Fe^2+^ x 2.7-4"",""Mg^2+^ x 2.7-4"",""Zn^2+^ x 2.7-4"",""Al^3+^ x 2.7-4""],""B"":[""Al^3+^ x 7-8"",""Fe^3+^ x 7-8"",""Fe^2+^ x 7-8"",""Sn^4+^ x 7-8"",""Be^2+^ x 7-8"",""Ti^4+^ x 7-8""],""Y1"":[""O^2-^ x 14-16""],""Z"":[""OH^1-^ x 0-1.36""]}",,,,,
Hollandite Supergroup,AB_8_O_16_,"{""A"":[""Pb^2+^"",""Ba^2+^"",""K^1+^"",""Na^1+^"",""Sr^2+^""],""B"":[""Fe^3+^ x 8"",""Cr^3+^ x 8"",""V^3+^ x 8"",""Ti^4+^ x 8"",""Mn^4+^ x 8"",""Mn^3+^ x 8"",""Cu^2+^ x 8""],""Y1"":[""O^2-^ x 16""]}",,,,,
Hydrotalcite Supergroup,,,,,,,
Labuntsovite Supergroup,"A_2-8_B_0-1_C_4_(Si_4_O_12_)_2_(OH,O)_4_·5-8H_2_O","{""A"":[""Ca^2+^ x 2-8"",""Sr^2+^ x 2-8"",""Na^1+^ x 2-8"",""K^1+^ x 2-8"",""Ba^2+^ x 2-8"",""[box]""],""B"":[""Mn^2+^ x 0-1"",""Mg^2+^ x 0-1"",""Fe^2+^ x 0-1"",""Zn^2+^ x 0-1"",""Ca^2+^ x 0-1"",""Na^1+^ x 0-1"",""Ba^2+^ x 0-1""],""C"":[""Nb^5+^ x 4"",""Ti^4+^ x 4""],""X1"":[""Si^4+^ x 4(2)""],""Y1"":[""O^2-^ x 12(2)""],""W"":[""H_2_O x 5-8""],""Z"":[""O^2-^. (OH)^1-^ x 4""]}",,,,,
Laueite Supergroup,AB_2_(XO_4_)_2_(OH)_2_·8H_2_O,"{""A"":[""Mg^2+^"",""Fe^2+^"",""Mn^2+^"",""Ba^2+^_2_"",""Fe^3+^""],""B"":[""Al^3+^ x 2"",""Fe^3+^ x 2"",""Ti^4+^ x 2""],""X1"":[""As^5+^ x 1(2)"",""P^5+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""],""W"":[""H_2_O x 8""],""Z"":[""OH^1-^ x 2""]}",,,,,
Lindackerite Supergroup,AB_4_(AsO_4_)_2_(AsO_3_OH)_2_·9-10H_2_O,"{""A"":[""Ca^2+^"",""Cu^2+^"",""Zn^2+^"",""Co^2+^"",""Ni^2+^"",""Mn^2+^"",""Mg^2+^""],""B"":[""Mn^2+^ x 4"",""Zn^2+^ x 4"",""Cu^2+^ x 4"",""Ca^2+^ x 4""],""X1"":[""As^5+^ x 1(2)""],""X2"":[""As^5+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""],""Y2"":[""O^2-^ x 3(2)"",""OH^1-^ x 1(2)""],""W"":[""H_2_O x 9-10""]}",,,,,
Mica Supergroup,AB_2-3_(X_4_O_10_)Z_2_,"{""A"":[""K^1+^"",""Na^1+^"",""Rb^1+^"",""Cs^1+^"",""(NH_4_)^1+^"",""[box]"",""Ca^2+^"",""Ba^2+^""],""B"":[""Mg^2+^ x 2-3"",""Ti^4+^ x 2-3"",""Fe^3+^ x 2-3"",""Fe^2+^ x 2-3"",""Al^3+^ x 2-3"",""Li^1+^ x 2-3"",""Mn^2+^ x 2-3"",""Mn^3+^ x 2-3"",""Zn^2+^ x 2-3"",""V^5+^ x 2-3"",""Cr^3+^ x 2-3"",""V^3+^ x 2-3"",""Na^1+^ x 2-3""],""X1"":[""Al^3+^ x 4"",""Si^4+^ x 4"",""Fe^3+^ x 4"",""Be^2+^ x 4"",""B^3+^ x 4"",""Cr^3+^ x 4""],""Y1"":[""O^2-^ x 10""],""Z"":[""Cl^1-^ x 2"",""S^2-^ x 2"",""(OH)^1-^ x 2"",""O^2-^ x 2"",""F^1-^ x 2""]}","Wodanite and Titanian Biotite can refer to the same material; Natro-glauconite and Soda-Glauconite can refer to the same material; Barian Muscovite and Oellacherite can refer to the same material; Lithian Muscovite, Hallerite and Lithium Muscovite (of Levinson) can refer to the same material; Barium-Phlogopite and Barytbiotite can refer to the same material; Chrome Phlogopite and Chromian Phlogopite can refer to the same material",,,,
Perovskite Supergroup,,,,,,,
Pharmacosiderite Supergroup,A_0.5-2_B_4_(XO_4_)_3_Z_4_·4-9H_2_O,"{""A"":[""Cu^2+^ x 0.5-2"",""K^1+^ x 0.5-2"",""Na^1+^ x 0.5-2"",""Ba^2+^ x 0.5-2"",""Cs^1+^ x 0.5-2"",""(H_3_O)^1+^ x 0.5-2"",""Pb^2+^ x 0.5-2"",""Sr^2+^ x 0.5-2"",""Tl^1+^ x 0.5-2""],""B"":[""Fe^3+^ x 4"",""Al^3+^ x 4"",""Ti^4+^ x 4""],""X1"":[""As^5+^ x 1(3)"",""Si^4+^ x 1(3)""],""Y1"":[""O^2-^ x 4(3)""],""W"":[""H_2_O x 4-9""],""Z"":[""(OH)^1-^ x 4"",""O^2-^ x 4""]}",,,,,
Pyrochlore Supergroup,A_2_B_2_Y_6_Z,"{""A"":[""Ca^2+^ x 2"",""[box]"",""U^4+^ x 2"",""U^6+^ x 2"",""Sb^3+^ x 2"",""Na^1+^ x 2"",""Bi^3+^ x 2"",""H_2_O x 2"",""Pb^2+^ x 2"",""Sn^2+^ x 2"",""Y^3+^ x 2"",""Cs^1+^ x 2"",""Mn^2+^ x 2"",""Ce^3+^ x 2"",""Th^4+^ x 2"",""Ba^2+^ x 2"",""Sr^2+^ x 2"",""REE^3+^ x 2"",""Fe^2+^ x 2"",""Cu^2+^ x 2"",""Fe^3+^ x 2""],""B"":[""Nb^5+^ x 2"",""Ti^4+^ x 2"",""Ta^5+^ x 2"",""W^6+^ x 2"",""Fe^3+^ x 2"",""Al^3+^ x 2"",""Sn^4+^ x 2"",""Sb^5+^ x 2"",""Mg^2+^ x 2""],""Y1"":[""O^2-^ x 6"",""(OH)^1-^ x 6"",""F^1-^ x 6""],""Z"":[""H_2_O"",""[box]"",""O^2-^"",""(OH)^1-^"",""F^1-^""]}",,,,,
Sapphirine Supergroup,A_4_B_12_(X_12_O_36_)O_4_,"{""A"":[""Ca^2+^ x 4"",""Na^1+^ x 4"",""Mg^2+^ x 4""],""B"":[""Mg^2+^ x 12"",""Fe^2+^ x 12"",""Al^3+^ x 12"",""Fe^3+^ x 12"",""Ti^4+^ x 12"",""Sb^5+^ x 12"",""Cr^3+^ x 12"",""Sc^3+^ x 12"",""V^3+^ x 12""],""X1"":[""Si^4+^ x 12"",""Al^3+^ x 12"",""Be^2+^ x 12"",""B^3+^ x 12"",""Fe^3+^ x 12""],""Y1"":[""O^2-^ x 36""],""Z"":[""O^2-^ x 4""]}",,,,,
Seidozerite Supergroup,A_2-20_(Si_2_O_7_)_2_Z_1-7_W_0-4_·0-7H_2_O,"{""A"":[""Y^3+^ x 2-20"",""Na^1+^ x 2-20"",""REE^3+^ x 2-20"",""H_2_O x 2-20"",""[box]"",""Zr^4+^ x 2-20"",""Mn^2+^ x 2-20"",""Ce^3+^ x 2-20"",""Ba^2+^ x 2-20"",""Sr^2+^ x 2-20"",""Fe^2+^ x 2-20"",""Ca^2+^ x 2-20"",""K^1+^ x 2-20"",""Zn^2+^ x 2-20"",""Ti^4+^ x 2-20"",""Nb^5+^ x 2-20"",""Fe^3+^ x 2-20"",""Mg^2+^ x 2-20""],""X1"":[""Si^4+^ x 2(2)""],""Y1"":[""O^2-^ x 7(2)""],""V"":[""H_2_O x 0-7""],""W"":[""(CO_3_)^2-^ x 0-4"",""(PO_4_)^3-^ x 0-4"",""(SO_4_)^2-^ x 0-4""],""Z"":[""O^2-^ x 1-7"",""(OH)^1-^ x 1-7"",""F^1-^ x 1-7"",""H_2_O x 1-7""]}",,,,,
Spinel Supergroup,AB_2_Y_4_ or A_2_BY_4_,"{""A"":[""Mn^2+^ x 1 or 2"",""Fe^2+^ x 1 or 2"",""Mg^2+^ x 1 or 2"",""Zn^2+^ x 1 or 2"",""Cu^2+^ x 1 or 2"",""V^2+^ x 1 or 2"",""Co^2+^ x 1 or 2"",""Ni^2+^ x 1 or 2"",""Fe^3+^ x 1 or 2"",""Cu^1+^ x 1 or 2"",""Ag^1+^ x 1 or 2"",""Al^3+^ x 1 or 2"",""[box]""],""B"":[""Si^4+^ x 2 or 1"",""Ge^4+^ x 2 or 1"",""Sb^5+^ x 2 or 1"",""Fe^3+^ x 2 or 1"",""Ti^4+^ x 2 or 1"",""Al^3+^ x 2 or 1"",""Mn^2+^ x 2 or 1"",""Mn^3+^ x 2 or 1"",""Fe^2+^ x 2 or 1"",""[box]"",""Co^3+^ x 2 or 1"",""Cr^3+^ x 2 or 1"",""V^3+^ x 2 or 1"",""Ni^3+^ x 2 or 1"",""Sn^4+^ x 2 or 1"",""Ir^3+^ x 2 or 1"",""Pt^3+^ x 2 or 1"",""In^3+^ x 2 or 1"",""Rh^3+^ x 2 or 1""],""Y1"":[""O^2-^ x 4"",""S^2-^ x 4"",""Se^2-^ x 4""]}","Hydromaghemite and Hydromagnetite also contain H_2_O; Picrochromite is the purer form of Magnesiochromite, implying lower content of iron; Manganmagnetite and Silfbergite (of Niggli) can refer to the same material; Ceylonite, Ferropicotite, and Iron-magnesia Spinel can refer to the same material",,,,
Acanthite Group,A_4_(YS),"{""A"":[""Ag^1+^ x 4"",""Zn^1+^ x 4""],""Y1"":[""Se^2-^"",""Te^2-^"",""S^2-^""],""Y2"":[""S^2-^""]}",,,,,
Adelite Group,,,,,,,
Adelite-Descloizite Group,AB(XO_4_)(OH),"{""A"":[""Ca^2+^"",""Pb^2+^"",""Bi^3+^"",""[box]""],""B"":[""Co^2+^"",""Cu^2+^"",""Fe^2+^"",""Mg^2+^"",""Mn^2+^"",""Zn^2+^"",""Ni^2+^"",""Al^3+^""],""X1"":[""As^5+^"",""V^5+^"",""P^5+^"",""Si^4+^""],""Y1"":[""O^2-^ x 4""],""Z"":[""OH^1-^""]}",Calcio-duftite and Duftite-β can refer to the same material,,,,
Adranosite Group,(NH_4_)_4_NaC_2_(SO_4_)_4_Cl(OH)_2_,"{""A"":[""NH_4_^1+^ x 4""],""B"":[""Na^1+^""],""C"":[""Al^3+^ x 2"",""Fe^3+^ x 2""],""X1"":[""S^6+^ x 1(4)""],""Y1"":[""O^2-^ x 4(4)""],""W"":[""OH^1-^ x 2""],""Z"":[""Cl^1-^""]}",,,,,
Aenigmatite Group,A_4_B_12_(X_12_O_36_)O_4_,"{""A"":[""Ca^2+^ x 4"",""Na^1+^ x 4""],""B"":[""Mg^2+^ x 12"",""Fe^2+^ x 12"",""Fe^3+^ x 12"",""Cr^3+^ x 12""],""X1"":[""Si^4+^ x 12"",""Al^3+^ x 12"",""Fe^3+^ x 12""],""Y1"":[""O^2-^ x 36""],""Z"":[""O^2-^ x 4""]}",,,,,
Aeschynite Group,AB_2_Y_6_,"{""A"":[""Ce^3+^"",""Y^3+^"",""Nd^3+^"",""Ca^2+^"",""Th^4+^"",""Fe^3+^"",""REE"",""Ln^3+^"",""Fe^2+^""],""B"":[""Ti^4+^"",""Nb^5+^"",""Ta^5+^"",""Fe^3+^""],""Y1"":[""(OH)^1-^ x 6"",""O^2-^ x 6""]}",,,,,
Afwillite Group,,,,,,,
Aikinite Group,Cu_1-10.7_B_1-10.7_Bi_1-21.3_S_3-48_,"{""A"":[""Cu x 1-10.7""],""B"":[""Pb x 1-10.7"",""Ag x 1-10.7""],""C"":[""Bi x 1-21.3""],""Y1"":[""S^2-^ x 3-48"",""Se^2-^ x 3-48""]}",,,,,
Aleksite Group,Pb_1-2_Bi_2-4_Y_3-7_,"{""A"":[""Pb x 1-2""],""B"":[""Bi x 2-4""],""Y1"":[""S^2-^ x 3-7"",""Se^2-^ x 3-7"",""Te^2-^ x 3-7""]}",,,,,
Allactite Group,A_7_(XO_4_)_2_(OH)_8_,"{""A"":[""Mn^2+^ x 7"",""Mn^3+^ x 7"",""Mg^2+^ x 7""],""X1"":[""P^5+^ x 1(2)"",""As^5+^ x 1(2)"",""V^5+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""],""Z"":[""OH^1-^ x 8""]}",Flinkite contains Mn^3+^_2_ instead of Mn^2+^_3_,,,,
Allanite Group,ABC_3_(Si_2_O_7_)(SiO_4_)O(OH),"{""A"":[""Ca^2+^"",""Mn^2+^"",""[box]""],""B"":[""Ce^3+^"",""La^3+^"",""Nd^3+^"",""Y^3+^"",""REE^3+^""],""C"":[""Mn^3+^ x 3"",""Al^3+^ x 3"",""Fe^3+^ x 3"",""Mn^2+^ x 3"",""V^3+^ x 3"",""Mg^2+^ x 3"",""Fe^2+^ x 3""],""X1"":[""Si^4+^ x 2""],""X2"":[""Si^4+^""],""Y1"":[""O^2-^ x 7""],""Y2"":[""O^2-^ x 4""],""Z"":[""O^2-^"",""OH^1-^""]}",,,,,
Allargentum Group,Ag_0.84-3.2_Sb_0.09-0.8_,"{""A"":[""Ag x 0.84-0.91""],""B"":[""Sb x 0.09-0.8""]}",,,,,
Allophane Group,,,,,,,
Alluaudite Group,ABC(DE)(XY_4_)_3_,"{""A"":[""Na^1+^"",""[box]"",""Ni^2+^""],""B"":[""Zn^2+^"",""Cu^2+^"",""Mg^2+^"",""Na^1+^"",""Ca^2+^"",""[box]"",""Ni^2+^""],""C"":[""Mn^2+^"",""Mg^2+^"",""Cu^2+^"",""Ca^2+^"",""Fe^2+^"",""Na^1+^"",""Zn^2+^"",""Cd^2+^"",""Ni^2+^""],""D"":[""Zn^2+^"",""Fe^2+^"",""Mg^2+^"",""Al^3+^"",""Fe^3+^"",""Cu^2+^"",""Mn^2+^"",""Ni^2+^""],""E"":[""Mg^2+^"",""Fe^3+^"",""Zn^2+^"",""Mn^2+^"",""Cu^2+^"",""Ni^2+^""],""X1"":[""As^5+^ x 1(3)"",""P^5+^ x 1(3)""],""Y1"":[""O^2-^ x 4(3)"",""(OH)^1-^ x 4(3)""]}",Hagendorfite-(Na)(Na) and Manitobaite have a slightly different stoichiometry,,,,
Alstonite Group,,,,,,,
Alstonite-Barytocalcite Group,BaCa(CO_3_)_2_,"{""A"":[""Ba^2+^""],""B"":[""Ba^2+^""],""X1"":[""C^4+^ x 1(2)""],""Y1"":[""O^2-^ x 3(2)""]}",,,,,
Alum Group,AB(SO_4_)_2_·12H_2_O,"{""A"":[""Tl^1+^"",""NH_4_^1+^"",""K^1+^"",""Na^1+^""],""B"":[""Al^3+^"",""Fe^3+^""],""X1"":[""S^6+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""],""W"":[""H_2_O x 12""]}",,,,,
Aluminite Group,Al_2_(SO_4_)(OH)_4_·3-7H_2_O,"{""A"":[""Al^3+^ x 2""],""X1"":[""S^6+^""],""Y1"":[""O^2-^ x 4""],""W"":[""H_2_O x 3-7""],""Z"":[""OH^1-^ x 4""]}",,,,,
Alunite Group,A_0.5-1_B_3_(XO_4_)_2_(OH)_6_,"{""A"":[""K^1+^ x 0.5-1"",""Na^1+^ x 0.5-1"",""Tl^1+^ x 0.5-1"",""(H_3_O)^1+^ x 0.5-1"",""(NH_4_)^1+^ x 0.5-1"",""Ag^1+^ x 0.5-1"",""Pb^2+^ x 0.5-1"",""Ca^2+^ x 0.5-1"",""Ba^2+^ x 0.5-1"",""Zn^2+^ x 0.5-1"",""[box]""],""B"":[""Al^3+^ x 3"",""Cu^2+^ x 3"",""Zn^2+^ x 3"",""Fe^3+^ x 3""],""X1"":[""S^6+^"",""As^5+^""],""Y1"":[""O^2-^ x 4""],""Y2"":[""O^2-^ x 4""],""Z"":[""OH^1-^ x 6""]}","Kolosorukite has the higher content of Fe at B, with the charge compensated by addional OH",,,,
Amalgam Group,,,,,,,
Amarantite Group,Fe^3+^_2_O(S^6+^O_4_)_2_·4-8H_2_O,"{""A"":[""Fe^3+^ x 2""],""X1"":[""S^6+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""],""W"":[""H_2_O x 4-8""],""Z"":[""O^2-^""]}",,,,,
Amblygonite Group,AB(PO_4_)Z,"{""A"":[""Li^1+^"",""Na^1+^""],""B"":[""Al^3+^"",""Fe^3+^""],""X1"":[""P^5+^""],""Y1"":[""O^2-^ x 4""],""Z"":[""OH^1-^"",""F^1-^""]}",,,,,
Amorphous Group,,,,,,,
Ancylite Group,ACO_3_(OH) or A_2_(CO_3_)_2_(OH)·H_2_O,"{""A"":[""Nd^3+^ x 1 or 2"",""La^3+^ x 1 or 2"",""Ce^3+^ x 1 or 2"",""Sm^3+^ x 1 or 2"",""Pr^3+^ x 1 or 2"",""Ca^2+^ x 1 or 2"",""Sr^2+^ x 1 or 2"",""Pb^2+^ x 1 or 2""],""X1"":[""C^4+^ x 1 or 1(2)""],""Y1"":[""O^2-^ x 3 or 3(2)""],""W"":[""H_2_O""],""Z"":[""OH^1-^""]}",,,,,
Andyrobertsite Group,ABCu^2+^_5_(XO_4_)_4_[As^5+^(OH)_2_O_2_]·2-7H_2_O,"{""A"":[""K^1+^"",""Na^1+^""],""B"":[""Cd^2+^"",""Ca^2+^""],""C"":[""Cu^2+^ x 5""],""X1"":[""As^5+^ x 1(4)""],""X2"":[""As^5+^""],""Y1"":[""O^2-^ x 4(4)""],""Y2"":[""O^2-^ x 2"",""OH^1-^ x 2""],""W"":[""H_2_O x 2-7""]}",,,,,
Anthoinite Group,AlW^6+^O_3_(OH)_3_·0-2H_2_O,"{""A"":[""Al^3+^""],""B"":[""W^6+^""],""Y1"":[""O^2-^ x 3""],""W"":[""H_2_O x 0-2""],""Z"":[""OH^1-^ x 3""]}",,,,,
Anthonyite Group,"Cu^2+^(OH,Cl)_2_·2-3H_2_O","{""A"":[""Cu^2+^""],""Y1"":[""OH^1-^ x 2"",""Cl^1-^ x 2""],""W"":[""H_2_O x 2-3""]}",,,,,
