mineral_name,formula,ions,note,ns_class,ns_subclass,ns_family,ns_mineral
Boromuscovite,KAl_2_(Si_3_B)O_10_(OH)_2_,"{""A"":[""K^1+^""],""B"":[""Al^3+^ x 2""],""X1"":[""B^3+^"",""Si^4+^ x 3""],""Y1"":[""O^2-^ x 10""],""Z"":[""OH^1-^ x 2""]}",,9,E,C,10
Borovskite,Pd_3_SbTe_4_,,,2,L,A,60
Bortnikovite,Pd_4_Cu_3_Zn,,,1,A,G,65
Boscardinite,Tl^1+^Pb^2+^_4_(Sb^3+^_7_As^3+^_2_)S^2-^_18_,"{""A"":[""Tl""],""B"":[""Pb x 4""],""C"":[""Sb x 7"",""As x 2""],""Y1"":[""S x 18""]}",,2,H,C,05e
Bosiite,NaFe^3+^_3_(Al_4_Mg_2_)(Si_6_O_18_)(BO_3_)_3_(OH)_3_O,"{""A"":[""Na^1+^""],""B"":[""Fe^3+^ x 3""],""C"":[""Mg^2+^ x 2"",""Al^3+^ x 4""],""X1"":[""Si^4+^ x 6""],""X2"":[""B^3+^ x 1(3)""],""Y1"":[""O^2-^ x 18""],""Y2"":[""O^2-^ x 3(3)""],""W"":[""O^2-^""],""Z"":[""OH^1-^ x 3""]}",,9,C,K,05
Bosoite,SiO_2_·<i>n</i>C_x_H_2x+2_,,,4,D,A,25
Bostwickite,CaMn^3+^_6_Si_3_O_16_·7H_2_O,,,9,H,C,10
Botallackite,Cu^2+^_2_Cl(OH)_3_,"{""A"":[""Cu^2+^""],""B"":[""Cu^2+^""],""Y1"":[""OH^1-^ x 3""],""Z"":[""Cl^1-^""]}",,3,D,A,10b
Botryogen,MgFe^3+^(SO_4_)_2_(OH)·7H_2_O,"{""A"":[""Mg^2+^""],""B"":[""Fe^3+^""],""X1"":[""S^6+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""],""W"":[""H_2_O x 7""],""Z"":[""OH^1-^ x 7""]}",,7,D,C,25
Bottinoite,Ni^2+^Sb^5+^_2_(OH)_12_·6H_2_O,"{""A"":[""Ni^2+^""],""B"":[""Sb^5+^ x 2""],""Y1"":[""OH^1-^ x 12""],""W"":[""H_2_O x 6""]}",,4,F,H,05
Bouazzerite,"Bi_6_(Mg,Co^2+^)_11_Fe^3+^_14_(As^5+^O_4_)_18_O_12_(OH)_4_·86H_2_O",,,8,D,H,60
Boulangerite,Pb_5_Sb_4_S_11_,,,2,H,C,15
Bournonite,CuPbSbS_3_,"{""A"":[""Cu^1+^""],""B"":[""Pb^2+^""],""X1"":[""Sb^3+^""],""Y1"":[""S^2-^ x 3""]}",,2,G,A,50
Bouškaite,(Mo^6+^O_2_)_2_O(SO_3_OH)_2_(H_2_O)_4_,,,7,D,E,50
Boussingaultite,(NH_4_)_2_Mg(S^6+^O_4_)_2_·6H_2_O,"{""A"":[""NH_4_^1+^ x 2""],""B"":[""Mg^2+^""],""X1"":[""S^6+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""]}",,7,C,C,60
Bowieite,"(Rh,Ir,Pt)_2_S^2-^_3_","{""A"":[""Ir^3+^ x 2-A"",""Rh^3+^ x 2-A"",""Pt^3+^ x 2-A""],""Y1"":[""S^2-^ x 3""]}",,2,D,B,15
Bowlesite,PtSnS,,,2,B,C,55
