Mineral_Name,anions_real,Formula
Lomonosovite,O x 4;PO_4_ x 2,Na_6_Na_2_Ti^4+^_2_Na_2_Ti^4+^_2_(Si_2_O_7_)_2_(PO_4_)_2_O_4_
Vuonnemite,O x 3;PO_4_ x 2;(F + OH)=1,"Na_6_Na_2_Nb^5+^_2_Na_3_Ti^4+^(Si_2_O_7_)_2_(PO_4_)_2_O_3_(F,OH)"
Sobolevite,F x 3;O x 3;PO_4_ x 4,Na_13_Ca_2_Mn^2+^_2_Ti^4+^_3_(Si_2_O_7_)_2_(PO_4_)_4_O_3_F_3_
Innelite,PO_4_;SO_4_;O x 3;OH,Ba_4_Ti^4+^_2_Na(NaCa)Ti^4+^(Si_2_O_7_)_2_[(S^6+^O_4_)(PO_4_)]O_2_[O(OH)]
Phosphoinnelite,"F;O x 2;(PO_4_,SO_4_) x 2","Na_3_Ba_4_Ti^4+^_3_Si_4_O_14_(PO_4_,SO_4_)_2_O_2_F"
Yoshimuraite,O x 2;PO_4_ x 2;OHx2,Ba_4_Mn^2+^_4_Ti^4+^_2_(Si_2_O_7_)_2_(PO_4_)_2_O_2_(OH)_2_
Quadruphite,F x 2;O x 4;PO_4_ x 4,Na_6_Na_2_(CaNa)_2_Na_2_Ti^4+^_2_Na_2_Ti^4+^_2_(Si_2_O_7_)_2_(PO_4_)_4_O_4_F_2_
Quadruphite-VII,F x 2;O x 4;PO_4_ x 4,Na_14_CaMgTi^4+^_4_[Si_2_O_7_]_2_(PO_4_)_4_O_4_F_2_
Polyphite,F x 4;O x 4;PO_4_ x 6,Na_6_(Na_4_Ca_2_)_2_Na_2_Ti^4+^_2_Na_2_Ti^4+^_2_(Si_2_O_7_)_2_(PO_4_)_6_O_4_F_4_
Bornemanite,PO_4_ x 2;F x 2;O x 4;OHx2,Na_6_(Na[box])Ba_2_Ti^4+^_2_Nb^5+^_2_(Si_2_O_7_)_4_(PO_4_)_2_O_4_(OH)_2_F_2_
Shkatulkalite,F;OHx2,Na_10_Mn^2+^Ti^4+^_3_Nb^5+^_3_(Si_2_O_7_)_6_(OH)_2_F·12H_2_O
Bafertisite,F x 2;O x 2;OHx2,Ba_2_Fe^2+^_4_Ti^4+^_2_(Si_2_O_7_)_2_O_2_(OH)_2_F_2_
Bykovaite,O x 2;(H_2_O + F + OH)=2,"(Ba,Na,K)_2_(Na,Ti^4+^,Mn^2+^)_4_(Ti^4+^,Nb^5+^)_2_O_2_Si_4_O_14_(H_2_O,F,OH)_2_·3.5H_2_O"
Cámaraite,O x 4;(OH + F)=7,"Ba_3_Na(Fe^2+^,Mn^2+^)_8_Ti^4+^_4_(Si_2_O_7_)_4_O_4_(OH,F)_7_"
Hejtmanite,F x 2;O x 2;OHx2,Ba_2_Mn^2+^_4_Ti^4+^_2_(Si_2_O_7_)_2_O_2_(OH)_2_F_2_
Nechelyustovite,O x 2,"(Ba,Sr,K)_2_(Na,Ti^4+^,Mn^2+^)_4_(Ti^4+^,Nb^5+^)_2_(Si_2_O_7_)_2_O_2_(O,H_2_O,F)_2_·4.5H_2_O"
