supergroup_id,group_id,subgroup_id,root_id,serie_id,mineral_id
,778f0ca8-f36e-4f97-84cb-a487eaa76ca9,,,,
,778f0ca8-f36e-4f97-84cb-a487eaa76ca9,,,,c92e9af2-ed0c-4c2a-b513-7a03eaa70190
,778f0ca8-f36e-4f97-84cb-a487eaa76ca9,,,,765db5f0-08a8-4f39-a8a0-8fbb31bf3c5d
,778f0ca8-f36e-4f97-84cb-a487eaa76ca9,,,,3cc3313e-f3b3-4032-95da-e65713ab22c0
,778f0ca8-f36e-4f97-84cb-a487eaa76ca9,,,,a1f1c53b-c8bb-4905-8717-ed15b859cb96
,40bfe474-8252-493d-ad3e-306656b39ded,,,,
,40bfe474-8252-493d-ad3e-306656b39ded,,,,5de5956d-3dd6-4cc3-9f59-345bc8d272c8
,40bfe474-8252-493d-ad3e-306656b39ded,,,,66546bae-4a5a-4ff1-87de-70161a48de7a
,40bfe474-8252-493d-ad3e-306656b39ded,,,,aae1c1fb-d2a5-4fb4-94c8-377d619d0fd4
,40bfe474-8252-493d-ad3e-306656b39ded,,,,013821fa-14f1-4e26-85a2-7f8e2f4916b0
,40bfe474-8252-493d-ad3e-306656b39ded,,,,971a71ac-8adb-4a23-8272-b3fd647eb50d
,40bfe474-8252-493d-ad3e-306656b39ded,,,,9f66c1a9-4320-4217-ac66-8ee0c3302453
,40bfe474-8252-493d-ad3e-306656b39ded,,,,0c19c994-1a62-4529-b222-7b339672d057
,40bfe474-8252-493d-ad3e-306656b39ded,,,,f62ba9ea-273c-4da1-ae44-b30707f80548
,40bfe474-8252-493d-ad3e-306656b39ded,,,,c597f5db-6851-4519-956d-bc18e7673fd4
,40bfe474-8252-493d-ad3e-306656b39ded,,,,791f72bb-00e1-48c8-8f0c-9dbffa57b455
,40bfe474-8252-493d-ad3e-306656b39ded,,,,768f25d5-fd71-4fba-81d8-12d90f94b91d
,40bfe474-8252-493d-ad3e-306656b39ded,,,,4719aeec-4277-4894-90ab-81aedd4f1d01
,40bfe474-8252-493d-ad3e-306656b39ded,,,,4eae1b22-1410-4218-95b1-289508674392
,40bfe474-8252-493d-ad3e-306656b39ded,,,c8208ab2-5bd9-4aa0-aa7b-c257cab2ba89,
,40bfe474-8252-493d-ad3e-306656b39ded,,,c8208ab2-5bd9-4aa0-aa7b-c257cab2ba89,18ad247f-8d72-4d6b-8482-76c886dbaf33
,40bfe474-8252-493d-ad3e-306656b39ded,,,c8208ab2-5bd9-4aa0-aa7b-c257cab2ba89,24c98f95-528e-4cf8-a249-788cca4648ef
,40bfe474-8252-493d-ad3e-306656b39ded,,,c8208ab2-5bd9-4aa0-aa7b-c257cab2ba89,3e40b481-0634-4e3b-a4af-dc97c0877c18
,40bfe474-8252-493d-ad3e-306656b39ded,,,7012fe8d-6e40-45cb-8580-000fff3f4191,
,40bfe474-8252-493d-ad3e-306656b39ded,,,7012fe8d-6e40-45cb-8580-000fff3f4191,0020315a-fac8-41bf-b123-a07a4bcaa684
,40bfe474-8252-493d-ad3e-306656b39ded,,,7012fe8d-6e40-45cb-8580-000fff3f4191,ee656437-4a53-4e11-8ed3-1e18fa259f24
,40bfe474-8252-493d-ad3e-306656b39ded,,,7012fe8d-6e40-45cb-8580-000fff3f4191,0574bce4-4706-4173-9309-f5656d8a397f
,40bfe474-8252-493d-ad3e-306656b39ded,,,7bf42088-1aac-463e-a678-b1911f157d1d,
,40bfe474-8252-493d-ad3e-306656b39ded,,,7bf42088-1aac-463e-a678-b1911f157d1d,d0aea6b4-ef06-40ed-a073-84a8a73aeeb5
,40bfe474-8252-493d-ad3e-306656b39ded,,,7bf42088-1aac-463e-a678-b1911f157d1d,358664e7-7b04-4567-8256-97a52eebb9d0
,40bfe474-8252-493d-ad3e-306656b39ded,,,7bf42088-1aac-463e-a678-b1911f157d1d,0574bce4-4706-4173-9309-f5656d8a397f
,40bfe474-8252-493d-ad3e-306656b39ded,,,d3fc7f3f-b7e1-443e-97c5-f25a815a1595,
,40bfe474-8252-493d-ad3e-306656b39ded,,,d3fc7f3f-b7e1-443e-97c5-f25a815a1595,0574bce4-4706-4173-9309-f5656d8a397f
,40bfe474-8252-493d-ad3e-306656b39ded,,,d3fc7f3f-b7e1-443e-97c5-f25a815a1595,f6cee76f-8c3f-4682-97a4-bf2d94fbfced
,40bfe474-8252-493d-ad3e-306656b39ded,,,d3fc7f3f-b7e1-443e-97c5-f25a815a1595,80e9f5b7-dbdf-4089-a0df-050b63f9c1d5
,40bfe474-8252-493d-ad3e-306656b39ded,,,d3fc7f3f-b7e1-443e-97c5-f25a815a1595,f0cc3fa1-a949-4dbb-95ae-b7d1bb17813a
,40bfe474-8252-493d-ad3e-306656b39ded,,,0b454277-5266-4b8b-91f4-94da207a9454,
