anions_theoretical
""
"(V^5+^,V^4+^)_2_(P^5+^,As^5+^)O_8_"
"Al(F,OH)_6_"
As_2_O_3_
As^3+^_14_O_24_
As^3+^(OH)_3_
"As^3+^(V^4+^,V^5+^)_12_As^5+^_6_O_51_"
As^5+^V^5+^_12_O_40_(V^5+^O
B_10_O_19_
B_2_O_4_(OH
B_2_O_4_(OH)_2_
B_22_O_43_
B_24_O_39_(OH
"B_3_(O,OH)_9_"
B_3_O_5_(OH
B_4_O_7_(OH)_6_
B_5_O_8_(OH
B_6_O_11_
B_6_O_9_(OH
BeO_4_
Bi_2_S_7_
Bi_2_Te_7_
BiSe_3_
BiSe_4_
C_18_H_16_
C_2_H_17_O_5_
C_2_H_3_O_3_
C_2_H_6_
C_3_H_8_
C_3_N_3_O_3_H_2_
C_4_H_10_
C_5_H_7_N_5_O_3_
C_x_H_2x+2_
CH_3_SO_3_
Fe^3+^W^6+^_9_O_34_
H_2_AsO_4_
H_2_PV^5+^_12_O_40_(V^5+^O)_2_
H_2_V^4+^V^5+^_9_O_28_
H_2_V^5+^_10_O_28_
H_4_O_4_
HAsO_3_
HAsO_4_
HCOO^-^
HP_2_O_5_
HTeO_3_
N_3_C_2_H_2_
Nb^5+^_6_O_19_
PO_4_ 
S^2-^CN^3-^
Sb_2_O_3_
Sb^5+^(OH)_6_
SO_3_OH
Te^O_6_
TeO_4_(OH)_2_
TeO(OH)_2_
TiV_9_O_28_
V^4+^_2_V^5+^_8_O_28_
V^4+^_3_O_7_
V^4+^_5_V^5+^_2_O_16_
V^5+^_9_V^4+^O_28_
VO_3_(OH
VO_5_
О
