Mineral_Name,cations_theoretical,other_theoretical
Roubaultite,UO_2_;Cu^2+^,H_2_O
Kamotoite-(Y),UO_2_;Y,H_2_O
Sharpite,Ca;UO_2_,H_2_O
Rutherfordine,UO_2_,
Blatonite,UO_2_,H_2_O
Joliotite,UO_2_,H_2_O
Bijvoetite-(Y),UO_2_;Y,H_2_O
Fontanite,UO_2_;Ca,H_2_O
Metazellerite,Ca;UO_2_,H_2_O
Zellerite,UO_2_;Ca,H_2_O
Ewingite,UO_2_;Ca;Mg,H_2_O
Meyrowitzite,UO_2_;Ca,H_2_O
Bayleyite,UO_2_;Mg,H_2_O
Swartzite,Ca;Mg;UO_2_,H_2_O
Albrechtschraufite,UO_2_;Ca;Mg,H_2_O
Liebigite,Ca;UO_2_,H_2_O
Rabbittite,Ca;Mg;UO_2_,H_2_O
Andersonite,UO_2_;Ca;Na,H_2_O
Grimselite,UO_2_;Na;K,H_2_O
Widenmannite,Pb^2+^;UO_2_,
Znucalite,UO_2_;Ca;Zn,H_2_O
Agricolaite,UO_2_;K,
Čejkaite,Na;UO_2_,
Braunerite,K;Ca;UO_2_,H_2_O
Línekite,K;Ca;UO_2_,H_2_O
Leószilárdite,Na;Mg;UO_2_,H_2_O
Markeyite,Ca;UO_2_,H_2_O
Natromarkeyite,Ca;UO_2_;Na,H_2_O
Pseudomarkeyite,Ca;UO_2_,H_2_O
Paddlewheelite,Mg;Ca;Cu^2+^;UO_2_,H_2_O
Voglite,UO_2_;Ca;Cu^2+^,H_2_O
Shabaite-(Nd),Nd;Sm;Y;Ca;UO_2_,H_2_O
Astrocyanite-(Ce),Ce^3+^;Nd;La;UO_2_;Cu^2+^,H_2_O
Schröckingerite,Ca;Na;UO_2_,H_2_O
UM1997-27-CO:CaHKSU,K;Ca;UO_2_,H_2_O
Lepersonnite-(Gd),Gd;Dy;Ca;UO_2_,H_2_O
Ježekite,Na;UO_2_,H_2_O
Nitratine,Na,
Niter,K,
Gwihabaite,NH_4_;K,
Nitrobarite,Ba,
Shilovite,Cu^2+^,NH_3_
Gerhardtite,Cu^2+^,
Rouaite,Cu^2+^,
Nitromagnesite,Mg,H_2_O
Nitrocalcite,Ca,H_2_O
Likasite,Cu^2+^,H_2_O
Mbobomkulite,Ni^2+^;Cu^2+^;Al,H_2_O
Hydrombobomkulite,Ni^2+^;Cu^2+^;Al,H_2_O
Sveite,Al;K,H_2_O
Lislkirchnerite,Pb^2+^;Al,H_2_O
Sassolite,B,
Nordenskiöldine,Ca;Sn^4+^,
Tusionite,Mn^2+^;Sn^4+^,
Jimboite,Mn^2+^;Mg,
Kotoite,Mg,
Takedaite,Ca,
Hambergite,Be,
Berborite,Be,H_2_O
Jeremejevite,Al,
Warwickite,Mg;Ti^4+^;Fe^3+^;Cr^3+^;Al,
Yuanfuliite,Fe^3+^;Al;Mg,
Karlite,Mg;Al,
Azoproite,Ti^4+^;Mg;Fe^2+^;Fe^3+^,
Bonaccordite,Fe^3+^;Ni^2+^,
Fredrikssonite,Mn^3+^;Fe^3+^;Mg,
Ludwigite,Fe^3+^;Mg,
Marinaite,Fe^3+^;Cu^2+^,
Vonsenite,Fe^2+^;Fe^3+^,
Alumoludwigite,Fe^3+^;Al;Mg,
Stanniferous Ludwigite,Mg;Fe^2+^;Mn^2+^;Fe^3+^;Sn^4+^,
Folvikite,Sb^5+^;Mn^3+^;Mg;Mn^2+^,
Pinakiolite,Mg;Mn^2+^;Mn^3+^;Sb^5+^,
Blatterite,Mn^2+^;Mg;Mn^3+^;Fe^3+^;Sb^5+^,
Chestermanite,Fe^3+^;Mg;Al;Sb^5+^,
Orthopinakiolite,Mg;Mn^2+^;Mn^3+^,
Takéuchiite,Mg;Mn^2+^;Mn^3+^;Fe^3+^,
Aluminomagnesiohulsite,Al;Mg;Sn^4+^;Fe^2+^,
Hulsite,Fe^2+^;Mg;Fe^3+^;Sn^4+^,
Magnesiohulsite,Fe^3+^;Sn^4+^;Mg;Fe^2+^,
Fluoborite,Mg,
Hydroxylborite,Mg,
Shabynite,Mg,H_2_O
Wightmanite,Mg,H_2_O
Gaudefroyite,Mn^3+^;Ca,
Sakhaite,Ca;Mg,
Harkerite,Mg;Ca;Al,H_2_O
Pertsevite-(F),Mg,
Pertsevite-(OH),Mg,
Jacquesdietrichite,Cu^2+^,
Painite,Al;Ca;Zr,
Rhabdoborite-(V),Mg;V^5+^;Mo^6+^;W^6+^,
Rhabdoborite-(W),Mg;V^5+^;W^6+^,
Rhabdoborite-(Mo),Mg;Mo^6+^,
Mengxianminite,Ca;Na;Sn^4+^;Mg;Fe^2+^;Al;Be,
Sinhalite,Al;Mg,
Pseudosinhalite,Al;Mg,
Béhierite,Ta;Nb^5+^,
Schiavinatoite,Nb^5+^;Ta,
Frolovite,Ca,
Hexahydroborite,Ca,H_2_O
Henmilite,Cu^2+^;Ca,
Bandylite,Cu^2+^,
Teepleite,Na,
Moydite-(Y),Y,
Carboborite,Ca;Mg,H_2_O
Sulfoborite,Mg,
Lüneburgite,Mg,H_2_O
Seamanite,Mn^2+^,
Cahnite,Ca,
Krasnoshteinite,Al,H_2_O
Suanite,Mg,
Clinokurchatovite,Mg;Fe^2+^;Mn^2+^;Ca,
Kurchatovite,Mg;Mn^2+^;Ca,
Sussexite,Mn^2+^,
Szaibélyite,Mg,
Hydroascharite,Mg,H_2_O
Wiserite,Si;Mg;Mn^2+^,
Pinnoite,Mg,
Pentahydroborite,Ca,H_2_O
Calciborite,Ca,
Vimsite,Ca,
Parasibirskite,Ca,H_2_O
Sibirskite,Ca,
Shimazakiite,Ca,
Santarosaite,Cu^2+^,
Ameghinite,Na,
Inderite,Mg,H_2_O
Kurnakovite,Mg,H_2_O
Inderborite,Ca;Mg,H_2_O
Meyerhofferite,Ca,H_2_O
Inyoite,Ca,H_2_O
Solongoite,Ca,
Peprossiite-(Ce),Ce^3+^;La;Al,
Nifontovite,Ca,H_2_O
Olshanskyite,Ca,H_2_O
Colemanite,Ca,H_2_O
Hydroboracite,Mg;Ca,H_2_O
Howlite,Ca,
Jarandolite,Ca,
Johachidolite,Al;Ca,
Alfredstelznerite,Ca,H_2_O
Borax,Na,H_2_O
Tincalconite,Na,H_2_O
Hungchaoite,Mg,H_2_O
Fedorovskite,Mg;Ca,
Roweite,Ca;Mn^2+^,
Hydrochlorborite,Ca,H_2_O
Uralborite,Ca,
Borcarite,Ca;Mg,
Numanoite,Ca;Cu^2+^,
Fontarnauite,Na;K;Sr;Ca,H_2_O
Kernite,Na,H_2_O
Leucostaurite,Pb^2+^,H_2_O
Sborgite,Na,H_2_O
Ramanite-(Cs),Cs,H_2_O
Ramanite-(Rb),Rb,H_2_O
Santite,K,H_2_O
Ammonioborite,NH_4_,H_2_O
Ulexite,Ca;Na,H_2_O
Larderellite,NH_4_,H_2_O
Yarzhemskiite,K,H_2_O
Ezcurrite,Na,H_2_O
Probertite,Ca;Na,H_2_O
Tertschite,Ca,H_2_O
Priceite,Ca,H_2_O
Biringuccite,Na,H_2_O
Nasinite,Na,H_2_O
Gowerite,Ca,H_2_O
Veatchite,Sr,H_2_O
Volkovskite,Ca;K,H_2_O
Tuzlaite,Ca;Na,H_2_O
Heidornite,Na;Ca,
Brianroulstonite,Ca,H_2_O
Popugaevaite,Ca,H_2_O
Hilgardite,Ca,H_2_O
Kurgantaite,Ca;Sr,H_2_O
Tyretskite,Ca,H_2_O
Strontiohilgardite,Ca;Sr,H_2_O
Strontiohilgardite-1Tc,Ca;Sr,H_2_O
Aksaite,Mg,H_2_O
Mcallisterite,Mg,H_2_O
Admontite,Mg,H_2_O
Rivadavite,Mg;Na,H_2_O
Teruggite,Ca;Mg,H_2_O
Aristarainite,Mg;Na,H_2_O
Kaliborite,K;Mg,H_2_O
Nobleite,Ca,H_2_O
Tunellite,Sr,H_2_O
Strontioborite,Sr,
Ginorite,Ca,H_2_O
Strontioginorite,Ca;Sr,H_2_O
Fabianite,Ca,
Boracite,Mg,
Chambersite,Mn^2+^,
Ericaite,Fe^2+^,
Ferroan Boracite,Mg;Fe^2+^,
Bromboracit,Mg,
Congolite,Fe^2+^;Mg,
Trembathite,Mg;Fe^2+^,
Korzhinskite,Ca,H_2_O
Studenitsite,Ca;Na,H_2_O
Penobsquisite,Ca;Fe^2+^,H_2_O
Preobrazhenskite,Mg,
Walkerite,Mg;Li;Ca,H_2_O
Londonite,Cs;K;Rb;Al;Be,
Rhodizite,K;Cs;Al;Be,
Pringleite,Ca,H_2_O
Ruitenbergite,Ca,H_2_O
Clinometaborite,B,
Metaborite,B,
Chelkarite,Ca;Mg,H_2_O
Satimolite,Al;K;Na;Mg,H_2_O
Iquiqueite,K;Mg;Na,H_2_O
Wardsmithite,Ca;Mg,H_2_O
Halurgite,Mg,H_2_O
Vitimite,Ca,H_2_O
Chubarovite,K;Zn,
Balavinskite,Sr,H_2_O
Braitschite-(Ce),Ca;Na;REE,H_2_O
Ekaterinite,Ca,H_2_O
Canavesite,Mg,H_2_O
Qilianshanite,Na,H_2_O
Koryakite,Na;K;Mg;Al,
Mikasaite,Fe^3+^,
Millosevichite,Al;Fe^3+^,
Chalcocyanite,Cu^2+^,
Zinkosite,Zn,
Hermannjahnite,Cu^2+^;Zn,
Andymcdonaldite,Fe^3+^,
Ottoite,Pb^2+^,
Zincomenite,Zn,
Dravertite,Cu^2+^;Mg,
Perkovaite,Ca;Mg,
Vanthoffite,Mg;Na,
Pyracmonite,NH_4_;Fe^3+^,
Efremovite,NH_4_;Mg,
Ferroefremovite,NH_4_;Fe^2+^,
Langbeinite,K;Mg,
Manganolangbeinite,K;Mn^2+^,
Eldfellite,Fe^3+^;Na,
Yavapaiite,Fe^3+^;K,
Godovikovite,NH_4_;Al,
Sabieite,Fe^3+^;NH_4_,
Steklite,K;Al,
Thénardite,Na,
Metathénardite,Na,
Aphthitalite,K;Na,
Belomarinaite,K;Na,
Möhnite,NH_4_;K;Na,
Natroaphthitalite,Na;K,
Ammonium-Aphthitalite,K;Na;NH_4_,
Cuprian Manganoan Aphthitalite,K;Na;Cu^2+^;Mg,
Itelmenite,Na;Mg;Cu^2+^,
Saranchinaite,Na;Cu^2+^,
Majzlanite,K;Na;Zn;Ca,
Markhininite,Tl^1+^;Bi,
Philoxenite,K;Na;Pb^2+^;Ca;Mg;Cu^2+^;Fe^3+^;Al,
Acmonidesite,NH_4_;K;Pb^2+^;Na;Fe^2+^,
Aluminopyracmonite,NH_4_;Al,
Petrovite,Na;Cu^2+^,
Arcanite,K,
Mascagnite,NH_4_,
Taylorite (of Dana),K;NH_4_,
Mercallite,K;H,
Misenite,K;H,
Letovicite,NH_4_;H,
Glauberite,Na;Ca,
Anhydrite,Ca,
Anglesite,Pb^2+^,
Baryte,Ba,
Celestine,Sr,
Olsacherite,Pb^2+^,
Angleso-barite,Ba;Pb^2+^,
Argentiferous Anglesite,Pb^2+^;Ag,
Barian Celestine,Sr;Ba,
Barytoanglesite,Pb^2+^;Ba,
Barytosulfate of Strontian,Sr;Ba,
Ca- and Sr-rich Baryte,Ba;Ca;Sr,
Calcareobarite,Ba;Ca,
Calciocelestine,Sr;Ca,
Celestobarite (of Dana),Ba;Sr,
Cuprian Anglesite,Pb^2+^;Cu^2+^,
Hokutolite,Ba;Pb^2+^,
Radian Barite,Ba;Ra,
Strontian Baryte,Ba;Sr,
Kalistrontite,K;Sr,
Palmierite,K;Na;Pb^2+^,
Ivsite,Na;H,
Bubnovaite,Ca;K;Na,
Calciolangbeinite,K;Ca,
Dobrovolskyite,Ca;Na,
Caminite,Mg,H_2_O
Hauckite,Mg;Mn^2+^;Zn;Fe^3+^,
Antlerite,Cu^2+^,
Dolerophanite,Cu^2+^,
Brochantite,Cu^2+^,
Ramaccioniite,Cu^2+^,
Cupromolybdite,Cu^2+^,
Vergasovaite,Cu^2+^,
Klebelsbergite,Sb^3+^,
Tavagnascoite,Bi,
Schuetteite,Hg^2+^,
Paraotwayite,Ni^2+^,
Cesbronite,Cu^2+^,
Xocomecatlite,Cu^2+^,
Pauflerite,V^4+^O,
Grandviewite,Cu^2+^;Al,
Agaite,Pb^2+^;Cu^2+^,
Timroseite,Pb^2+^;Cu^2+^,
Glikinite,Zn,
Leguernite,Bi,
Mojaveite,Cu^2+^,
Paratimroseite,Pb^2+^;Cu^2+^,
D'ansite,Na;Mg,
D'ansite-(Fe),Na;Fe^2+^,
D'ansite-(Mn),Na;Mn^2+^,
Alunite,Al;K,
Ammonioalunite,Al;NH_4_,
Ammoniojarosite,Fe^3+^;NH_4_,
Argentojarosite,Ag;Fe^3+^,
Beaverite-(Cu),Cu^2+^;Fe^3+^;Pb^2+^,
Beaverite-(Zn),Fe^3+^;Pb^2+^;Zn,
Dorallcharite,Fe^3+^;Tl^1+^,
Huangite,Ca;Al,
Hydroniumjarosite,H_3_O;Fe^3+^,
Jarosite,Fe^3+^;K,
Natroalunite,Al;Na,
Natrojarosite,Fe^3+^;Na,
Osarizawaite,Al;Cu^2+^;Pb^2+^,
Plumbojarosite,Fe^3+^;Pb^2+^,
Schlossmacherite,H_3_O;Al,
Walthierite,Al;Ba,
Unnamed (Ba-Fe Vanadate),,
Apatelite,Fe^3+^,H_2_O
Calcium-Jarosite,Fe^3+^;Ca,
Kolosorukite,Fe^3+^;K,
Strontian Natroalunite,Al;Na;Sr,
Ye'elimite,Al;Ca,
Adranosite,NH_4_;Al;Na,
Adranosite-(Fe),NH_4_;Fe^3+^;Na,
Atlasovite,Bi;Cu^2+^;Fe^3+^;K,
Nabokoite,Cu^2+^;K,
Chlorothionite,Cu^2+^;K,
Euchlorine,Cu^2+^;Na;K,
Fedotovite,Cu^2+^;K,
Puninite,Cu^2+^;Na,
Kamchatkite,Cu^2+^;K,
Piypite,Na;Cu^1+^;Cu^2+^;K,
Alumoklyuchevskite,Al;Fe^3+^;Cu^2+^;K,
Klyuchevskite,Fe^3+^;Al;Cu^2+^;K,
Caledonite,Cu^2+^;Pb^2+^,
Wherryite,Cu^2+^;Pb^2+^,
Mammothite,Al;Cu^2+^;Pb^2+^;Sb^5+^,
Linarite,Cu^2+^;Pb^2+^,
Munakataite,Cu^2+^;Pb^2+^,
Schmiederite,Cu^2+^;Pb^2+^,
Chenite,Cu^2+^;Pb^2+^,
Krivovichevite,Al;Pb^2+^,
Anhydrokainite,K;Mg,
Belousovite,K;Zn,
Backite,Pb^2+^;Al,
Müllerite,Pb^2+^;Fe^3+^,
Elasmochloite,Na;Cu^2+^;Bi,
Eleomelanite,K;Pb^2+^;Cu^2+^,
Falgarite,K;V^4+^O,
Krasheninnikovite,K;Na;Ca;Mg,
Parawulffite,K;Na;Cu^2+^,
Wulffite,K;Na;Cu^2+^,
Shuvalovite,K;Ca;Na,
Saccoite,Ca;Mn^3+^,
Therasiaite,NH_4_;K;Na;Fe^2+^;Fe^3+^,
Hagstromite,Pb;Cu^2+^,
Sulphohalite,Na,
Galeite,Na,
Schairerite,Na,
Kogarkoite,Na,
Aiolosite,Na;Bi,
Caracolite,Na;Pb^2+^,
Cesanite,Ca;Na,
Burkeite,Na,
Hanksite,Na;K,
Cannonite,Bi,
Lanarkite,Pb^2+^,
Chrom-Lanarkite,Pb^2+^,
Grandreefite,Pb^2+^,
Itoite,Ge;Pb^2+^,
Chiluite,Bi,
Hectorfloresite,Na,
Pseudograndreefite,Pb^2+^,
Sundiusite,Pb^2+^,
Balićžunićite,Bi,
Adanite,Pb,
Texasite (of Crook),Pr,
Natrosulfatourea,Na,CO(NH_2_)_2_
Alfredopetrovite,Al,H_2_O
Cobaltkieserite,Co^2+^,H_2_O
Dwornikite,Ni^2+^;Fe^2+^,H_2_O
Gunningite,Zn,H_2_O
Kieserite,Mg,H_2_O
Poitevinite,Cu^2+^;Fe^2+^;Zn,H_2_O
Szmikite,Mn^2+^,H_2_O
Szomolnokite,Fe^2+^,H_2_O
Voudourisite,Cd,H_2_O
Sanderite,Mg,H_2_O
Bonattite,Cu^2+^,H_2_O
Aplowite,Co^2+^;Mn^2+^;Ni^2+^,H_2_O
Boyleite,Zn;Mg,H_2_O
Cranswickite,Mg,H_2_O
Drobecite,Cd,H_2_O
Ilesite,Mn^2+^;Zn;Fe^2+^,H_2_O
Rozenite,Fe^2+^,H_2_O
Starkeyite,Mg,H_2_O
Ferroan Starkeyite,Mg;Fe^2+^,H_2_O
Belogubite,Cu^2+^;Zn,H_2_O
Chalcanthite,Cu^2+^,H_2_O
Jôkokuite,Mn^2+^,H_2_O
Pentahydrite,Mg,H_2_O
Siderotil,Fe^2+^,H_2_O
Kellerite,Mg;Cu^2+^,H_2_O
Phillipite,Cu^2+^;Fe^3+^,H_2_O
Bianchite,Zn;Fe^2+^,H_2_O
Chvaleticeite,Mn^2+^;Mg,H_2_O
Ferrohexahydrite,Fe^2+^,H_2_O
Hexahydrite,Mg,H_2_O
Moorhouseite,Co^2+^;Ni^2+^;Mn^2+^,H_2_O
Nickelhexahydrite,Ni^2+^;Mg;Fe^2+^,H_2_O
Retgersite,Ni^2+^,H_2_O
Alpersite,Mg,H_2_O
Bieberite,Co^2+^,H_2_O
Boothite,Cu^2+^,H_2_O
Mallardite,Mn^2+^,H_2_O
Melanterite,Fe^2+^,H_2_O
Zincmelanterite,Zn;Cu^2+^;Fe^2+^,H_2_O
Cuprian Melanterite,Fe^2+^;Cu^2+^,H_2_O
Cuprokirovite,Fe^2+^;Mg;Cu^2+^,H_2_O
Ferroan Boothite,Cu^2+^;Fe^2+^,H_2_O
Kirovite,Fe^2+^;Mg,H_2_O
Manganoan Melanterite,Fe^2+^;Mn^2+^,H_2_O
Mg-bearing Boothite,Cu^2+^;Mg,H_2_O
Mg-bearing Melanterite,Fe^2+^;Mg,H_2_O
Zincian Melanterite,Fe^2+^;Zn,H_2_O
Epsomite,Mg,H_2_O
Goslarite,Zn,H_2_O
Morenosite,Ni^2+^,H_2_O
Tauriscite,Fe^2+^,H_2_O
Aromite (of Darapsky),Mg;Al,H_2_O
Cobaltoan Epsomite,Mg;Co^2+^,H_2_O
Cuprian Zincian Epsomite,Mg;Cu^2+^;Zn,H_2_O
Cuprogoslarite,Zn;Cu^2+^,H_2_O
Ferro-Goslarite,Zn;Fe^2+^,H_2_O
Ferroan Epsomite,Mg;Fe^2+^,H_2_O
Magnesian Goslarite,Zn;Mg,H_2_O
Magnesian Morenosite,Ni^2+^;Mg,H_2_O
Mangangoslarite,Zn;Mn^2+^,H_2_O
Manganoan Epsomite,Mg;Mn^2+^,H_2_O
Zincian Manganoan Epsomite,Mg;Mn^2+^;Zn,H_2_O
Alunogen,Al,H_2_O
Meta-alunogen,Al,H_2_O
Ferri-hydroxykeramohalite,Al;Fe^3+^,H_2_O
Phosphoralunogen,Al,H_2_O
Aluminocoquimbite,Al;Fe^3+^,H_2_O
Coquimbite,Fe^3+^;Al,H_2_O
Paracoquimbite,Fe^3+^,H_2_O
Rhomboclase,H_3_O;Fe^3+^,H_2_O
Aluminous Coquimbite,Fe^3+^;Al,H_2_O
Kornelite,Fe^3+^,H_2_O
Quenstedtite,Fe^3+^,H_2_O
Lausenite,Fe^3+^,H_2_O
Lishizhenite,Fe^3+^;Zn,H_2_O
Römerite,Fe^2+^;Fe^3+^,H_2_O
Ransomite,Cu^2+^;Fe^3+^,H_2_O
Apjohnite,Al;Mn^2+^,H_2_O
Bílinite,Fe^2+^;Fe^3+^,H_2_O
Dietrichite,Zn;Fe^2+^;Mn^2+^;Al,H_2_O
Halotrichite,Fe^2+^;Al,H_2_O
Pickeringite,Al;Mg,H_2_O
Redingtonite,Fe^2+^;Mg;Ni^2+^;Cr^3+^;Al,H_2_O
Wupatkiite,Co^2+^;Mg;Ni^2+^;Al,H_2_O
Ferropickeringite,Al;Mg;Fe^2+^,H_2_O
Kasparite,Al;Mg;Co^2+^,H_2_O
Manganoan Pickeringite,Al;Mg;Mn^2+^,H_2_O
Masrite,Fe^2+^;Mn^2+^;Co^2+^;Al,H_2_O
Meridianiite,Mg,H_2_O
Lazaridisite,Cd,H_2_O
Pararaisaite,Cu^2+^;Mg,H_2_O
Raisaite,Cu^2+^;Mg,H_2_O
Caichengyunite,Fe^2+^;Al,H_2_O
Krausite,Fe^3+^;K,H_2_O
Tamarugite,Al;Na,H_2_O
Kalinite,Al;K,H_2_O
Mendozite,Al;Na,H_2_O
Alum-(K),Al;K,H_2_O
Alum-(Na),Al;Na,H_2_O
Lanmuchangite,Al;Tl^1+^,H_2_O
Lonecreekite,Fe^3+^;NH_4_,H_2_O
Tschermigite,Al;NH_4_,H_2_O
Ammoniomagnesiovoltaite,NH_4_;Al;Fe^3+^;Mg,H_2_O
Ammoniovoltaite,NH_4_;Al;Fe^2+^;Fe^3+^,H_2_O
Magnesiovoltaite,Al;Mg;Fe^3+^;K,H_2_O
Pertlikite,Fe^2+^;Mg;Fe^3+^;Al;K,H_2_O
Voltaite,Al;Fe^2+^;Fe^3+^;K,H_2_O
Zincovoltaite,Al;Fe^3+^;K;Zn,H_2_O
Kröhnkite,Cu^2+^;Na,H_2_O
Ferrinatrite,Fe^3+^;Na,H_2_O
Goldichite,Fe^3+^;K,H_2_O
Löweite,Mg;Na,H_2_O
Chromlöweite,Mg;Na,H_2_O
Blödite,Mg;Na,H_2_O
Changoite,Na;Zn,H_2_O
Cobaltoblödite,Co^2+^;Na,H_2_O
Manganoblödite,Na;Mn^2+^,H_2_O
Nickelblödite,Ni^2+^;Mg;Na,H_2_O
Natronkalisimonyit,Mg;Na;K,H_2_O
Leonite,K;Mg,H_2_O
Mereiterite,Fe^2+^;K,H_2_O
Boussingaultite,NH_4_;Mg,H_2_O
Cyanochroite,Cu^2+^;K,H_2_O
Katerinopoulosite,NH_4_;Zn,H_2_O
Mohrite,NH_4_;Fe^2+^,H_2_O
Nickelboussingaultite,NH_4_;Ni^2+^,H_2_O
Nickelpicromerite,K;Ni^2+^,H_2_O
Picromerite,K;Mg,H_2_O
Polyhalite,Ca;K;Mg,H_2_O
Leightonite,Ca;Cu^2+^;K,H_2_O
Amarillite,Fe^3+^;Na,H_2_O
Konyaite,Mg;Na,H_2_O
Wattevilleite,Na;Ca,H_2_O
Eckhardite,Ca;Pb^2+^;Cu^2+^,H_2_O
Andychristyite,Pb^2+^;Cu^2+^,H_2_O
Matteuccite,Na;H,H_2_O
Mirabilite,Na,H_2_O
Lecontite,NH_4_;K;Na,H_2_O
Hydroglauberite,Na;Ca,H_2_O
Eugsterite,Na;Ca,H_2_O
Campostriniite,Bi;Na;NH_4_;K,H_2_O
Görgeyite,Ca;K,H_2_O
Antofagastaite,Ca;Na,H_2_O
Koktaite,NH_4_;Ca,H_2_O
Syngenite,Ca;K,H_2_O
Gypsum,Ca,H_2_O
Bassanite,Ca,H_2_O
Chinleite-(Y),Na;Y,H_2_O
Zircosulfate,Zr;Ti^4+^,H_2_O
Chromschieffelinite,Pb^2+^;Te^6+^,H_2_O
Schieffelinite,Pb^2+^;Te^6+^,H_2_O
Montanite,Bi,H_2_O
Omongwaite,Ca;Na,H_2_O
Argesite,NH_4_;Bi,
Aubertite,Al;Cu^2+^,H_2_O
Magnesioaubertite,Mg;Cu^2+^;Al,H_2_O
Svyazhinite,Al;Fe^3+^;Mg;Mn^2+^;Ca,H_2_O
Khademite,Al,H_2_O
Rostite,Al,H_2_O
Jurbanite,Al,H_2_O
Anorthominasragrite,V^4+^O,H_2_O
Minasragrite,V^4+^O,H_2_O
Orthominasragrite,V^4+^O,H_2_O
Bobjonesite,V^4+^O,H_2_O
Karpovite,V^4+^O;Tl^1+^,H_2_O
Amarantite,Fe^3+^,H_2_O
Hohmannite,Fe^3+^,H_2_O
Metahohmannite,Fe^3+^,H_2_O
Aluminocopiapite,Al;Mg;Fe^3+^,H_2_O
Calciocopiapite,Ca;Fe^3+^,H_2_O
Copiapite,Fe^3+^;Fe^2+^,H_2_O
Cuprocopiapite,Fe^3+^;Cu^2+^,H_2_O
Ferricopiapite,Fe^3+^,H_2_O
Magnesiocopiapite,Fe^3+^;Mg,H_2_O
Zincocopiapite,Fe^3+^;Zn,H_2_O
Aluminite,Al,H_2_O
Meta-aluminite,Al,H_2_O
Butlerite,Fe^3+^,H_2_O
Parabutlerite,Fe^3+^,H_2_O
Fibroferrite,Fe^3+^,H_2_O
Xitieshanite,Fe^3+^,H_2_O
Botryogen,Fe^3+^;Mg,H_2_O
Zincobotryogen,Zn;Mg;Mn^2+^;Fe^3+^,H_2_O
Chaidamuite,Fe^3+^;Zn,H_2_O
Guildite,Fe^3+^;Cu^2+^,H_2_O
Bairdite,Pb^2+^;Cu^2+^,H_2_O
Pauladamsite,Cu^2+^,H_2_O
Riotintoite,Al,H_2_O
Thorneite,Pb^2+^,H_2_O
Vendidaite,Al,H_2_O
Felsőbányaite,Al,H_2_O
Langite,Cu^2+^,H_2_O
Posnjakite,Cu^2+^,H_2_O
Wroewolfeite,Cu^2+^,H_2_O
Llantenesite,Al;Cu^2+^,H_2_O
Spangolite,Al;Cu^2+^,H_2_O
Fehrite,Mg;Cu^2+^,H_2_O
Gobelinite,Co^2+^;Cu^2+^,H_2_O
Ktenasite,Zn;Cu^2+^,H_2_O
Christelite,Zn;Cu^2+^,H_2_O
Aldridgeite,Cd;Ca;Cu^2+^;Zn,H_2_O
Campigliaite,Cu^2+^;Mn^2+^,H_2_O
Devilline,Cu^2+^;Ca,H_2_O
Edwardsite,Cu^2+^;Cd,H_2_O
Kobyashevite,Cu^2+^,H_2_O
Niedermayrite,Cd;Cu^2+^,H_2_O
Orthoserpierite,Cu^2+^;Zn;Ca,H_2_O
Serpierite,Cu^2+^;Zn;Ca,H_2_O
Unnamed (Dimorph of Devilline),Cu^2+^;Ca,H_2_O
Zincian Devilline,Cu^2+^;Zn;Ca,H_2_O
Carrboydite,Ni^2+^;Al,H_2_O
Glaucocerinite,Zn;Al,H_2_O
Honessite,Ni^2+^;Fe^3+^,H_2_O
Hydrohonessite,Ni^2+^;Fe^3+^,H_2_O
Hydrowoodwardite,Cu^2+^;Al,H_2_O
Motukoreaite,Mg;Al;Na,H_2_O
Mountkeithite,Mg;Fe^3+^,H_2_O
Natroglaucocerinite,Zn;Al;Na,H_2_O
Nikischerite,Al;Fe^2+^;Na,H_2_O
Shigaite,Al;Mn^2+^;Na,H_2_O
Wermlandite,Al;Ca;Mg,H_2_O
Woodwardite,Cu^2+^;Al,H_2_O
Zincaluminite,Zn;Al,H_2_O
Zincowoodwardite,Zn;Al,H_2_O
Lawsonbauerite,Mn^2+^;Mg;Zn,H_2_O
Torreyite,Mg;Mn^2+^;Zn,H_2_O
Mooreite,Mg;Mn^2+^;Zn,H_2_O
Namuwite,Zn,H_2_O
Bechererite,Cu^2+^;Zn,
Ramsbeckite,Cu^2+^;Zn,H_2_O
Vonbezingite,Ca;Cu^2+^,H_2_O
Redgillite,Cu^2+^,H_2_O
Chalcoalumite,Al;Cu^2+^,H_2_O
Kyrgyzstanite,Al;Zn,H_2_O
Nickelalumite,Ni^2+^;Cu^2+^;Al,H_2_O
Guarinoite,Zn,H_2_O
Isselite,Cu^2+^,H_2_O
Schulenbergite,Cu^2+^;Zn,H_2_O
Thérèsemagnanite,Co^2+^;Na,H_2_O
UM1992-30-SO:CCuHZn,Zn;Cu^2+^,H_2_O
Montetrisaite,Cu^2+^,H_2_O
Hodgesmithite,Cu^2+^;Zn,H_2_O
Lahnsteinite,Zn,H_2_O
Minohlite,Cu^2+^;Zn,H_2_O
Lauraniite,Cu^2+^;Cd,H_2_O
Mangazeite,Al,H_2_O
Carbonatecyanotrichite,Al;Cu^2+^,H_2_O
Cyanotrichite,Cu^2+^;Al,H_2_O
UKI-1975-(SO:AlCu),Cu^2+^;Al,H_2_O
Schwertmannite,Fe^3+^,H_2_O
Tlalocite,Cu^2+^;Zn,H_2_O
