cations_theoretical
""
[box]
Ce
Eu
Mn^5+^
Mo^6+^O_2_
NH_3_
NHg^2+^_2_
Pb^1+^
Pd^2+^
Sc^3+^
Sn^?+^
Ta^5+^
Te^2+^
Ti^2+^
U
V^2+^
V^6+^

