anions_theoretical
""
"(Te^6+^,Te^4+^)_3_O_8_"
"(V^4+^,V^5+^)_6_O_15_"
"(V^5+^,V^4+^)_2_(P^5+^,As^5+^)O_8_"
"(V^5+^,V^4+^)_6_O_16_"
"(V^5+^,V^4+^)_8_O_20_"
[box]
"Al(F,OH)_6_"
AlF_4_(OH)_2_
AlF_6_
AlV^4+^_2_V^5+^_12_O_40_
As
As_2_
As_2_O_3_
As_2_O_4_
As_2_O_5_
As_2_O_7_
As_2_S_7_
As_2_Se_7_
As^3+^_14_O_24_
As^3+^_5_O_11_
As^3+^(OH)_3_
"As^3+^(V^4+^,V^5+^)_12_As^5+^_6_O_51_"
As^5+^V^5+^_12_O_40_(V^5+^O
AsO_3_
AsO_4_
AsS
AsS_3_
AsS_4_
AsSe
AsSe_3_
B_10_O_19_
B_11_O_15_(OH)_9_
B_12_O_18_(OH)_12_
B_12_O_28_
B_13_O_17_(OH)_12_
B_14_O_19_(OH)_14_
B_14_O_20_(OH)_6_
B_15_O_20_(OH)_8_
B_2_O_2_(OH)_3_
B_2_O_2_(OH)_4_
B_2_O_4_
B_2_O_4_(OH
B_2_O_4_(OH)_2_
B_2_O_5_
B_2_O(OH)_6_
B_22_O_43_
B_24_O_39_(OH
B_26_O_34_(OH)_24_
"B_3_(O,OH)_9_"
B_3_O_3_(OH)_4_
B_3_O_3_(OH)_5_
B_3_O_3_(OH)_6_
B_3_O_4_(OH)_3_
B_3_O_4_(OH)_4_
B_3_O_5_(OH
B_3_O_7_
B_4_O_4_(OH)_6_
B_4_O_5_(OH)_4_
B_4_O_6_(OH)_2_
B_4_O_6_(OH)_6_
B_4_O_7_
B_4_O_7_(OH)_6_
"B_5_(O,OH)_12_"
B_5_O_6_(OH)_4_
B_5_O_6_(OH)_6_
B_5_O_7_(OH)_2_
B_5_O_7_(OH)_3_
B_5_O_7_(OH)_4_
B_5_O_7_(OH)_5_
B_5_O_8_(OH
B_5_O_8_(OH)_2_
B_5_O_9_
B_6_O_10_
B_6_O_11_
B_6_O_7_(OH)_6_
B_6_O_8_(OH)_4_
B_6_O_9_(OH
B_6_O_9_(OH)_2_
B_7_O_13_
B_8_O_13_(OH)_2_
B_9_O_13_(OH)_6_
B_9_O_14_(OH)_4_
B(OH)_3_
B(OH)_4_
BeO_4_
BF_4_
Bi
Bi_2_O_4_
Bi_2_S_7_
Bi_2_Te_7_
BiS
BiS_3_
BiSe
BiSe_3_
BiSe_4_
BiTe
BO_3_
BO_4_
BO(OH)_2_
BO(OH)_3_
Br
C
C_10_H_12_N_8_O_8_
C_10_H_22_O_3_
C_13_H_10_
C_14_H_10_
C_14_H_8_O_2_
C_18_H_16_
C_18_H_18_
C_19_H_24_
C_19_H_33_COOH
C_19_H_34_
C_2_H_17_O_5_
C_2_H_3_O_3_
C_2_H_6_
C_2_O_4_
C_20_H_34_
C_20_H_36_
C_21_H_44_
C_22_H_14_
C_24_H_12_
C_3_H_8_
C_3_N_3_O_3_H_2_
C_31_H_32_N_4_
C_4_H_10_
C_5_H_3_(NH_2_)N_4_O
C_5_H_4_N_4_O_3_
C_5_H_7_N_5_O_3_
C_6_(COO)_6_
C_6_H_4_(CO)_2_NH
C_6_H_5_O_10_
C_6_H_5_O_7_
C_x_H_2x+2_
CH_3_CONH_2_
CH_3_COO
CH_3_SO_3_
CH_4_
Cl
CN
CO_3_
CO(NH_2_)_2_
Cr^6+^_2_O_7_
CrO_4_
F
Fe^3+^W^6+^_9_O_34_
Ge
GeS_4_
H_2_AsO_4_
H_2_PO_4_
H_2_PV^5+^_12_O_40_(V^5+^O)_2_
H_2_V^4+^V^5+^_9_O_28_
H_2_V^5+^_10_O_28_
H_4_O_4_
HAsO_3_
HAsO_4_
HBO_3_
HCO_3_
HCOO^-^
HP_2_O_5_
HPO_4_
HSO_4_
HTeO_3_
HWO_4_
I
I^3+^O_2_
IO_3_
MoO_4_
MoO_6_
N
N_2_O
N_3_C_2_H_2_
Nb^5+^_12_O_42_
Nb^5+^_6_O_19_
NbO_4_
NH_3_
NO_3_
O
OH
P
P_2_O_7_
P_3_O_10_
PO_4_
PO_4_ 
S
S_2_
S_2_O_3_
S_3_
S_5_
S^2-^CN^3-^
Sb
Sb_2_
Sb_2_O_3_
Sb_2_O_4_
Sb_2_S_7_
Sb_2_Se_7_
Sb^5+^(OH)_6_
Sb^5+^O_6_
SbO_3_
SbO_4_
SbS
SbS_3_
SbS_4_
SbSe
SbSe_3_
SbSe_4_
SbTe
Se
Se_2_
SeO_3_
SeO_4_
SH
Si
SiB_2_O_4_(OH)_4_
SiF_6_
SiO_4_
SnS_4_
SO_2_
SO_3_
SO_3_F
SO_3_OH
SO_4_
TaO_4_
Te
Te_2_
Te_3_O_8_
Te^4+^_2_O_5_
Te^4+^_3_Te^6+^O_12_
Te^O_6_
TeO_3_
TeO_4_
TeO_4_(OH)_2_
TeO_6_
TeO(OH)_2_
TeS_3_
TiV_9_O_28_
V_10_O_28_
V_2_O_7_
V^4+^_2_V^5+^_6_O_37_
V^4+^_2_V^5+^_8_O_28_
V^4+^_3_O_7_
V^4+^_4_O_9_
"V^4+^_4_P_2_(O,OH)_16_"
V^4+^_5_V^5+^_2_O_16_
V^5+^_10_O_38_
V^5+^_3_O_9_
V^5+^_6_O_16_
V^5+^_9_V^4+^O_28_
VO_3_
VO_3_(OH
VO_4_
VO_5_
WO_4_
О
