Mineral_Name,cations_theoretical
Carlsbergite,Cr
Osbornite,Ti
Uakitite,V
Unnamed (Gallium Nitride),Ga
Qingsongite,B
UM2007-16-N:Ti,Ti
Nickelphosphide,Ni;Fe
Schreibersite,Fe;Ni;Cr
Barringerite,Fe;Ni
Monipite,Mo;Ni
Transjordanite,Ni
Allabogdanite,Fe;Ni
Andreyivanovite,Cr;Fe
Florenskyite,Ti;Fe
Melliniite,Ni;Fe
Halamishite,Ni
Murashkoite,Fe
Nazarovite,Ni
Negevite,Ni
Nickolayite,Fe;Mo
Polekhovskyite,Ni;Mo
Tsikourasite,Ni;Mo
IMA No. 2019-039,Ni
Zuktamrurite,Fe
Badengzhuite,Ti
Grammatikopoulosite,Ni;V
Marathonite,Pd
Palladogermanide,Pd
Jingsuiite,Pd
Antimony,Sb
Arsenic,As
Bismuth,Bi
Stibarsen,As;Sb
Antimonian Bismuth,Bi;Sb
Bismuthian Antimony,Sb;Bi
Bismuthian Stibarsen,As;Sb;Bi
Arsenolamprite,As
Pararsenolamprite,As;Sb
Paradocrasite,As;Sb
Phosphorus,P
Graphite,C
Uraniferous Graphite,C;U
Chaoite,C
Fullerite,C
Diamond,C
Lonsdaleite,C
Silicon,Si
Rosickýite,S
Sulphur,S
Sulphur-β,S
Arsensulfurite,S;As
Selenian Sulphur,S;Se
Selenium,Se
Tellurium,Te
Selen-tellurium,Te;Se
Moissanite,Si
Nierite,Si
Sinoite,Si
Formicaite,Ca
Dashkovaite,Mg
Acetamide,
Calclacite,Ca
Paceite,Ca;Cu^2+^
Hoganite,Cu^2+^
Lazaraskeite,Cu^2+^
Marchettiite,
Humboldtine,Fe^2+^
Lindbergite,Mn^2+^
Unnamed (Zn-analogue of Humboldtine),Zn
Glushinskite,Mg
Moolooite,Cu^2+^
Stepanovite,Fe^3+^;Mg;Na
Minguzzite,Fe^3+^;K
Wheatleyite,Cu^2+^;Na
Zhemchuzhnikovite,Al;Mg;Na
Weddellite,Ca
Whewellite,Ca
Caoxite,Ca
Oxammite,NH_4_
Natroxalate,Na
Coskrenite-(Ce),Ce^3+^;Nd;La
Levinsonite-(Y),Y;Nd;La;Al
Zugshunstite-(Ce),Ce^3+^;Nd;La;Al
Novgorodovaite,Ca
Antipinite,K;Na;Cu^2+^
Deveroite-(Ce),Ce^3+^
Fiemmeite,Cu^2+^
Middlebackite,Cu^2+^
Metauroxite,UO_2_
Uroxite,UO_2_
Falottaite,Mn^2+^
Phoxite,NH_4_;Mg
Mellite,Al
Earlandite,Ca
Pigotite,Al
Julienite,Co^2+^;Na
Kafehydrocyanite,Fe^2+^;K
Fichtelite,
Hartite,
Dinite,
Idrialite,
Kratochvílite,
Carpathite,
Phylloretine,
Ravatite,
Simonellite,
Evenkite,
Wampenite,
Scharizerite,
Freitalite,
Refikite,
Flagstaffite,
Hoelite,
Abelsonite,Ni^2+^
Kladnoite,
Guanine,
Tinnunculite (of Chesnokov & Shcherbakova),
Urea,
Uricite,
Chanabayaite,Cu^2+^;NH_3_
Triazolite,Na;Cu^2+^;NH_3_
Ernstburkeite,Mg
Joanneumite,Cu^2+^
Tinnunculite,
Dopplerite,
Jeromite,
Domeykite-β,Cu;As
Algodonite,Cu;As
Argentoalgodonite,Cu;Ag;As
Domeykite,Cu;As
Argentodomeykite,Cu;Ag;As
Koutekite,As;Cu
Novákite,Cu;Ag;As
Cuprostibite,Sb;Tl;Cu
Kutinaite,Ag;As;Cu
Allargentum,Ag;Sb
Dyscrasite,Sb;Ag
Maldonite,Au;Bi
Stistaite,Sb;Sn
Zaccariniite,Rh;Ni;As
Dienerite,Ni;As
Orileyite,Fe;Cu;As
Orcelite,As;Ni
Maucherite,As;Ni
Atheneite,As;Hg;Pd
Vincentite,As;Pd
Stillwaterite,As;Pd
Mertieite-II,Sb;As;Pd
Arsenopalladinite,As;Sb;Pd
Isomertieite,As;Pd;Sb
Miessiite,Pd;Te;Se
Törnroosite,As;Pd;Te
Fengluanite,As;Pd;Sb
Mertieite-I,Sb;As;Pd
Stibiopalladinite,Pd;Sb
Palarstanide,Sn;As;Pd
Menshikovite,As;Ni;Pd
Palladoarsenide,As;Pd
Rhodarsenide,Rh;Pd;As
Palladodymite,Pd;Rh;As
Naldrettite,Pd;Sb
Majakite,As;Ni;Pd
Palladobismutharsenide,As;Bi;Pd
Polkanovite,As;Rh
UM1999-02-As:NiRh,Rh;Ni;As
Genkinite,Pt;Pd;Rh;Sb
Ungavaite,Pd;Sb
Polarite,Bi;Pb;Pd
Froodite,Pd;Bi
Iridarsenite,Ir;Ru;As
Borishanskiite,As;Pb;Pd
Nipalarsite,Ni;Pd;As
Viteite,Pd;In;As
Chalcocite,Cu
Djurleite,Cu
Geerite,Cu
Roxbyite,Cu
Argentiferous Chalcocite,Cu;Ag
Anilite,Cu
Digenite,Cu
Bornite,Cu;Fe
Argentiferous Bornite,Cu;Ag;Fe
Bellidoite,Cu
Berzelianite,Cu
Athabascaite,Cu
Umangite,Cu
Rickardite,Cu
Weissite,Cu
Acanthite,Ag
Zincian Acanthite,Ag;Zn
Mckinstryite,Ag;Cu
Stromeyerite,Ag;Cu
UM2003-13-S:AgAuCu,Ag;Au;Cu
Jalpaite,Ag;Cu
Selenojalpaite,Ag;Cu
Eucairite,Cu;Ag
Aguilarite,Ag
Naumannite,Ag
Cervelleite,Ag
Chenguodaite,Ag;Fe
Hessite,Ag
Henryite,Cu;Ag
Stützite,Ag
Alburnite,Ag;Ge
Argyrodite,Ag;Ge
Canfieldite,Ag;Sn
Putzite,Cu;Ag;Ge
Spryite,Ag;As
Tellurian Canfieldite,Ag;Sn;Ge
Tellurocanfieldite,Ag;Sn
Fischesserite,Au;Ag
Penzhinite,Ag;Cu;Au
Petrovskaite,Ag;Au
Petzite,Ag;Au
Uytenbogaardtite,Ag;Au
Bezsmertnovite,Au;Ag;Cu;Pb
Bilibinskite,Au;Cu;Pb
Bogdanovite,Cu;Fe;Au;Pb
Honeaite,Au;Tl
Kurilite,Ag
Spiridonovite,Cu;Ag
Wuyanzhiite,Cu
Argentite,Ag
Dzierżanowskite,Cu;Ca
Bayankhanite,Cu;Hg
Heazlewoodite,Ni
Oregonite,Fe;Ni
Vozhminite,Ni;Co;As;Sb
UM2007-30-S:Fe,Fe
Arsenohauchecornite,Ni;Bi;As
Bismutohauchecornite,Ni;Bi
Hauchecornite,Ni;Bi;Sb
Tellurohauchecornite,Bi;Ni;Te
Tučekite,Ni;Sb
Arsenotučekite,Ni;Sb; As
Argentopentlandite,Fe;Ni;Ag
Cobaltpentlandite,Co;Ni;Fe
Ferhodsite,Fe;Rh;Ni;Ir;Cu;Pt
Geffroyite,Cu;Fe;Ag
Godlevskite,Ni;Fe
Kharaelakhite,Cu;Pt;Pb;Fe;Ni
Oberthürite,Rh;Ni
Pentlandite,Ni;Fe
Shadlunite,Fe;Cu;Pb;Cd
Sugakiite,Fe;Ni;Cu
UM2002-26-S:FeNi,Ni;Fe
Manganoshadlunite,Mn;Pb;Cd;Cu;Fe
Argentian Pentlandite,Ni;Fe;Ag
Horomanite,Ni;Fe
Samaniite,Cu;Fe;Ni
UM2007-27-S:CuFeIrNiRh,Ni;Fe;Cu;Rh;Ir
Miassite,Rh
Palladseite,Pd
UM2000-47-S:CuFePdPt,Cu;Fe;Pd;Pt;Rh
Oosterboschite,Pd;Cu
Chrisstanleyite,Pd;Ag
Jagüéite,Cu;Pd
Keithconnite,Pd
Plumbian Keithconnite,Pd;Pb
Vasilite,Pd;Cu
Telluropalladinite,Pd
Luberoite,Pt
Oulankaite,Cu;Fe;Pd;Pt;Sn
Argentian Oulankaite,Cu;Fe;Ag;Pd;Pt;Sn
Telargpalite,Pd;Ag
Temagamite,Hg;Pd
Sopcheite,Ag;Pd
Laflammeite,Pb;Pd
Tischendorfite,Hg;Pd
Kojonenite,Pd;Sn
Kravtsovite,Pd;Ag
Lukkulaisvaaraite,Pd;Ag
Monchetundraite,Pd;Ni
Thalhammerite,Pd;Ag;Bi
Vymazalováite,Pd;Bi
Coldwellite,Pd;Ag
UM2004-45-Se:AgHgPd,Ag;Cu;Hg;Pd
Bowlesite,Pt;Sn
Fleetite,Cu;Rh;Ir
Imiterite,Ag;Hg
Gortdrumite,Hg;Fe;Cu
Balkanite,Ag;Cu;Hg
Danielsite,Cu;Ag;Hg
Donharrisite,Ni;Hg
Carlinite,Tl
Bukovite,Cu;Fe;Tl
Murunskite,Cu;Fe;K
Thalcusite,Cu;Fe;Tl
Thallian Murunskite,Cu;Fe;K;Tl
Rohaite,Tl;Pb;K;Cu;Sb
Chalcothallite,Cu;Fe;Ag;Tl;K;Sb
Sabatierite,Cu;Tl
Crookesite,Tl;Ag;Cu
Brodtkorbite,Cu;Hg
UM2004-33-S:AgCuHgSe,Ag;Cu;Hg
Betekhtinite,Cu;Fe;Pb
Furutobeite,Cu;Ag;Pb
Rhodplumsite,Pb;Rh
Shandite,Ni;Pb
