Mineral_Name,cations_theoretical
Lime-Malachite,Cu^2+^;Ca
Nickeloan Rosasite,Cu^2+^;Zn;Ni^2+^
Zincian Malachite,Cu^2+^;Zn
Aurichalcite,Zn;Cu^2+^
Hydrozincite,Zn
Holdawayite,Mn^2+^
Defernite,Ca
UM1977-03-COSiO:CaClH,Ca
Loseyite,Mn^2+^;Zn;Mg
Sclarite,Zn;Mg;Mn^2+^
Barentsite,Al;Na
Dawsonite,Na;Al
Chromian Dawsonite,Na;Al;Cr^3+^
Tunisite,Al;Ca;Na
Sabinaite,Na;Ti^4+^;Zr
Brenkite,Ca
Rouvilleite,Na;Ca;Mn^2+^
Podlesnoite,Ba;Ca
Cordylite-(Ce),Na;Ca;[box];Ce^3+^;Ba
Cordylite-(La),Na;Ca;Ce^3+^;La;Sr;Ba
Lukechangite-(Ce),Ce^3+^;Na
Unnamed (Cordylite-like (Ca0.5[]0.5)BaCe2[CO3]4F),Ca;[box];Ba;Ce^3+^
Kukharenkoite-(Ce),Ba;Ce^3+^
Kukharenkoite-(La),Ba;La
Zhonghuacerite-(Ce),Ba;Ce^3+^
Cebaite-(Ce),Ba;Ce^3+^
Cebaite-(Nd),Ba;Nd;Ce^3+^
Arisite-(Ce),Ce^3+^;Na
Arisite-(La),La;Na
Bastnäsite-(Ce),Ce^3+^
Bastnäsite-(La),La
Bastnäsite-(Nd),Nd
Bastnäsite-(Y),Y
Hydroxylbastnäsite-(Ce),Ce^3+^
Hydroxylbastnäsite-(Nd),Nd
Thorbastnäsite,Ca;Th^4+^
Hydroxylbastnäsite-(La),La;Nd;Ce^3+^
Parisite-(Ce),Ca;Ce^3+^
Parisite-(La),Ca;La
Parisite-(Nd),Ca;Nd;Ce^3+^;La
Synchysite-(Ce),Ca;Ce^3+^
Synchysite-(Nd),Ca;Nd
Synchysite-(Y),Ca;Y
Hydroxylsynchysite-(Ce),Ca;Ce^3+^;La
Synchysite-(La),Ca;La;Nd
Röntgenite-(Ce),Ce^3+^;La;Ca
Horváthite-(Y),Y;Na
Qaqarssukite-(Ce),Ce^3+^;Ba
Huanghoite-(Ce),Ce^3+^;Ba
Shannonite,Pb^2+^
Hydrocerussite,Pb^2+^
Plumbonacrite,Pb^2+^
Phosgenite,Pb^2+^
Bismutite,Bi
Hydrobismutite,Bi
Kettnerite,Bi;Ca
Beyerite,Bi;Ca
Grootfonteinite,Pb^2+^
Somersetite,Pb^2+^
Abellaite,Na;Pb^2+^
Ferrotychite,Fe^2+^;Mn^2+^;Mg;Na
Manganotychite,Mn^2+^;Na
Northupite,Mg;Na
Tychite,Mg;Na
Bonshtedtite,Fe^2+^;Na
Bradleyite,Mg;Na
Crawfordite,Sr;Na
Sidorenkite,Mn^2+^;Na
Daqingshanite-(Ce),Sr;Ca;Ba;Ce^3+^;La
Reederite-(Y),Na;Mn^2+^;Y
Mineevite-(Y),Y;Gd;Dy;Ba;Na
Brianyoungite,Zn
Philolithite,Mg;Mn^2+^;Pb^2+^
Leadhillite,Pb^2+^
Macphersonite,Pb^2+^
Susannite,Pb^2+^
Peatite-(Y),Li;Na;Y
Ramikite-(Y),Li;Na;Ca;Y;Zr
Nesquehonite,Mg
Lansfordite,Mg
Barringtonite,Mg
Hellyerite,Ni^2+^
Thermonatrite,Na
Natron,Na
Trona,Na
Monohydrocalcite,Ca
Ikaite,Ca
Pirssonite,Ca;Na
Gaylussite,Na;Ca
Chalconatronite,Cu^2+^;Na
Baylissite,K;Mg
Tuliokite,Ba;Na;Th^4+^
Donnayite-(Y),Sr;Na;Ca;Y
Ewaldite,Na;Ca;Y;Ce^3+^;K;Ba
Mckelveyite-(Y),Ba;Ca;Na;Y
Weloganite,Na;Sr;Zr
UM1992-05-CO:CaCeLaNaSr,Sr;Na;Y;REE;Ca;Ba
Unnamed (MSH UK-37A),Sr;Na;Ca;Y
Mckelveyite-(Nd),Ba;Sr;Nd;Ce^3+^;La
Tengerite-(Y),Y
Hizenite-(Y),Ca;Y
Kimuraite-(Y),Y;Nd;Ca
Lokkaite-(Y),Y;Gd;Nd;Dy;Ca
Shomiokite-(Y),Na;Y
Calkinsite-(Ce),Ce^3+^;La
Lanthanite-(Ce),Ce^3+^;La;Nd
Lanthanite-(La),La;Ce^3+^
Lanthanite-(Nd),Nd;La
Adamsite-(Y),Na;Y
Decrespignyite-(Y),Cu^2+^;Y
Galgenbergite-(Ce),Ce^3+^;La;Nd;Ca
Lecoqite-(Y),Na;Y
Dypingite,Mg
Giorgiosite,Mg
Hydromagnesite,Mg
Widgiemoolthalite,Ni^2+^
UM1986-10-CO:ClHMgMnZn,Mg;Zn;Mn^2+^
UM1987-01-CO:HMgS,Mg
Artinite,Mg
Chlorartinite,Mg
Indigirite,Al;Mg
Otwayite,Ni^2+^
Zaratite,Ni^2+^
Kambaldaite,Na;Ni^2+^
Callaghanite,Cu^2+^;Mg
Claraite,Cu^2+^;Zn
Hydroscarbroite,Al
Scarbroite,Al
Caresite,Al;Fe^2+^
Charmarite,Al;Mn^2+^
Karchevskyite,Al;Mg;H_3_O
Quintinite,Al;Mg
UM1987-05-OH:AlCMg,Al;Mg
Brugnatellite,Mg;Fe^3+^
Liudongshengite,Cr^3+^;Zn
Zaccagnaite,Al;Zn
Comblainite,Ni^2+^;Co^3+^
Desautelsite,Mn^3+^;Mg
Hydrotalcite,Mg;Al
Pyroaurite,Fe^3+^;Mg
Reevesite,Fe^3+^;Ni^2+^
Stichtite,Cr^3+^;Mg
Takovite,Al;Ni^2+^
UM1998-10-CO:CoHNi,Co^2+^;Fe^3+^
Bouazzerite (of Cailleres),Cr^3+^;Mg;Fe^2+^
Chrome-Pyroaurite,Fe^3+^;Cr^3+^;Mg
Akopovaite,Al;Li
Coalingite,Fe^3+^;Mg
Šlikite,Zn;Mg
Marklite,Cu^2+^
Alexkhomyakovite,K;Ca;Na
Alumohydrocalcite,Al;Ca
Nasledovite,Pb^2+^;Mn^2+^;Al
Para-alumohydrocalcite,Al;Ca
UM1977-02-CO:AlCaH,Ca;Al
Grguricite,Cr^3+^;Ca
Chromian Alumohydrocalcite,Al;Cr^3+^;Ca
Knipovichite,Al;Cr^3+^;Ca
Dresserite,Ba;Al
Dundasite,Pb^2+^;Al
Kochsándorite,Al;Ca
Montroyalite,Al;Sr
Petterdite,Cr^3+^;Pb^2+^
Strontiodresserite,Al;Sr
Unnamed (Ca-analogue of Petterdite),Cr^3+^;Ca
Hydrodresserite,Ba;Al
Schuilingite-(Nd),Nd;Gd;Sm;Y;Cu^2+^;Pb^2+^
Sergeevite,Ca;Mg
Szymańskiite,H_3_O;Ni^2+^;Mg;Hg^1+^
Lusernaite-(Y),Y;Al
Putnisite,Sr;Ca;Cr^3+^
Ancylite-(Ce),Ce^3+^;Sr
Ancylite-(La),La;Sr
Calcioancylite-(Ce),Ce^3+^;Ca;Sr
Calcioancylite-(Nd),Nd;La;Ce^3+^;Ca
Gysinite-(Nd),Pb^2+^;Nd
Kozoite-(La),La;Nd
Kozoite-(Nd),Nd;La;Sm;Pr
Unnamed (Ce-analogue of Kozoite-(La) and -(Nd)),La;Ce^3+^
Unnamed (La-analogue of Calcioancylite-(Ce)),Ce^3+^;La;Nd;Ca;Sr
Kamphaugite-(Y),Ca;Y
Sheldrickite,Ca;Na
Thomasclarkite-(Y),Na;Y
Peterbaylissite,Hg^1+^
Clearcreekite,Hg^1+^
Niveolanite,Be;Na
UM1997-24-CO:CaCuHU,Ca;Cu^2+^;UO_2_
Urancalcarite,UO_2_;Ca
Wyartite,UO_2_;Ca;U^5+^
Oswaldpeetersite,UO_2_
Roubaultite,UO_2_;Cu^2+^
Kamotoite-(Y),UO_2_;Y
Sharpite,Ca;UO_2_
Rutherfordine,UO_2_
Blatonite,UO_2_
Joliotite,UO_2_
Bijvoetite-(Y),UO_2_;Y
Fontanite,UO_2_;Ca
Metazellerite,Ca;UO_2_
Zellerite,UO_2_;Ca
Ewingite,UO_2_;Ca;Mg
Meyrowitzite,UO_2_;Ca
Bayleyite,UO_2_;Mg
Swartzite,Ca;Mg;UO_2_
Albrechtschraufite,UO_2_;Ca;Mg
Liebigite,Ca;UO_2_
Rabbittite,Ca;Mg;UO_2_
Andersonite,UO_2_;Ca;Na
Grimselite,UO_2_;Na;K
Widenmannite,Pb^2+^;UO_2_
Znucalite,UO_2_;Ca;Zn
Agricolaite,UO_2_;K
Čejkaite,Na;UO_2_
Braunerite,K;Ca;UO_2_
Línekite,K;Ca;UO_2_
Leószilárdite,Na;Mg;UO_2_
Markeyite,Ca;UO_2_
Natromarkeyite,Ca;UO_2_;Na
Pseudomarkeyite,Ca;UO_2_
Paddlewheelite,Mg;Ca;Cu^2+^;UO_2_
Voglite,UO_2_;Ca;Cu^2+^
Shabaite-(Nd),Nd;Sm;Y;Ca;UO_2_
Astrocyanite-(Ce),Ce^3+^;Nd;La;UO_2_;Cu^2+^
Schröckingerite,Ca;Na;UO_2_
UM1997-27-CO:CaHKSU,K;Ca;UO_2_
Lepersonnite-(Gd),Gd;Dy;Ca;UO_2_
Ježekite,Na;UO_2_
Nitratine,Na
Niter,K
Gwihabaite,NH_4_;K
Nitrobarite,Ba
Shilovite,Cu^2+^;NH_3_
Gerhardtite,Cu^2+^
Rouaite,Cu^2+^
Nitromagnesite,Mg
Nitrocalcite,Ca
Likasite,Cu^2+^
Mbobomkulite,Ni^2+^;Cu^2+^;Al
Hydrombobomkulite,Ni^2+^;Cu^2+^;Al
Sveite,Al;K
Lislkirchnerite,Pb^2+^;Al
Sassolite,B
Nordenskiöldine,Ca;Sn^4+^
Tusionite,Mn^2+^;Sn^4+^
Jimboite,Mn^2+^;Mg
Kotoite,Mg
Takedaite,Ca
Hambergite,Be
Berborite,Be
Jeremejevite,Al
Warwickite,Mg;Ti^4+^;Fe^3+^;Cr^3+^;Al
Yuanfuliite,Fe^3+^;Al;Mg
Karlite,Mg;Al
Azoproite,Ti^4+^;Mg;Fe^2+^;Fe^3+^
Bonaccordite,Fe^3+^;Ni^2+^
Fredrikssonite,Mn^3+^;Fe^3+^;Mg
Ludwigite,Fe^3+^;Mg
Marinaite,Fe^3+^;Cu^2+^
Vonsenite,Fe^2+^;Fe^3+^
Alumoludwigite,Fe^3+^;Al;Mg
Stanniferous Ludwigite,Mg;Fe^2+^;Mn^2+^;Fe^3+^;Sn^4+^
Folvikite,Sb^5+^;Mn^3+^;Mg;Mn^2+^
Pinakiolite,Mg;Mn^2+^;Mn^3+^;Sb^5+^
Blatterite,Mn^2+^;Mg;Mn^3+^;Fe^3+^;Sb^5+^
Chestermanite,Fe^3+^;Mg;Al;Sb^5+^
Orthopinakiolite,Mg;Mn^2+^;Mn^3+^
Takéuchiite,Mg;Mn^2+^;Mn^3+^;Fe^3+^
Aluminomagnesiohulsite,Al;Mg;Sn^4+^;Fe^2+^
Hulsite,Fe^2+^;Mg;Fe^3+^;Sn^4+^
Magnesiohulsite,Fe^3+^;Sn^4+^;Mg;Fe^2+^
Fluoborite,Mg
Hydroxylborite,Mg
Shabynite,Mg
Wightmanite,Mg
Gaudefroyite,Mn^3+^;Ca
Sakhaite,Ca;Mg
Harkerite,Mg;Ca;Al
Pertsevite-(F),Mg
Pertsevite-(OH),Mg
Jacquesdietrichite,Cu^2+^
Painite,Al;Ca;Zr
Rhabdoborite-(V),Mg;V^5+^;Mo^6+^;W^6+^
Rhabdoborite-(W),Mg;V^5+^;W^6+^
Rhabdoborite-(Mo),Mg;Mo^6+^
Mengxianminite,Ca;Na;Sn^4+^;Mg;Fe^2+^;Al;Be
Sinhalite,Al;Mg
Pseudosinhalite,Al;Mg
Béhierite,Ta;Nb^5+^
Schiavinatoite,Nb^5+^;Ta
Frolovite,Ca
Hexahydroborite,Ca
Henmilite,Cu^2+^;Ca
Bandylite,Cu^2+^
Teepleite,Na
Moydite-(Y),Y
Carboborite,Ca;Mg
Sulfoborite,Mg
Lüneburgite,Mg
Seamanite,Mn^2+^
Cahnite,Ca
Krasnoshteinite,Al
Suanite,Mg
Clinokurchatovite,Mg;Fe^2+^;Mn^2+^;Ca
Kurchatovite,Mg;Mn^2+^;Ca
Sussexite,Mn^2+^
Szaibélyite,Mg
Hydroascharite,Mg
Wiserite,Si;Mg;Mn^2+^
Pinnoite,Mg
Pentahydroborite,Ca
Calciborite,Ca
Vimsite,Ca
Parasibirskite,Ca
Sibirskite,Ca
Shimazakiite,Ca
Santarosaite,Cu^2+^
Ameghinite,Na
Inderite,Mg
Kurnakovite,Mg
Inderborite,Ca;Mg
Meyerhofferite,Ca
Inyoite,Ca
Solongoite,Ca
Peprossiite-(Ce),Ce^3+^;La;Al
Nifontovite,Ca
Olshanskyite,Ca
Colemanite,Ca
Hydroboracite,Mg;Ca
Howlite,Ca
Jarandolite,Ca
Johachidolite,Al;Ca
Alfredstelznerite,Ca
Borax,Na
Tincalconite,Na
Hungchaoite,Mg
Fedorovskite,Mg;Ca
Roweite,Ca;Mn^2+^
Hydrochlorborite,Ca
Uralborite,Ca
Borcarite,Ca;Mg
Numanoite,Ca;Cu^2+^
Fontarnauite,Na;K;Sr;Ca
Kernite,Na
Leucostaurite,Pb^2+^
Sborgite,Na
Ramanite-(Cs),Cs
Ramanite-(Rb),Rb
Santite,K
Ammonioborite,NH_4_
Ulexite,Ca;Na
Larderellite,NH_4_
Yarzhemskiite,K
Ezcurrite,Na
Probertite,Ca;Na
Tertschite,Ca
Priceite,Ca
Biringuccite,Na
Nasinite,Na
Gowerite,Ca
Veatchite,Sr
Volkovskite,Ca;K
Tuzlaite,Ca;Na
Heidornite,Na;Ca
Brianroulstonite,Ca
Popugaevaite,Ca
Hilgardite,Ca
Kurgantaite,Ca;Sr
Tyretskite,Ca
Strontiohilgardite,Ca;Sr
Strontiohilgardite-1Tc,Ca;Sr
Aksaite,Mg
Mcallisterite,Mg
Admontite,Mg
Rivadavite,Mg;Na
Teruggite,Ca;Mg
Aristarainite,Mg;Na
Kaliborite,K;Mg
Nobleite,Ca
Tunellite,Sr
Strontioborite,Sr
Ginorite,Ca
Strontioginorite,Ca;Sr
Fabianite,Ca
Boracite,Mg
Chambersite,Mn^2+^
Ericaite,Fe^2+^
Ferroan Boracite,Mg;Fe^2+^
Bromboracit,Mg
Congolite,Fe^2+^;Mg
Trembathite,Mg;Fe^2+^
Korzhinskite,Ca
Studenitsite,Ca;Na
Penobsquisite,Ca;Fe^2+^
Preobrazhenskite,Mg
Walkerite,Mg;Li;Ca
Londonite,Cs;K;Rb;Al;Be
Rhodizite,K;Cs;Al;Be
Pringleite,Ca
Ruitenbergite,Ca
Clinometaborite,B
Metaborite,B
Chelkarite,Ca;Mg
Satimolite,Al;K;Na;Mg
Iquiqueite,K;Mg;Na
Wardsmithite,Ca;Mg
Halurgite,Mg
Vitimite,Ca
Chubarovite,K;Zn
Balavinskite,Sr
Braitschite-(Ce),Ca;Na;REE
Ekaterinite,Ca
Canavesite,Mg
Qilianshanite,Na
Koryakite,Na;K;Mg;Al
Mikasaite,Fe^3+^
Millosevichite,Al;Fe^3+^
Chalcocyanite,Cu^2+^
Zinkosite,Zn
Hermannjahnite,Cu^2+^;Zn
Andymcdonaldite,Fe^3+^
Ottoite,Pb^2+^
Zincomenite,Zn
Dravertite,Cu^2+^;Mg
Perkovaite,Ca;Mg
Vanthoffite,Mg;Na
Pyracmonite,NH_4_;Fe^3+^
Efremovite,NH_4_;Mg
Ferroefremovite,NH_4_;Fe^2+^
Langbeinite,K;Mg
Manganolangbeinite,K;Mn^2+^
Eldfellite,Fe^3+^;Na
Yavapaiite,Fe^3+^;K
Godovikovite,NH_4_;Al
Sabieite,Fe^3+^;NH_4_
Steklite,K;Al
Thénardite,Na
Metathénardite,Na
Aphthitalite,K;Na
Belomarinaite,K;Na
Möhnite,NH_4_;K;Na
Natroaphthitalite,Na;K
Ammonium-Aphthitalite,K;Na;NH_4_
Cuprian Manganoan Aphthitalite,K;Na;Cu^2+^;Mg
Itelmenite,Na;Mg;Cu^2+^
Saranchinaite,Na;Cu^2+^
Majzlanite,K;Na;Zn;Ca
Markhininite,Tl^1+^;Bi
Philoxenite,K;Na;Pb^2+^;Ca;Mg;Cu^2+^;Fe^3+^;Al
Acmonidesite,NH_4_;K;Pb^2+^;Na;Fe^2+^
Aluminopyracmonite,NH_4_;Al
Petrovite,Na;Cu^2+^
Arcanite,K
Mascagnite,NH_4_
Taylorite (of Dana),K;NH_4_
Mercallite,K;H
Misenite,K; H
Letovicite,NH_4_;H
Glauberite,Na;Ca
Anhydrite,Ca
Anglesite,Pb^2+^
Baryte,Ba
Celestine,Sr
Olsacherite,Pb^2+^
Angleso-barite,Ba;Pb^2+^
Argentiferous Anglesite,Pb^2+^;Ag
Barian Celestine,Sr;Ba
Barytoanglesite,Pb^2+^;Ba
Barytosulfate of Strontian,Sr;Ba
Ca- and Sr-rich Baryte,Ba;Ca;Sr
Calcareobarite,Ba;Ca
Calciocelestine,Sr;Ca
Celestobarite (of Dana),Ba;Sr
Cuprian Anglesite,Pb^2+^;Cu^2+^
Hokutolite,Ba;Pb^2+^
Radian Barite,Ba;Ra
Strontian Baryte,Ba;Sr
Kalistrontite,K;Sr
Palmierite,K;Na;Pb^2+^
Ivsite,Na;H
Bubnovaite,Ca;K;Na
Calciolangbeinite,K;Ca
Dobrovolskyite,Ca;Na
Caminite,Mg
Hauckite,Mg;Mn^2+^;Zn;Fe^3+^
Antlerite,Cu^2+^
Dolerophanite,Cu^2+^
Brochantite,Cu^2+^
Ramaccioniite,Cu^2+^
Cupromolybdite,Cu^2+^
Vergasovaite,Cu^2+^
Klebelsbergite,Sb^3+^
Tavagnascoite,Bi
Schuetteite,Hg^2+^
Paraotwayite,Ni^2+^
Cesbronite,Cu^2+^
Xocomecatlite,Cu^2+^
Pauflerite,V^4+^O
Grandviewite,Cu^2+^;Al
Agaite,Pb^2+^;Cu^2+^
Timroseite,Pb^2+^;Cu^2+^
Glikinite,Zn
Leguernite,Bi
Mojaveite,Cu^2+^
Paratimroseite,Pb^2+^;Cu^2+^
D'ansite,Na;Mg
D'ansite-(Fe),Na;Fe^2+^
D'ansite-(Mn),Na;Mn^2+^
Alunite,Al;K
Ammonioalunite,Al;NH_4_
Ammoniojarosite,Fe^3+^;NH_4_
Argentojarosite,Ag;Fe^3+^
Beaverite-(Cu),Cu^2+^;Fe^3+^;Pb^2+^
Beaverite-(Zn),Fe^3+^;Pb^2+^;Zn
Dorallcharite,Fe^3+^;Tl^1+^
Huangite,Ca;Al
Hydroniumjarosite,H_3_O;Fe^3+^
Jarosite,Fe^3+^;K
Natroalunite,Al;Na
Natrojarosite,Fe^3+^;Na
Osarizawaite,Al;Cu^2+^;Pb^2+^
Plumbojarosite,Fe^3+^;Pb^2+^
Schlossmacherite,H_3_O;Al
Walthierite,Al;Ba
Unnamed (Ba-Fe Vanadate),
Apatelite,Fe^3+^
Calcium-Jarosite,Fe^3+^;Ca
Kolosorukite,Fe^3+^;K
Strontian Natroalunite,Al;Na;Sr
Ye'elimite,Al;Ca
Adranosite,NH_4_;Al;Na
Adranosite-(Fe),NH_4_;Fe^3+^;Na
Atlasovite,Bi;Cu^2+^;Fe^3+^;K
Nabokoite,Cu^2+^;K
Chlorothionite,Cu^2+^;K
Euchlorine,Cu^2+^;Na;K
Fedotovite,Cu^2+^;K
Puninite,Cu^2+^;Na
Kamchatkite,Cu^2+^;K
Piypite,Na;Cu^1+^;Cu^2+^;K
Alumoklyuchevskite,Al;Fe^3+^;Cu^2+^;K
Klyuchevskite,Fe^3+^;Al;Cu^2+^;K
Caledonite,Cu^2+^;Pb^2+^
Wherryite,Cu^2+^;Pb^2+^
Mammothite,Al;Cu^2+^;Pb^2+^;Sb^5+^
Linarite,Cu^2+^;Pb^2+^
Munakataite,Cu^2+^;Pb^2+^
Schmiederite,Cu^2+^;Pb^2+^
Chenite,Cu^2+^;Pb^2+^
Krivovichevite,Al;Pb^2+^
Anhydrokainite,K;Mg
Belousovite,K;Zn
Backite,Pb^2+^;Al
Müllerite,Pb^2+^;Fe^3+^
Elasmochloite,Na;Cu^2+^;Bi
Eleomelanite,K;Pb^2+^;Cu^2+^
Falgarite,K;V^4+^O
Krasheninnikovite,K;Na;Ca;Mg
Parawulffite,K;Na;Cu^2+^
Wulffite,K;Na;Cu^2+^
Shuvalovite,K;Ca;Na
Saccoite,Ca;Mn^3+^
Therasiaite,NH_4_;K;Na;Fe^2+^;Fe^3+^
Hagstromite,Pb;Cu^2+^
Sulphohalite,Na
Galeite,Na
Schairerite,Na
Kogarkoite,Na
Aiolosite,Na;Bi
Caracolite,Na;Pb^2+^
Cesanite,Ca;Na
Burkeite,Na
Hanksite,Na;K
Cannonite,Bi
Lanarkite,Pb^2+^
Chrom-Lanarkite,Pb^2+^
Grandreefite,Pb^2+^
Itoite,Ge;Pb^2+^
Chiluite,Bi
Hectorfloresite,Na
Pseudograndreefite,Pb^2+^
Sundiusite,Pb^2+^
Balićžunićite,Bi
Adanite,Pb
Texasite (of Crook),Pr
Natrosulfatourea,Na
Alfredopetrovite,Al
Cobaltkieserite,Co^2+^
Dwornikite,Ni^2+^;Fe^2+^
Gunningite,Zn
Kieserite,Mg
Poitevinite,Cu^2+^;Fe^2+^;Zn
Szmikite,Mn^2+^
Szomolnokite,Fe^2+^
Voudourisite,Cd
Sanderite,Mg
Bonattite,Cu^2+^
Aplowite,Co^2+^;Mn^2+^;Ni^2+^
Boyleite,Zn;Mg
Cranswickite,Mg
Drobecite,Cd
Ilesite,Mn^2+^;Zn;Fe^2+^
Rozenite,Fe^2+^
Starkeyite,Mg
Ferroan Starkeyite,Mg;Fe^2+^
Belogubite,Cu^2+^;Zn
Chalcanthite,Cu^2+^
Jôkokuite,Mn^2+^
Pentahydrite,Mg
Siderotil,Fe^2+^
Kellerite,Mg;Cu^2+^
Phillipite,Cu^2+^;Fe^3+^
Bianchite,Zn;Fe^2+^
Chvaleticeite,Mn^2+^;Mg
Ferrohexahydrite,Fe^2+^
Hexahydrite,Mg
Moorhouseite,Co^2+^;Ni^2+^;Mn^2+^
Nickelhexahydrite,Ni^2+^;Mg;Fe^2+^
Retgersite,Ni^2+^
Alpersite,Mg
Bieberite,Co^2+^
Boothite,Cu^2+^
Mallardite,Mn^2+^
Melanterite,Fe^2+^
Zincmelanterite,Zn;Cu^2+^;Fe^2+^
Cuprian Melanterite,Fe^2+^;Cu^2+^
Cuprokirovite,Fe^2+^;Mg;Cu^2+^
Ferroan Boothite,Cu^2+^;Fe^2+^
Kirovite,Fe^2+^;Mg
Manganoan Melanterite,Fe^2+^;Mn^2+^
Mg-bearing Boothite,Cu^2+^;Mg
Mg-bearing Melanterite,Fe^2+^;Mg
Zincian Melanterite,Fe^2+^;Zn
Epsomite,Mg
Goslarite,Zn
Morenosite,Ni^2+^
Tauriscite,Fe^2+^
Aromite (of Darapsky),Mg;Al
Cobaltoan Epsomite,Mg;Co^2+^
Cuprian Zincian Epsomite,Mg;Cu^2+^;Zn
Cuprogoslarite,Zn;Cu^2+^
Ferro-Goslarite,Zn;Fe^2+^
Ferroan Epsomite,Mg;Fe^2+^
Magnesian Goslarite,Zn;Mg
Magnesian Morenosite,Ni^2+^;Mg
Mangangoslarite,Zn;Mn^2+^
Manganoan Epsomite,Mg;Mn^2+^
Zincian Manganoan Epsomite,Mg;Mn^2+^;Zn
Alunogen,Al
Meta-alunogen,Al
Ferri-hydroxykeramohalite,Al;Fe^3+^
Phosphoralunogen,Al
Aluminocoquimbite,Al;Fe^3+^
Coquimbite,Fe^3+^;Al
Paracoquimbite,Fe^3+^
Rhomboclase,H_3_O;Fe^3+^
Aluminous Coquimbite,Fe^3+^;Al
Kornelite,Fe^3+^
Quenstedtite,Fe^3+^
Lausenite,Fe^3+^
Lishizhenite,Fe^3+^;Zn
Römerite,Fe^2+^;Fe^3+^
Ransomite,Cu^2+^;Fe^3+^
Apjohnite,Al;Mn^2+^
Bílinite,Fe^2+^;Fe^3+^
Dietrichite,Zn;Fe^2+^;Mn^2+^;Al
Halotrichite,Fe^2+^;Al
Pickeringite,Al;Mg
Redingtonite,Fe^2+^;Mg;Ni^2+^;Cr^3+^;Al
Wupatkiite,Co^2+^;Mg;Ni^2+^;Al
Ferropickeringite,Al;Mg;Fe^2+^
Kasparite,Al;Mg;Co^2+^
Manganoan Pickeringite,Al;Mg;Mn^2+^
Masrite,Fe^2+^;Mn^2+^;Co^2+^;Al
Meridianiite,Mg
Lazaridisite,Cd
Pararaisaite,Cu^2+^;Mg
Raisaite,Cu^2+^;Mg
Caichengyunite,Fe^2+^;Al
Krausite,Fe^3+^;K
Tamarugite,Al;Na
Kalinite,Al;K
Mendozite,Al;Na
Alum-(K),Al;K
Alum-(Na),Al;Na
Lanmuchangite,Al;Tl^1+^
Lonecreekite,Fe^3+^;NH_4_
Tschermigite,Al;NH_4_
Ammoniomagnesiovoltaite,NH_4_;Al;Fe^3+^;Mg
Ammoniovoltaite,NH_4_;Al;Fe^2+^;Fe^3+^
Magnesiovoltaite,Al;Mg;Fe^3+^;K
Pertlikite,Fe^2+^;Mg;Fe^3+^;Al;K
Voltaite,Al;Fe^2+^;Fe^3+^;K
Zincovoltaite,Al;Fe^3+^;K;Zn
Kröhnkite,Cu^2+^;Na
Ferrinatrite,Fe^3+^;Na
Goldichite,Fe^3+^;K
Löweite,Mg;Na
Chromlöweite,Mg;Na
Blödite,Mg;Na
Changoite,Na;Zn
Cobaltoblödite,Co^2+^;Na
Manganoblödite,Na;Mn^2+^
Nickelblödite,Ni^2+^;Mg;Na
Natronkalisimonyit,Mg;Na;K
Leonite,K;Mg
Mereiterite,Fe^2+^;K
Boussingaultite,NH_4_;Mg
Cyanochroite,Cu^2+^;K
Katerinopoulosite,NH_4_;Zn
Mohrite,NH_4_;Fe^2+^
Nickelboussingaultite,NH_4_;Ni^2+^
Nickelpicromerite,K;Ni^2+^
Picromerite,K;Mg
Polyhalite,Ca;K;Mg
Leightonite,Ca;Cu^2+^;K
Amarillite,Fe^3+^;Na
Konyaite,Mg;Na
Wattevilleite,Na;Ca
Eckhardite,Ca;Pb^2+^;Cu^2+^
Andychristyite,Pb^2+^;Cu^2+^
Matteuccite,Na;H
Mirabilite,Na
Lecontite,NH_4_;K;Na
Hydroglauberite,Na;Ca
Eugsterite,Na;Ca
Campostriniite,Bi;Na;NH_4_;K
Görgeyite,Ca;K
Antofagastaite,Ca;Na
Koktaite,NH_4_;Ca
Syngenite,Ca;K
Gypsum,Ca
Bassanite,Ca
Chinleite-(Y),Na;Y
Zircosulfate,Zr;Ti^4+^
Chromschieffelinite,Pb^2+^;Te^6+^
Schieffelinite,Pb^2+^;Te^6+^
Montanite,Bi
Omongwaite,Ca;Na
Argesite,NH_4_;Bi
Aubertite,Al;Cu^2+^
Magnesioaubertite,Mg;Cu^2+^;Al
Svyazhinite,Al;Fe^3+^;Mg;Mn^2+^;Ca
Khademite,Al
Rostite,Al
Jurbanite,Al
Anorthominasragrite,V^4+^O
Minasragrite,V^4+^O
Orthominasragrite,V^4+^O
Bobjonesite,V^4+^O
Karpovite,V^4+^O;Tl^1+^
Amarantite,Fe^3+^
Hohmannite,Fe^3+^
Metahohmannite,Fe^3+^
Aluminocopiapite,Al;Mg;Fe^3+^
Calciocopiapite,Ca;Fe^3+^
Copiapite,Fe^3+^;Fe^2+^
Cuprocopiapite,Fe^3+^;Cu^2+^
Ferricopiapite,Fe^3+^
Magnesiocopiapite,Fe^3+^;Mg
Zincocopiapite,Fe^3+^;Zn
Aluminite,Al
Meta-aluminite,Al
Butlerite,Fe^3+^
Parabutlerite,Fe^3+^
Fibroferrite,Fe^3+^
Xitieshanite,Fe^3+^
Botryogen,Fe^3+^;Mg
Zincobotryogen,Zn;Mg;Mn^2+^;Fe^3+^
