mineral_id,ion
d788edf6-77a5-4c1a-97db-fadee110cdcd,Al
0a83c5df-bb46-4408-8a98-6a389437600a,Al
0a83c5df-bb46-4408-8a98-6a389437600a,H_2_O
613082ef-51c6-436a-8413-2db730d4eb79,Al
4ecf3a30-5577-4d85-99b8-54e38fd1c5ae,Al
db5e0813-546f-4a9d-8498-a3bcedf086f5,Al
1032c56c-c80d-488d-a30f-6f56d92b9df0,Al
398fbe10-b9ac-4ae8-bfb9-d592c40f2b4c,Al
067e634e-9ffc-4e40-9731-22ff710f77e7,Al
be669f7d-7168-4a25-bfdc-e24a87134579,Al
1ec19b5f-c5e4-46cf-a0f7-0c1c2c52baf8,Al
9334987d-bf83-4eab-a86a-67293e021da6,Al
9334987d-bf83-4eab-a86a-67293e021da6,Ta
77608484-ffb1-43df-acff-913158397af0,Al
c9bf85cc-80fc-4530-92f3-1fdd45230bcb,Al
73d6bc6a-f72d-486f-9d78-054c135e9bd1,Al
f7f6d912-cb6c-48ea-9f02-593c7fdd622f,Al
f7f6d912-cb6c-48ea-9f02-593c7fdd622f,V
3d20779e-7b94-45e2-84fc-2230ccb27992,NH_4_
f4a4e1fd-1ad4-48bd-b82d-8dab6855d96e,NH_4_
ecb493c6-fcfa-4ea3-a1e5-533e6f1003b4,NH_4_
ecb493c6-fcfa-4ea3-a1e5-533e6f1003b4,B
663140b7-56fe-488a-81f4-98ebcdf3565f,NH_4_
3a6c291c-2520-4c64-a3f7-225cacece020,NH_4_
6fde86a2-4e7f-4206-92b9-f468b8b14577,NH_4_
5e090e0a-54ab-4fbb-a97b-fe1684c4c59f,NH_4_
5e090e0a-54ab-4fbb-a97b-fe1684c4c59f,Mg
b6933f06-5319-4627-bad2-a2ea9ac12a65,NH_4_
5b143971-cc3d-4d3c-9178-efa6ea434b54,NH_4_
dbdcb391-0729-4950-aa5d-f11ef6671a3a,NH_4_
76c5ab3a-a1b1-49ac-97d7-7aa6a99fbd0a,NH_4_
4f2c4a52-54fd-403f-92f5-561c6a146776,Ce
f8f41c83-1756-4518-9932-e84ec4bc338b,La
5fee1235-0671-405c-bbb1-bec293e9c182,Ce
926cbb18-9030-458a-9c99-ba42d06568cc,La
dc4ad41e-996b-4361-ac0b-fe6814f90aba,Pb
a3b8b433-8ecc-4e6a-afd0-ef09375dce8b,Sb
5624ac15-b4a7-49d8-a0e5-e03c970e6856,Sb
5ff3d146-dafc-43fb-a859-2d065d2130a0,Sb
0f65bcd7-22f6-4e6c-bbb1-33245d0ca4f9,Sb
bb3594ab-b093-46f0-93dc-96d8085f3d6f,Sb
abd74767-8bac-4381-a59f-2f06b48d5523,Sb
9c68f80d-0c79-441d-b6af-5369696baecf,Sb
19f89c54-8881-4aca-a240-6a0857e843bf,Sb
51662559-ba33-4011-a48e-0ad0ce84daca,Sb
11b5db3d-fc40-4360-8a14-6d45a443cf66,Sb
11b5db3d-fc40-4360-8a14-6d45a443cf66,Se
cfdfabf3-5c2d-4fb6-a65b-c4466ab3ba46,Ag
cfdfabf3-5c2d-4fb6-a65b-c4466ab3ba46,Cu
cfdfabf3-5c2d-4fb6-a65b-c4466ab3ba46,Bi
cfdfabf3-5c2d-4fb6-a65b-c4466ab3ba46,S
b975385a-ba91-4dd4-b82a-b909ce6a55bf,As
4d5b0f89-24d1-41a6-8625-12bb58c89d08,V
4cf1b99a-0274-4503-a90a-5a4e21e57944,Ag
1faf66d4-0c09-408f-af45-dff7f3cb7dcc,Ag
cf8a34e3-039e-4e95-b891-993e38176846,Ag
aa8053cf-ba1b-4744-adc5-36e195e3e6ce,Ag
fc6207f7-6e82-4be8-af37-878b20acfe61,Ag
fc6207f7-6e82-4be8-af37-878b20acfe61,Hg
5fb256bd-9cbe-4cb1-82a3-3e6833067fba,Ag
636c5f05-ebe4-498f-90d5-553f689318b4,Ag
02613916-3961-4980-9119-ec1a0f24c764,Ag
ff909d4f-a539-4ef4-8eca-73b252985ae1,Ag
25e10908-f282-4c3b-82de-0f8b65adea85,Ag
bfa3b590-e839-4b50-9b83-be41e48e3e5d,Ag
c4089c5d-ac49-44ff-a7c3-78c8405682b3,Ag
c4089c5d-ac49-44ff-a7c3-78c8405682b3,Au
f18b957a-e5e5-4494-96ba-9576de00e90b,Ag
9c9ec87e-6e88-4a54-aa16-78bda927e11a,Ag
2fcb70d3-383e-4a50-9a54-e37f37cdd06e,Ag
b2ac3281-e7f9-4c2a-b46d-8559fa6f4f9e,Ag
5542d2a3-389d-4f29-acbc-054e5cf54e72,Ag
c22ce85e-c9bf-4ac2-b1bc-a595a4809f86,Ag
d9dff67b-a595-4709-843c-e2c70c6f67e5,Ag
8c67b135-f236-48fa-b8d4-30acb330686a,Ag
1095083e-8ee2-4603-b4fd-3cc15c897c4b,Ag
e7cfd88f-e8ef-470b-8e68-8ecac89cb432,Ag
2b86d179-a413-439c-9749-2dc56856ee34,Ag
b9e15648-339b-4a73-989c-3dafb51083bd,Ag
67fc3d8e-7628-401f-b252-c0685ab7cfc3,Ag
bee4ad75-63a2-4144-be80-79756805d0e9,Ag
3d7ba3eb-e4ae-40cb-b9fe-1d5c73943fb1,Ag
3795ed6d-8d43-4b5c-ba5e-325f39987ec0,Ag
3795ed6d-8d43-4b5c-ba5e-325f39987ec0,Cu
3795ed6d-8d43-4b5c-ba5e-325f39987ec0,Au
1094b758-0e73-4012-b189-e9fc70660f0a,Ag
1094b758-0e73-4012-b189-e9fc70660f0a,Cu
