silicates_theoretical
"(Al,Fe^3+^)Si_2_O_6_"
"(Al,Si)_4_O_11_"
"(Al,V^3+^)Si_2_O_6_"
(AlSi_5_)O_18_
"(Ge,Al)_12_O_24_"
"(Ge,Al)_4_O_8_"
"(Ge,Al)_5_O_10_"
(Si_6_Al_2_)O_22_
(Si_7_Al)O_19_
"(Si,Al,Cr^3+^)_2_O_5_"
"(Si,Al,Cr^3+^)_4_O_10_"
"(Si,Al,Fe^3+^)_4_O_8_"
"(Si,Al)_13_(O,OH)_29_"
"(Si,Al)_13_O_29_"
"(Si,Al)_24_O_60_"
"(Si,Al)_6_O_15_"
"(Si,As)_6_O_15_"
"(Si,B)_4_O_9_"
"(Si,Be)_2_O_7_"
"(Si,Be)_4_O_12_"
"(Si,Fe^3+^)_4_O_10_"
"(Si,Fe^3+^)_4_O_8_"
"(Si,Nb^5+^)_4_(O,OH,F)_12_"
Al_1.5_Si_1.5_O_6_
Al_2_Si_8_O_26_
Al_3_Si_5_O_22_
Al_6_Si_8_O_32_
AlGe_2_O_6_
AlSi_3_O_9_(OH)
AlSi_4_O_11_
AlSi_7_O_22_
AlSiO_6_
AlSiO_7_
As^5+^Si_5_O_18_(OH)
B_3_Si_3_O_18_
B_5_Si_8_O_32_(OH)_3_
Be_2_Al_2_Si_9_O_26_(OH)_2_
Be_4_Si_9_O_24_
BSiO_7_
GeSiO_4_
"H_2_(Si,Be)_2_O_7_"
H_2_Si_2_O_7_
H_2_Si_4_O_12_
H_2_SiO_4_
H_4_Si_2_O_7_
HSi_2_O_5_
HSi_2_O_7_
HSi_3_O_9_
HSiO_4_
HSiO_4__
Si_11_O_27_
Si_12_O_30_(OH)_4_
Si_14_B_2_O_38_
Si_16_O_36_(OH)_4_
Si_16_O_54_
"Si_2_(Al,Ti^4+^,Si)_3_O_14_"
Si_2_B_3_AsO_18_
Si_2_B_7_BeO_24_
Si_2_B_8_O_24_
Si_2_O_5_
Si_2_O_5_(OH)_2_
Si_3_O_27_
Si_3_O_7_
Si_3_O_8_(OH)_2_
Si_3_O_9_(OH)
Si_4_O_17_
Si_4_O_6_(OH)_5_
Si_4_O_9_(OH)
Si_5_O_24_
Si_6_O_12_(OH)_4_
Si_6_O_13_
Si_6_O_18_(OH)
Si_6_O_19_
Si_66_Al_30_O_192_
Si_7_O_15_
Si_70_O_175_
Si_8_O_18_
"Si_9_(O,OH)_27_"
"Si_9_Be_5_(F,O,OH)_34_"
Si_9_O_18_
Si_9_O_22_(OH)_2_
Si_9_O_23_
Si_9_O_24_(OH)_4_
Si_9_O_26_
SiO_3_OH
SiO_4_ x 4
Ti_12_Si_37.5_O_94_(OH)_31_

